phone_id,track_no,pathLength,timeStopped,noStops,timeSpent,inactiveTime,sThetaChange,sThetaIn,sThetaOut,sThetaInOut,timePerStop,totAvrgSpeed,timesStoppedHere,pathPerShortest,timePerShortest,speedLessThan3,speedLessThan2,speedLessThan1,anglelargerthan5,anglelargerthan10,anglelargerthan15,anglelargerthan20,speedLargerThan10,x1,y1,x2,y2,characteristic
HT25TW5055273593c875a9898b00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,302.0,590.0,322.0,1
HT25TW5055273593c875a9898b00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,344.0,330.0,364.0,1
HT25TW5055273593c875a9898b00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,302.0,460.0,322.0,1
HT25TW5055273593c875a9898b00,2,46.517627006645995,0.0,0.0,0.9748914918564249,0.0,0.1119374088564665,0.0,0.0,0.0,0.0,47.7156969726604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,720.0,322.0,850.0,344.0,1
HT25TW5055273593c875a9898b00,2,94.73256875417566,0.0,0.0,34.42837115635109,0.0,0.0,0.0,0.0,0.0,0.0,2.7515843931146913,0.0,0.0,0.0,126.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,330.0,344.0,460.0,364.0,1
HT25TW5055273593c875a9898b00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,344.0,850.0,364.0,1
HT25TW5055273593c875a9898b00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,322.0,590.0,344.0,1
HT25TW5055273593c875a9898b00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,302.0,330.0,322.0,1
HT25TW5055273593c875a9898b00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,322.0,330.0,344.0,1
HT25TW5055273593c875a9898b00,2,258.78100872073827,0.0,0.0,7.292759179556381,0.0,0.24747425129436074,0.0,0.0,0.0,0.0,35.48465023309325,0.0,3.0331363592840153,85.31796070712252,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,590.0,322.0,720.0,344.0,1
HT25TW5055273593c875a9898b00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,344.0,590.0,364.0,1
HT25TW5055273593c875a9898b00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,322.0,460.0,344.0,1
HT25TW5055273593c875a9898b00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,344.0,850.0,364.0,1
HT25TW5055273593c875a9898b00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,322.0,590.0,344.0,1
HT25TW5055273593c875a9898b00,3,6.925613411999568,0.0,0.0,0.8397345600420423,0.0,0.04811384190124507,0.0,0.0,0.0,0.0,8.247384044373295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,302.0,460.0,322.0,1
HT25TW5055273593c875a9898b00,3,125.62968354936376,0.0,0.0,15.206409517123777,24.0,0.2867420338233717,0.0,0.0,0.0,0.0,8.26162700720992,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,12.0,460.0,302.0,590.0,322.0,1
HT25TW5055273593c875a9898b00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,344.0,590.0,364.0,1
HT25TW5055273593c875a9898b00,3,90.60677061143716,0.0,1.0,4.160265526234057,0.0,10.272722235354038,0.0,0.0,0.0,3.0,21.779083580142526,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,330.0,322.0,460.0,344.0,1
HT25TW5055273593c875a9898b00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,302.0,330.0,322.0,1
HT25TW5055273593c875a9898b00,3,72.76355769741934,0.0,0.0,6.2953033160140865,0.0,0.4765943044436827,0.0,0.0,0.0,0.0,11.558387903617339,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,330.0,344.0,460.0,364.0,1
HT25TW5055273593c875a9898b00,3,113.37132960575207,0.0,0.0,9.61423289281083,0.0,0.1753564715470221,0.0,0.0,0.0,0.0,11.792030718387005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,322.0,850.0,344.0,1
HT25TW5055273593c875a9898b00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,344.0,720.0,364.0,1
HT25TW5055273593c875a9898b00,3,127.3253537841356,0.0,0.0,21.704696684011527,28.0,0.463403911066273,0.0,0.0,0.0,0.0,5.866258148538335,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,200.0,344.0,330.0,364.0,1
HT25TW5055273593c875a9898b00,3,130.05200649271828,0.0,0.0,11.159003240433,12.0,7.13893688822631E-5,0.0,0.0,0.0,0.0,11.654446520948577,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,590.0,322.0,720.0,344.0,1
HT25TW5055273593c875a9898b00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,302.0,850.0,322.0,1
HT25TW5055273593c875a9898b00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,302.0,720.0,322.0,1
HT25TW5055273593c875a9898b00,3,52.07166837241763,0.0,1.0,20.0,14.0,1.5100529315859472,0.0,0.0,0.0,2.0,2.6035834186208815,2.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,200.0,322.0,330.0,344.0,1
HT25TW5055273593c875a9898b00,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,344.0,590.0,364.0,1
HT25TW5055273593c875a9898b00,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,344.0,330.0,364.0,1
HT25TW5055273593c875a9898b00,4,139.39385304824654,0.0,0.0,0.0,0.0,4.672447509582409,0.0,0.0,0.0,0.0,0.0,0.0,2.1411675657979274,65.1017955226218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,322.0,590.0,344.0,1
HT25TW5055273593c875a9898b00,4,69.51552580648062,0.0,0.0,0.0,0.0,0.5556379690448683,0.0,0.0,0.0,0.0,0.0,0.0,1.1391983095112461,61.02144396290852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,302.0,330.0,322.0,1
HT25TW5055273593c875a9898b00,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,344.0,460.0,364.0,1
HT25TW5055273593c875a9898b00,4,156.73102348340853,0.0,0.0,11.048738231643743,0.0,1.6161252839408637,0.0,0.0,0.0,0.0,14.18542282362421,0.0,1.7417399898899968,89.9853160593202,19.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,590.0,322.0,720.0,344.0,1
HT25TW5055273593c875a9898b00,4,10.879967336065311,0.0,0.0,0.0,0.0,0.33972404479154344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,344.0,720.0,364.0,1
HT25TW5055273593c875a9898b00,4,55.025421412010914,0.0,0.0,0.0,0.0,0.6484691095835899,0.0,0.0,0.0,0.0,0.0,0.0,1.241092315844309,44.336284021368215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,322.0,330.0,344.0,1
HT25TW5055273593c875a9898b00,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,302.0,460.0,322.0,1
HT25TW5055273593c875a9898b00,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,344.0,850.0,364.0,1
HT25TW5055273593c875a9898b00,4,286.0024079864694,0.0,1.0,71.95126177097535,71.0,3.5515443552867527,0.0,0.0,0.0,20.0,3.9749463865808234,20.0,2.2182489582274147,128.93160928835132,19.0,20.0,13.0,26.0,0.0,0.0,0.0,3.0,720.0,322.0,850.0,344.0,1
HT25TW5055273593c875a9898b00,4,136.53419622707585,0.0,1.0,0.0,0.0,7.08738137837137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,322.0,460.0,344.0,1
HT25TW5055273593c875a9898b00,4,76.60918489082707,0.0,0.0,16.6490801835716,0.0,0.006682971836070611,0.0,0.0,0.0,0.0,4.601406446851089,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,720.0,302.0,850.0,322.0,1
HT25TW5055273593c875a9898b00,4,0.8516232902857293,0.0,0.0,0.0,0.0,0.861125659335749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,302.0,590.0,322.0,1
HT25TW5055273593c875a9898b00,4,89.34327281876028,0.0,1.0,16.35091981666586,0.0,4.649954522844176,0.0,0.0,0.0,3.0,5.464112956366903,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,590.0,302.0,720.0,322.0,1
HT25TW5055273593c875a9898b00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,344.0,460.0,364.0,1
HT25TW5055273593c875a9898b00,5,202.32928785446433,0.0,0.0,8.654701078203555,0.0,2.635869548009434,0.0,0.0,0.0,0.0,23.377963724711513,0.0,3.7757905789407356,53.58594011620899,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,590.0,322.0,720.0,344.0,1
HT25TW5055273593c875a9898b00,5,131.2358746904017,0.0,0.0,1.420883116896975,0.0,0.7630594185110522,0.0,0.0,0.0,0.0,92.36218878932411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,330.0,322.0,460.0,344.0,1
HT25TW5055273593c875a9898b00,5,123.99067108528064,0.0,0.0,3.0,0.0,2.165355452335902,0.0,0.0,0.0,0.0,41.330223695093544,0.0,3.350836580139402,37.002900057908036,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,460.0,322.0,590.0,344.0,1
HT25TW5055273593c875a9898b00,5,2.087699306018477,0.0,1.0,0.0,0.0,1.118633976820886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,344.0,330.0,364.0,1
HT25TW5055273593c875a9898b00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,344.0,850.0,364.0,1
HT25TW5055273593c875a9898b00,5,11.304327014688223,0.0,0.0,0.0,0.0,1.646954776098818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,344.0,590.0,364.0,1
HT25TW5055273593c875a9898b00,5,124.53690331176576,0.0,0.0,0.0,0.0,0.24203897698934854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,322.0,850.0,344.0,1
HT25TW5055273593c875a9898b00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,302.0,720.0,322.0,1
HT25TW5055273593c875a9898b00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,302.0,460.0,322.0,1
