Speed in X direction vs. Modulus speed from (560, 343) to (790, 364)
Modulus speed (points/sec)
Speed in X direction (points/sec)
0.0,0.0,2.0
85.92148,85.5,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
30.0,30.0,3.0
30.0,30.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
64.288414,62.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
12.5,12.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
10.077477,8.333333,3.0
15.116217,12.5,3.0
0.0,0.0,3.0
15.116217,12.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
24.5,24.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
30.232433,25.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
171.0,171.0,3.0
0.0,0.0,3.0
14.705441,12.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
24.0,24.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
14.705441,12.0,3.0
4.6666665,4.6666665,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
15.953056,13.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
19.0,19.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
5.6666665,0.0,3.0
0.0,0.0,3.0
8.5,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
15.116217,12.5,3.0
15.116217,12.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
