X,Y,Z,Date And Time,Phone Id's
156,364,0,26/09/2014 10:36:06,YT910K6675876ded0861342065
221,320,0,26/09/2014 10:36:06,TA92903URNf067ff16fcf8e045
87,302,0,26/09/2014 10:36:06,ZX1B23QBS53771758c578bbd85
340,302,0,26/09/2014 10:36:06,ZX1B23QFSP48abead89f52e3bb
199,364,0,26/09/2014 10:36:08,TA92903URNf067ff16fcf8e045
340,302,0,26/09/2014 10:36:08,ZX1B23QFSP48abead89f52e3bb
340,302,0,26/09/2014 10:36:10,ZX1B23QFSP48abead89f52e3bb
199,364,0,26/09/2014 10:36:10,TA92903URNf067ff16fcf8e045
87,302,0,26/09/2014 10:36:12,TA92903URNf067ff16fcf8e045
340,320,0,26/09/2014 10:36:12,ZX1B23QFSP48abead89f52e3bb
199,302,0,26/09/2014 10:36:13,ZX1B23QBS53771758c578bbd85
177,302,0,26/09/2014 10:36:13,YT910K6675876ded0861342065
221,320,0,26/09/2014 10:36:14,TA92903URNf067ff16fcf8e045
340,320,0,26/09/2014 10:36:14,ZX1B23QFSP48abead89f52e3bb
177,302,0,26/09/2014 10:36:15,ZX1B23QBS53771758c578bbd85
221,320,0,26/09/2014 10:36:16,TA92903URNf067ff16fcf8e045
340,302,0,26/09/2014 10:36:16,ZX1B23QFSP48abead89f52e3bb
242,364,0,26/09/2014 10:36:17,ZX1B23QBS53771758c578bbd85
221,320,0,26/09/2014 10:36:18,TA92903URNf067ff16fcf8e045
156,302,0,26/09/2014 10:36:19,ZX1B23QBS53771758c578bbd85
242,302,0,26/09/2014 10:36:20,TA92903URNf067ff16fcf8e045
340,320,0,26/09/2014 10:36:20,ZX1B23QFSP48abead89f52e3bb
274,364,0,26/09/2014 10:36:21,ZX1B23QBS53771758c578bbd85
122,320,0,26/09/2014 10:36:21,YT910K6675876ded0861342065
242,302,0,26/09/2014 10:36:22,TA92903URNf067ff16fcf8e045
307,320,0,26/09/2014 10:36:22,ZX1B23QFSP48abead89f52e3bb
274,364,0,26/09/2014 10:36:23,ZX1B23QBS53771758c578bbd85
242,302,0,26/09/2014 10:36:24,ZX1B23QFSP48abead89f52e3bb
242,302,0,26/09/2014 10:36:24,TA92903URNf067ff16fcf8e045
221,320,0,26/09/2014 10:36:25,ZX1B23QBS53771758c578bbd85
242,364,0,26/09/2014 10:36:26,TA92903URNf067ff16fcf8e045
374,302,0,26/09/2014 10:36:26,ZX1B23QFSP48abead89f52e3bb
242,302,0,26/09/2014 10:36:27,ZX1B23QBS53771758c578bbd85
242,302,0,26/09/2014 10:36:28,TA92903URNf067ff16fcf8e045
514,364,0,26/09/2014 10:36:28,ZX1B23QFSP48abead89f52e3bb
307,347,0,26/09/2014 10:36:29,YT910K6675876ded0861342065
274,302,0,26/09/2014 10:36:29,ZX1B23QBS53771758c578bbd85
403,320,0,26/09/2014 10:36:30,ZX1B23QFSP48abead89f52e3bb
307,347,0,26/09/2014 10:36:30,TA92903URNf067ff16fcf8e045
242,302,0,26/09/2014 10:36:31,ZX1B23QBS53771758c578bbd85
403,320,0,26/09/2014 10:36:31,ZX1B23QFSP48abead89f52e3bb
307,347,0,26/09/2014 10:36:32,TA92903URNf067ff16fcf8e045
340,320,0,26/09/2014 10:36:33,ZX1B23QBS53771758c578bbd85
514,364,0,26/09/2014 10:36:33,ZX1B23QFSP48abead89f52e3bb
432,364,0,26/09/2014 10:36:34,TA92903URNf067ff16fcf8e045
307,320,0,26/09/2014 10:36:35,ZX1B23QBS53771758c578bbd85
643,302,0,26/09/2014 10:36:35,ZX1B23QFSP48abead89f52e3bb
340,320,0,26/09/2014 10:36:36,TA92903URNf067ff16fcf8e045
221,320,0,26/09/2014 10:36:36,YT910K6675876ded0861342065
242,302,0,26/09/2014 10:36:37,ZX1B23QBS53771758c578bbd85
643,302,0,26/09/2014 10:36:37,ZX1B23QFSP48abead89f52e3bb
374,320,0,26/09/2014 10:36:38,TA92903URNf067ff16fcf8e045
514,364,0,26/09/2014 10:36:39,ZX1B23QFSP48abead89f52e3bb
340,320,0,26/09/2014 10:36:40,TA92903URNf067ff16fcf8e045
514,364,0,26/09/2014 10:36:41,ZX1B23QFSP48abead89f52e3bb
340,302,0,26/09/2014 10:36:41,ZX1B23QBS53771758c578bbd85
340,320,0,26/09/2014 10:36:42,TA92903URNf067ff16fcf8e045
486,320,0,26/09/2014 10:36:43,ZX1B23QFSP48abead89f52e3bb
403,320,0,26/09/2014 10:36:44,TA92903URNf067ff16fcf8e045
307,302,0,26/09/2014 10:36:44,ZX1B23QBS53771758c578bbd85
374,347,0,26/09/2014 10:36:44,YT910K6675876ded0861342065
616,347,0,26/09/2014 10:36:45,ZX1B23QFSP48abead89f52e3bb
403,302,0,26/09/2014 10:36:46,TA92903URNf067ff16fcf8e045
340,302,0,26/09/2014 10:36:46,ZX1B23QBS53771758c578bbd85
616,347,0,26/09/2014 10:36:46,ZX1B23QFSP48abead89f52e3bb
403,320,0,26/09/2014 10:36:47,TA92903URNf067ff16fcf8e045
374,302,0,26/09/2014 10:36:48,ZX1B23QBS53771758c578bbd85
591,320,0,26/09/2014 10:36:48,ZX1B23QFSP48abead89f52e3bb
403,320,0,26/09/2014 10:36:49,TA92903URNf067ff16fcf8e045
374,302,0,26/09/2014 10:36:50,ZX1B23QBS53771758c578bbd85
616,302,0,26/09/2014 10:36:50,ZX1B23QFSP48abead89f52e3bb
307,347,0,26/09/2014 10:36:52,YT910K6675876ded0861342065
432,302,0,26/09/2014 10:36:52,TA92903URNf067ff16fcf8e045
374,302,0,26/09/2014 10:36:52,ZX1B23QBS53771758c578bbd85
432,302,0,26/09/2014 10:36:54,TA92903URNf067ff16fcf8e045
374,302,0,26/09/2014 10:36:54,ZX1B23QBS53771758c578bbd85
738,364,0,26/09/2014 10:36:54,ZX1B23QFSP48abead89f52e3bb
514,364,0,26/09/2014 10:36:56,TA92903URNf067ff16fcf8e045
403,320,0,26/09/2014 10:36:56,ZX1B23QBS53771758c578bbd85
842,320,0,26/09/2014 10:36:57,ZX1B23QFSP48abead89f52e3bb
486,364,0,26/09/2014 10:36:58,TA92903URNf067ff16fcf8e045
340,302,0,26/09/2014 10:36:58,ZX1B23QBS53771758c578bbd85
876,302,0,26/09/2014 10:36:59,ZX1B23QFSP48abead89f52e3bb
307,347,0,26/09/2014 10:36:59,YT910K6675876ded0861342065
514,320,0,26/09/2014 10:37:00,TA92903URNf067ff16fcf8e045
340,302,0,26/09/2014 10:37:00,ZX1B23QBS53771758c578bbd85
910,364,0,26/09/2014 10:37:01,ZX1B23QFSP48abead89f52e3bb
403,302,0,26/09/2014 10:37:02,ZX1B23QBS53771758c578bbd85
876,364,0,26/09/2014 10:37:03,ZX1B23QFSP48abead89f52e3bb
514,320,0,26/09/2014 10:37:04,TA92903URNf067ff16fcf8e045
403,302,0,26/09/2014 10:37:04,ZX1B23QBS53771758c578bbd85
842,364,0,26/09/2014 10:37:06,ZX1B23QFSP48abead89f52e3bb
514,320,0,26/09/2014 10:37:06,TA92903URNf067ff16fcf8e045
340,302,0,26/09/2014 10:37:06,ZX1B23QBS53771758c578bbd85
374,347,0,26/09/2014 10:37:07,YT910K6675876ded0861342065
842,364,0,26/09/2014 10:37:08,ZX1B23QFSP48abead89f52e3bb
616,347,0,26/09/2014 10:37:08,TA92903URNf067ff16fcf8e045
403,320,0,26/09/2014 10:37:08,ZX1B23QBS53771758c578bbd85
944,364,0,26/09/2014 10:37:10,ZX1B23QFSP48abead89f52e3bb
340,302,0,26/09/2014 10:37:10,ZX1B23QBS53771758c578bbd85
542,320,0,26/09/2014 10:37:11,TA92903URNf067ff16fcf8e045
944,364,0,26/09/2014 10:37:12,ZX1B23QFSP48abead89f52e3bb
403,320,0,26/09/2014 10:37:12,ZX1B23QBS53771758c578bbd85
616,302,0,26/09/2014 10:37:13,TA92903URNf067ff16fcf8e045
944,364,0,26/09/2014 10:37:13,ZX1B23QFSP48abead89f52e3bb
340,302,0,26/09/2014 10:37:14,ZX1B23QBS53771758c578bbd85
374,347,0,26/09/2014 10:37:14,YT910K6675876ded0861342065
514,302,0,26/09/2014 10:37:15,TA92903URNf067ff16fcf8e045
944,364,0,26/09/2014 10:37:15,ZX1B23QFSP48abead89f52e3bb
340,302,0,26/09/2014 10:37:16,ZX1B23QBS53771758c578bbd85
542,320,0,26/09/2014 10:37:17,TA92903URNf067ff16fcf8e045
944,364,0,26/09/2014 10:37:17,ZX1B23QFSP48abead89f52e3bb
403,320,0,26/09/2014 10:37:18,ZX1B23QBS53771758c578bbd85
514,320,0,26/09/2014 10:37:19,TA92903URNf067ff16fcf8e045
693,210,0,26/09/2014 10:37:19,ZX1B23QFSP48abead89f52e3bb
340,302,0,26/09/2014 10:37:20,ZX1B23QBS53771758c578bbd85
693,112,0,26/09/2014 10:37:21,ZX1B23QFSP48abead89f52e3bb
542,320,0,26/09/2014 10:37:21,TA92903URNf067ff16fcf8e045
340,302,0,26/09/2014 10:37:22,ZX1B23QBS53771758c578bbd85
307,347,0,26/09/2014 10:37:22,YT910K6675876ded0861342065
514,364,0,26/09/2014 10:37:23,TA92903URNf067ff16fcf8e045
977,320,0,26/09/2014 10:37:24,ZX1B23QFSP48abead89f52e3bb
307,302,0,26/09/2014 10:37:24,ZX1B23QBS53771758c578bbd85
459,320,0,26/09/2014 10:37:25,TA92903URNf067ff16fcf8e045
1044,302,0,26/09/2014 10:37:26,ZX1B23QFSP48abead89f52e3bb
403,302,0,26/09/2014 10:37:26,ZX1B23QBS53771758c578bbd85
944,364,0,26/09/2014 10:37:28,ZX1B23QFSP48abead89f52e3bb
514,364,0,26/09/2014 10:37:28,TA92903URNf067ff16fcf8e045
1044,302,0,26/09/2014 10:37:30,ZX1B23QFSP48abead89f52e3bb
307,347,0,26/09/2014 10:37:30,YT910K6675876ded0861342065
514,320,0,26/09/2014 10:37:30,TA92903URNf067ff16fcf8e045
403,302,0,26/09/2014 10:37:31,ZX1B23QBS53771758c578bbd85
1044,302,0,26/09/2014 10:37:31,ZX1B23QFSP48abead89f52e3bb
403,320,0,26/09/2014 10:37:32,ZX1B23QBS53771758c578bbd85
616,347,0,26/09/2014 10:37:33,TA92903URNf067ff16fcf8e045
876,302,0,26/09/2014 10:37:33,ZX1B23QFSP48abead89f52e3bb
432,302,0,26/09/2014 10:37:34,ZX1B23QBS53771758c578bbd85
616,347,0,26/09/2014 10:37:35,TA92903URNf067ff16fcf8e045
693,112,0,26/09/2014 10:37:35,ZX1B23QFSP48abead89f52e3bb
403,302,0,26/09/2014 10:37:36,ZX1B23QBS53771758c578bbd85
616,347,0,26/09/2014 10:37:36,TA92903URNf067ff16fcf8e045
340,302,0,26/09/2014 10:37:38,YT910K6675876ded0861342065
403,320,0,26/09/2014 10:37:38,ZX1B23QBS53771758c578bbd85
591,320,0,26/09/2014 10:37:39,TA92903URNf067ff16fcf8e045
616,347,0,26/09/2014 10:37:41,TA92903URNf067ff16fcf8e045
486,320,0,26/09/2014 10:37:42,ZX1B23QBS53771758c578bbd85
616,347,0,26/09/2014 10:37:43,TA92903URNf067ff16fcf8e045
514,364,0,26/09/2014 10:37:44,ZX1B23QBS53771758c578bbd85
591,364,0,26/09/2014 10:37:45,TA92903URNf067ff16fcf8e045
374,302,0,26/09/2014 10:37:45,YT910K6675876ded0861342065
514,364,0,26/09/2014 10:37:46,ZX1B23QBS53771758c578bbd85
616,302,0,26/09/2014 10:37:47,TA92903URNf067ff16fcf8e045
542,320,0,26/09/2014 10:37:48,ZX1B23QBS53771758c578bbd85
591,364,0,26/09/2014 10:37:49,TA92903URNf067ff16fcf8e045
514,320,0,26/09/2014 10:37:50,ZX1B23QBS53771758c578bbd85
591,364,0,26/09/2014 10:37:51,TA92903URNf067ff16fcf8e045
616,302,0,26/09/2014 10:37:52,ZX1B23QBS53771758c578bbd85
591,364,0,26/09/2014 10:37:53,TA92903URNf067ff16fcf8e045
274,320,0,26/09/2014 10:37:53,YT910K6675876ded0861342065
542,320,0,26/09/2014 10:37:54,ZX1B23QBS53771758c578bbd85
616,347,0,26/09/2014 10:37:54,TA92903URNf067ff16fcf8e045
591,320,0,26/09/2014 10:37:56,ZX1B23QBS53771758c578bbd85
616,302,0,26/09/2014 10:37:57,TA92903URNf067ff16fcf8e045
616,347,0,26/09/2014 10:37:58,ZX1B23QBS53771758c578bbd85
616,302,0,26/09/2014 10:37:59,TA92903URNf067ff16fcf8e045
403,302,0,26/09/2014 10:38:01,YT910K6675876ded0861342065
616,347,0,26/09/2014 10:38:01,TA92903URNf067ff16fcf8e045
542,320,0,26/09/2014 10:38:01,ZX1B23QBS53771758c578bbd85
616,347,0,26/09/2014 10:38:03,TA92903URNf067ff16fcf8e045
486,320,0,26/09/2014 10:38:03,ZX1B23QBS53771758c578bbd85
542,320,0,26/09/2014 10:38:05,ZX1B23QBS53771758c578bbd85
616,302,0,26/09/2014 10:38:06,TA92903URNf067ff16fcf8e045
542,320,0,26/09/2014 10:38:07,ZX1B23QBS53771758c578bbd85
616,347,0,26/09/2014 10:38:08,TA92903URNf067ff16fcf8e045
403,320,0,26/09/2014 10:38:08,YT910K6675876ded0861342065
542,320,0,26/09/2014 10:38:09,ZX1B23QBS53771758c578bbd85
616,347,0,26/09/2014 10:38:11,TA92903URNf067ff16fcf8e045
542,320,0,26/09/2014 10:38:11,ZX1B23QBS53771758c578bbd85
514,364,0,26/09/2014 10:38:13,ZX1B23QBS53771758c578bbd85
616,302,0,26/09/2014 10:38:13,TA92903URNf067ff16fcf8e045
542,320,0,26/09/2014 10:38:15,ZX1B23QBS53771758c578bbd85
514,364,0,26/09/2014 10:38:16,YT910K6675876ded0861342065
643,320,0,26/09/2014 10:38:16,TA92903URNf067ff16fcf8e045
542,320,0,26/09/2014 10:38:17,ZX1B23QBS53771758c578bbd85
616,302,0,26/09/2014 10:38:18,TA92903URNf067ff16fcf8e045
307,347,0,26/09/2014 10:38:19,ZX1B23QFSP48abead89f52e3bb
542,320,0,26/09/2014 10:38:19,ZX1B23QBS53771758c578bbd85
616,302,0,26/09/2014 10:38:20,TA92903URNf067ff16fcf8e045
738,364,0,26/09/2014 10:38:21,ZX1B23QFSP48abead89f52e3bb
542,320,0,26/09/2014 10:38:21,ZX1B23QBS53771758c578bbd85
616,347,0,26/09/2014 10:38:22,TA92903URNf067ff16fcf8e045
738,364,0,26/09/2014 10:38:23,ZX1B23QFSP48abead89f52e3bb
567,320,0,26/09/2014 10:38:23,ZX1B23QBS53771758c578bbd85
514,364,0,26/09/2014 10:38:24,YT910K6675876ded0861342065
591,320,0,26/09/2014 10:38:25,TA92903URNf067ff16fcf8e045
