Time still vs. Total angle changed from (100, 343) to (330, 364)
Total angle changed (radians)
Time still (sec)
0.6857295,3.0,5.0
0.38152102,2.0,5.0
1.0951011,0.0,5.0
0.30858827,0.0,5.0
0.21075355,0.0,5.0
0.9652517,4.0,5.0
0.03942272,0.0,5.0
0.6055447,0.0,5.0
0.0,0.0,5.0
0.736154,0.0,5.0
0.3937535,0.0,5.0
0.959897,0.0,5.0
0.31591156,0.0,5.0
0.08787075,0.0,5.0
0.05042451,0.0,5.0
0.3960964,0.0,5.0
0.761671,0.0,5.0
1.5435922,11.0,5.0
0.6857295,0.0,5.0
0.0,0.0,5.0
0.48396716,2.0,5.0
3.1415927,0.0,5.0
0.63274884,0.0,5.0
0.38152102,0.0,5.0
0.9652517,0.0,5.0
0.27230036,0.0,5.0
0.736154,0.0,5.0
0.27416745,0.0,5.0
0.0,0.0,5.0
0.04603791,6.0,5.0
0.0063633802,0.0,5.0
0.647568,0.0,5.0
0.4037823,5.0,5.0
0.26478577,2.0,5.0
0.4037823,0.0,5.0
0.0,0.0,5.0
1.3332975,2.0,2.0
0.6463068,3.0,2.0
0.6857295,0.0,2.0
0.0,0.0,2.0
0.24497867,0.0,2.0
0.44579858,0.0,2.0
0.31591156,0.0,2.0
0.043611214,0.0,2.0
1.787968,3.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.10263981,0.0,2.0
0.3960964,0.0,2.0
0.9818763,0.0,2.0
0.5505588,2.0,2.0
0.28031635,2.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
3.1415927,0.0,2.0
2.176341,0.0,2.0
0.6857295,2.0,2.0
0.9753626,0.0,2.0
0.10414012,0.0,2.0
0.33250284,2.0,2.0
0.0,4.0,2.0
0.009554627,0.0,2.0
1.7725587,0.0,2.0
3.1415927,0.0,2.0
3.1415927,0.0,2.0
0.0,0.0,2.0
1.4616326,2.0,2.0
1.3718857,2.0,2.0
0.6857295,2.0,2.0
0.6463068,6.0,2.0
1.5707964,0.0,2.0
0.8613532,0.0,2.0
0.08018485,2.0,2.0
0.6140298,0.0,2.0
0.11211071,4.0,2.0
0.6463068,2.0,2.0
0.0,0.0,2.0
0.14471032,0.0,2.0
1.8760949,2.0,2.0
0.79784024,0.0,2.0
0.03942272,2.0,2.0
0.08018485,4.0,2.0
0.6857295,0.0,2.0
0.2896331,0.0,2.0
0.36693534,7.0,2.0
0.3947357,2.0,2.0
0.4636476,0.0,2.0
0.08018485,0.0,2.0
0.6142496,0.0,3.0
1.4545223,0.0,3.0
0.47037396,2.0,3.0
0.080292605,0.0,3.0
0.104065135,0.0,3.0
1.0812399,2.0,3.0
0.47569522,0.0,3.0
0.13854006,0.0,3.0
0.5743503,1.0,3.0
0.1351707,0.0,3.0
0.15612637,0.0,3.0
0.08018485,0.0,3.0
1.0812399,0.0,3.0
0.0,2.0,3.0
0.8613532,2.0,3.0
0.2808051,1.0,3.0
0.24497867,0.0,3.0
0.3042085,0.0,3.0
0.0,0.0,3.0
2.228685,0.0,3.0
1.4545223,2.0,3.0
0.0,0.0,3.0
0.036798988,0.0,3.0
2.0419626,0.0,3.0
0.11611242,0.0,3.0
0.0,0.0,3.0
0.5404195,0.0,3.0
0.0,0.0,3.0
0.0,4.0,3.0
0.35941473,0.0,3.0
0.07892185,9.0,3.0
0.19108899,0.0,3.0
0.66104317,0.0,3.0
3.1415927,0.0,3.0
0.7799037,0.0,3.0
0.05042451,0.0,3.0
0.17464106,0.0,3.0
0.0,0.0,3.0
0.92398703,0.0,3.0
0.38307706,3.0,3.0
0.19108899,0.0,4.0
0.15928572,0.0,4.0
0.0,7.0,4.0
0.93804747,8.0,4.0
0.761671,0.0,4.0
0.8418559,7.0,4.0
2.2565258,0.0,4.0
0.591439,0.0,4.0
0.0,0.0,4.0
0.12211661,0.0,4.0
0.09838093,0.0,4.0
