Amount of time disappeared from the tracking system vs. Modulus speed from (560, 302) to (790, 323)
Modulus speed (points/sec)
Amount of time disappeared from the tracking system (sec)
0.0,1.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
0.0,5.0,1.0
0.0,2.0,1.0
0.0,5.0,1.0
0.0,2.0,1.0
33.25,4.0,1.0
1.8,10.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
0.0,3.0,1.0
0.0,9.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,13.0,1.0
0.0,9.0,1.0
0.0,2.0,1.0
0.0,3.0,1.0
9.397473,4.0,1.0
18.794947,2.0,1.0
9.0,2.0,1.0
50.0,2.0,1.0
0.0,2.0,1.0
134.21252,1.0,1.0
67.10626,2.0,1.0
0.0,9.0,1.0
33.55313,4.0,1.0
67.0,1.0,1.0
4.5,4.0,1.0
4.5,4.0,1.0
0.0,2.0,1.0
39.051247,2.0,1.0
78.10249,1.0,1.0
44.333332,3.0,1.0
0.0,2.0,1.0
0.0,5.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
9.0,2.0,1.0
0.0,1.0,1.0
0.0,35.0,1.0
0.0,1.0,1.0
0.0,3.0,1.0
18.0,1.0,1.0
8.112491,4.0,1.0
18.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
4.400835,7.0,1.0
185.87361,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
23.234201,8.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
22.368753,6.0,1.0
18.0,1.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
9.0,2.0,1.0
32.449963,1.0,1.0
26.100767,2.0,1.0
0.0,1.0,1.0
32.449963,1.0,1.0
4.5,4.0,1.0
18.0,1.0,1.0
18.0,1.0,1.0
16.224981,2.0,1.0
0.0,1.0,1.0
9.0,2.0,1.0
0.0,1.0,1.0
9.0,2.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
10.268615,3.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,4.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
67.10626,2.0,5.0
9.0,2.0,5.0
0.0,1.0,5.0
9.0,2.0,5.0
44.737507,3.0,5.0
0.0,2.0,5.0
66.5,2.0,5.0
0.0,2.0,5.0
16.5,2.0,5.0
15.402922,2.0,5.0
