Path length vs. Time spent from (330, 302) to (560, 323)
Time spent (sec)
Path length (points/sec)
2.1975298,47.096405,1.0
0.29629436,15.126983,1.0
0.1975301,2.6666565,1.0
0.19752936,3.9133751,1.0
3.2962952,170.29944,1.0
19.39506,840.6963,1.0
1.1593701,75.32068,1.0
4.061725,46.95579,1.0
12.296294,93.41233,1.0
1.6567886,48.726566,1.0
1.4938235,10.0534935,1.0
2.4623992,104.136185,1.0
7.251851,111.37373,1.0
2.2518497,99.62055,1.0
0.0606056,3.9912367,1.0
0.15936978,67.2688,1.0
1.9012347,569.64026,1.0
2.116048,202.69151,1.0
12.605315,191.90643,1.0
3.7272716,87.12388,1.0
3.3333328,69.33331,1.0
6.1212115,4.3162203,1.0
5.455665,19.7444,1.0
1.5580232,96.5583,1.0
3.063063,100.02307,1.0
4.252358,372.0,1.0
1.2199764,40.050137,1.0
0.25813523,11.771121,1.0
0.2199761,9.516777,1.0
13.558024,547.7296,1.0
9.459259,141.10237,1.0
1.3187406,41.581753,1.0
2.1975293,43.946484,1.0
1.6408491,8.541319,1.0
0.33333296,104.0725,1.0
0.18181668,15.335115,1.0
2.7111087,47.855263,1.0
2.8327293,407.20126,1.0
1.1259252,76.27459,1.0
0.53944683,177.47714,1.0
4.1593704,148.38895,1.0
3.2148116,53.73328,1.0
0.8134228,205.57724,1.0
1.2424225,27.713627,1.0
1.5292888,197.18712,1.0
0.99999934,68.533806,1.0
1.6364552,203.468,1.0
0.5097243,133.9628,1.0
1.1238745,79.6604,1.0
1.2518505,47.017162,1.0
0.91851753,47.035362,1.0
1.0,0.0,1.0
0.0,0.0,1.0
0.45925903,25.902372,1.0
0.3950589,17.697176,1.0
1.7272716,153.59378,1.0
2.8181791,105.47101,1.0
4.941112,128.78915,1.0
23.028416,261.8169,1.0
4.60821,314.11365,1.0
1.3396173,190.7866,1.0
0.09876448,6.3186116,1.0
1.1259247,119.52061,1.0
1.5162715,11.1931095,1.0
0.666666,112.52331,1.0
0.18181734,6.257382,1.0
0.6150318,32.333214,1.0
0.7925917,191.6652,1.0
1.5925887,83.41034,1.0
1.2199763,14.123568,1.0
1.3777763,47.28358,1.0
8.432097,413.46967,1.0
0.28058058,36.892605,1.0
0.69808847,6.795037,1.0
0.9862407,92.28308,1.0
2.3794415,314.0,1.0
12.587665,576.67914,1.0
55.58362,1787.4213,1.0
4.6381702,696.73126,1.0
0.17557251,46.108433,1.0
0.17821777,18.283613,1.0
2.1975305,33.87466,1.0
0.25813442,17.818808,1.0
0.29629254,27.194427,1.0
5.296293,27.194427,1.0
0.7901135,27.194427,1.0
1.3777761,63.861736,1.0
5.9358,48.215374,1.0
0.5162699,11.833484,1.0
9.296295,36.684597,1.0
5.5580235,187.29358,1.0
5.666666,105.380516,1.0
1.727272,120.885925,1.0
0.83980054,229.16486,1.0
18.529387,360.47452,1.0
2.1160471,118.69647,1.0
1.1975292,34.9628,1.0
0.2962938,11.925596,1.0
4.19753,73.52938,1.0
2.432098,83.401794,1.0
3.2962942,162.98198,1.0
0.09876505,2.6666565,1.0
4.4592586,100.54018,1.0
3.575756,170.36293,1.0
11.197529,252.59679,1.0
3.792592,216.72882,1.0
7.7878776,292.7337,1.0
1.9629604,151.5419,1.0
4.7272716,284.66983,1.0
3.1212115,14.472973,1.0
0.36363488,5.8274684,1.0
2.2612872,207.93472,1.0
0.52671754,92.0,1.0
0.29942936,21.444426,1.0
9.888751,92.554085,1.0
0.52671754,92.216866,1.0
90.51473,8502.922,1.0
0.9185176,53.73328,1.0
0.19752951,32.830925,1.0
0.5925887,21.989754,1.0
5.9629583,190.26266,1.0
0.25813535,8.806775,1.0
4.125925,103.52657,1.0
0.09876495,8.808372,1.0
7.116047,127.863205,1.0
2.6666658,222.34819,1.0
0.098764874,4.2880335,1.0
0.29629517,7.5424438,1.0
0.1975301,7.5424438,1.0
2.395059,12.280237,1.0
8.656788,381.26898,1.0
3.0888875,41.333313,1.0
0.121211566,7.477032,1.0
0.21997683,10.725555,1.0
6.159371,177.36423,1.0
0.4242408,5.333313,1.0
0.95020473,26.856453,1.0
0.56600803,92.88616,1.0
1.7758672,177.47714,1.0
0.4214611,36.524857,1.0
5.6643796,104.66666,1.0
0.9104009,25.779884,1.0
2.4765427,82.02565,1.0
0.6374809,24.451656,1.0
18.363634,143.43866,1.0
20.701681,389.9197,1.0
1.8370355,57.73313,1.0
0.2962946,8.985268,1.0
0.45925885,75.448555,1.0
0.91851753,47.035362,1.0
0.29629403,3.9133751,1.0
0.98804384,272.37372,1.0
4.2962933,297.01266,1.0
5.2962947,46.518684,1.0
2.5198646,47.099308,1.0
0.21997511,22.202549,1.0
0.19752838,13.597214,1.0
3.8904705,236.55235,1.0
5.1593704,23.651949,1.0
0.4848464,3.160812,1.0
0.44687453,36.16167,1.0
1.3333324,68.533806,1.0
2.0769231,18.053175,1.0
2.0,0.0,5.0
13.0,54.0,5.0
5.0,65.52099,5.0
3.6264105,444.10513,5.0
45.0,692.77686,5.0
6.080679,201.79466,5.0
1.8853503,148.96951,5.0
1.3636329,6.321591,5.0
5.3333325,68.533806,5.0
9.9971285,148.44565,5.0
2.0065613,77.64555,5.0
1.0638862,77.64555,5.0
1.9999987,68.533806,5.0
11.403101,220.17555,5.0
4.9129114,37.459686,5.0
3.2211804,37.700928,5.0
6.3564353,18.283613,5.0
0.7128712,36.283615,5.0
1.2098268,354.40793,5.0
10.212805,1844.7046,5.0
12.666666,173.64471,5.0
0.0,0.0,5.0
2.1596818,36.179077,5.0
2.6715057,628.91016,5.0
3.0941846,49.191513,5.0
2.181817,17.527325,5.0
0.84566486,167.40448,5.0
1.2313433,440.24805,5.0
3.678706,456.8767,5.0
3.8267643,271.52426,5.0
42.27455,489.22818,5.0
4.352199,149.56424,5.0
1.4883721,256.35022,5.0
1.5557415,154.89597,5.0
8.03973,204.69753,5.0
1.0091743,220.18741,5.0
1.039353,200.62245,5.0
8.31874,197.89809,5.0
0.4938242,11.414109,5.0
3.3777764,409.26242,5.0
0.0,0.0,5.0
0.0,0.0,5.0
13.0,247.60286,5.0
0.59258753,49.363937,5.0
7.0,0.0,5.0
2.0,0.0,5.0
6.666666,171.0336,5.0
8.333332,187.83884,5.0
0.47764713,21.444426,5.0
4.1212115,30.666656,5.0
0.7047619,74.0,5.0
4.88,18.0,5.0
0.48648655,18.524857,5.0
4.724247,81.779884,5.0
2.762228,706.8132,5.0
13.693541,370.49918,5.0
0.48648655,18.524857,5.0
4.4864864,18.524857,5.0
1.5307348,77.1608,5.0
0.0,0.0,5.0
5.901961,107.28664,5.0
6.0,0.0,5.0
0.0,0.0,5.0
2.666666,51.03807,5.0
7.1818175,3.160812,5.0
1.5885273,37.700928,5.0
4.06375,787.09204,5.0
0.35643554,18.283613,5.0
0.59254855,77.64555,5.0
0.18181713,5.639914,5.0
14.942676,247.40576,5.0
0.8509414,21.685667,5.0
0.4723567,48.666656,5.0
0.30302638,20.477142,5.0
2.2940404,518.7371,5.0
1.795012,436.52304,5.0
2.7396507,170.2772,5.0
17.932222,263.3166,5.0
11.197529,157.5054,5.0
0.782781,26.304739,5.0
7.333332,280.7153,5.0
2.0278149,466.6052,5.0
0.0,0.0,5.0
19.734694,468.58102,5.0
3.6666663,118.21927,5.0
4.474152,77.1608,5.0
0.48648655,18.524857,5.0
2.2581336,53.67043,5.0
3.0,0.0,5.0
9.947405,615.07587,5.0
1.0638857,89.98834,5.0
0.8429221,36.808468,5.0
0.31874081,11.771121,5.0
12.316017,160.66666,5.0
2.1818173,72.75748,5.0
0.0,0.0,5.0
8.666666,96.380516,5.0
3.1212118,30.666656,5.0
1.8039217,92.71078,5.0
6.3511453,102.0,5.0
0.9090792,40.954285,5.0
0.2424222,23.670902,5.0
8.607698,105.68567,5.0
3.220126,257.63522,5.0
11.901961,131.63177,5.0
14.72973,262.52484,5.0
0.7346939,19.176073,5.0
4.1538463,18.0,5.0
5.0141683,630.0,5.0
2.8923965,202.14241,5.0
11.4050045,437.49658,5.0
2.258134,14.276874,5.0
16.197529,342.4587,5.0
1.45302,148.62717,5.0
0.24242125,37.23592,5.0
13.176994,186.06683,5.0
4.006921,314.35782,5.0
2.7551434,39.22856,5.0
17.0,360.48682,5.0
11.654064,270.98685,5.0
0.9729731,37.049713,5.0
1.1641587,93.156425,5.0
5.0,56.0,5.0
99.090744,750.7393,5.0
4.3305144,218.65213,5.0
4.0,196.40236,5.0
7.3898683,21.160812,5.0
8.121211,313.6038,5.0
3.3939383,204.85573,5.0
0.36734694,19.176073,5.0
0.48648655,37.049713,5.0
5.303849,49.191513,5.0
10.999999,126.02848,5.0
3.0,0.0,5.0
13.471337,301.40576,5.0
2.842922,36.808468,5.0
0.7321829,26.063498,5.0
10.315124,409.2573,5.0
6.7078743,137.77988,5.0
6.3644547,110.55531,5.0
0.66666615,42.38052,5.0
0.0,0.0,5.0
6.0,63.0,5.0
0.24242331,5.333313,5.0
3.7131784,74.44565,5.0
4.473799,34.913795,5.0
1.2687898,253.02824,5.0
0.0,0.0,5.0
10.077201,969.2812,5.0
0.31874093,16.27424,5.0
2.7131784,74.44565,5.0
1.0638862,77.64555,5.0
0.66666615,42.38052,5.0
7.666666,139.38052,5.0
9.121211,59.160797,5.0
2.4501405,25.779884,5.0
0.19752976,40.187115,5.0
4.5152307,546.7547,5.0
2.242422,27.713627,5.0
2.6666663,154.8305,5.0
0.5539653,25.779884,5.0
1.0634063,77.77157,5.0
0.30302915,5.333313,5.0
0.121211424,5.639914,5.0
3.0,18.0,5.0
27.536665,354.9894,5.0
2.4961817,745.22925,5.0
2.1593704,23.651949,5.0
3.2581353,38.940697,5.0
0.098764814,15.559769,5.0
0.15937126,6.508365,5.0
1.3777771,96.17264,5.0
2.3564355,36.808468,5.0
7.942675,162.93472,5.0
12.333333,171.0336,5.0
1.1593707,10.940696,5.0
1.3420081,26.304739,5.0
0.5346533,36.567226,5.0
0.80467063,96.67645,5.0
5.542863,314.95135,5.0
29.822803,1384.3217,5.0
0.95560056,53.178055,5.0
1.0942525,310.07333,5.0
5.175886,37.293903,5.0
4.1212115,68.77201,5.0
2.83439,49.11231,5.0
0.35643554,18.283613,5.0
1.9530742,92.44565,5.0
3.6467652,309.2671,5.0
1.7948711,309.9386,5.0
36.759884,1770.2877,5.0
16.138462,223.22697,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.66666615,42.38052,5.0
5.2581353,94.44654,5.0
1.917409,148.0,5.0
