Total angle changed vs. Average speed from (560, 302) to (790, 323)
Average speed (points/sec)
Total angle changed (radians)
65.95974,0.85401064,5.0
38.457634,0.17636615,5.0
0.0,0.09986575,5.0
83.847984,0.31447202,5.0
21.096125,1.4563164,5.0
20.040121,0.16272737,5.0
8.847407,4.296531,5.0
40.4878,1.1595829,5.0
44.233707,0.037726417,5.0
16.16251,1.3866858,5.0
47.185974,0.04474623,5.0
33.778606,1.0209432,5.0
16.111423,5.9653807,5.0
43.369923,1.4332095,5.0
22.5,3.1415927,5.0
14.896339,9.925868,5.0
43.069786,1.5707964,5.0
61.79447,1.0209432,5.0
22.438524,7.1665416,5.0
57.86938,0.037085462,5.0
30.522078,1.1104593,5.0
115.90029,0.19963148,5.0
60.973564,0.8823985,5.0
29.068884,0.85843873,5.0
32.195114,1.8094057,5.0
9.348667,1.5707964,5.0
80.18091,0.0,5.0
19.443975,1.0094367,5.0
102.59142,0.17636615,5.0
171.6015,0.008501461,5.0
179.5361,1.4192481,5.0
206.0391,0.4480239,5.0
8.705684,8.36108,5.0
55.86167,0.5325041,5.0
1.2832748,0.13863973,5.0
5.7714186,2.8188424,5.0
165.48256,0.9066587,5.0
71.64507,0.17636615,5.0
10.535415,1.8094057,5.0
16.356718,1.8995073,5.0
18.398369,0.0,5.0
24.288528,6.8330383,5.0
142.03592,0.8996997,5.0
158.67467,0.328711,5.0
44.0,1.5707964,5.0
20.741482,4.672838,5.0
15.378982,1.0636978,5.0
24.81053,1.8332776,5.0
34.83419,0.9189272,5.0
11.454207,3.2105832,5.0
47.170944,0.27165774,5.0
0.0,0.61072594,5.0
93.25,0.39906093,5.0
107.90706,0.27970415,5.0
41.63275,2.5948038,5.0
27.435455,3.380202,5.0
46.738323,1.8094057,5.0
18.398369,0.82384074,5.0
72.919426,0.23198916,5.0
17.300282,2.2039716,5.0
7.439816,2.8188424,5.0
51.591183,2.0800729,5.0
159.63315,0.91071665,5.0
153.61209,0.037726417,5.0
15.3274355,1.5876597,5.0
353.4258,0.26625204,5.0
4.56392,0.0,5.0
54.480526,0.91622555,5.0
47.64893,0.06221489,5.0
13.544369,1.4157422,5.0
17.684814,3.6426833,5.0
29.65451,1.8374248,5.0
61.30747,0.07870281,5.0
26.587702,1.7471625,5.0
