Speed angle vs. Modulus speed from (100, 302) to (330, 323)
Modulus speed (points/sec)
Speed angle (radians)
0.0,-0.0,1.0
67.44627,0.2701532,1.0
33.723137,0.2701532,1.0
53.0,-0.0,1.0
53.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
3.6,1.5707964,1.0
0.0,-0.6246354,1.0
36.71512,0.5123895,1.0
29.841248,0.15137544,1.0
0.0,0.15137544,1.0
33.0,-0.0,1.0
16.5,0.0,1.0
0.0,0.0,1.0
16.5,-0.0,1.0
33.0,0.0,1.0
33.0,-0.0,1.0
13.25,-0.0,1.0
0.0,-0.0,1.0
14.21267,0.6857295,1.0
0.0,0.6857295,1.0
0.0,0.6857295,1.0
0.0,0.6857295,1.0
0.0,0.6857295,1.0
0.0,0.6857295,1.0
54.0,0.0,1.0
0.0,0.79663366,1.0
0.0,0.79663366,1.0
0.0,-1.2442149,1.0
28.42534,0.6857295,1.0
13.25,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
4.5,-1.5707964,1.0
18.0,1.5707964,1.0
0.0,1.5707964,1.0
0.0,0.27746353,1.0
0.0,0.27746353,1.0
0.0,0.27746353,1.0
0.0,0.27746353,1.0
0.0,0.27746353,1.0
0.0,0.27746353,1.0
4.5,1.5707964,1.0
9.0,-1.5707964,1.0
37.589893,0.49934673,1.0
0.0,0.38307706,1.0
0.0,0.38307706,1.0
0.0,-0.0316239,1.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
18.35756,0.5123895,5.0
0.0,0.5123895,5.0
0.0,0.5123895,5.0
36.71512,0.5123895,5.0
0.0,0.5123895,5.0
0.0,0.5123895,5.0
6.4,0.0,5.0
17.666666,-0.0,5.0
43.931767,0.20632389,5.0
43.931767,0.20632389,5.0
22.0,-0.0,5.0
0.0,-0.0,5.0
21.5,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
33.723137,0.2701532,5.0
18.35756,0.5123895,5.0
0.0,0.5123895,5.0
0.0,0.5123895,5.0
0.0,0.5123895,5.0
9.0,-1.5707964,5.0
0.0,0.14301687,5.0
43.0,-0.0,5.0
0.0,0.09454487,5.0
0.0,-0.0,5.0
32.5,-0.0,5.0
21.5,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
9.0,-1.5707964,5.0
0.0,-1.5707964,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
38.26552,0.117872104,5.0
0.0,0.117872104,5.0
27.5,0.0,5.0
48.5,0.0,5.0
16.0,-0.0,5.0
28.666666,0.0,5.0
5.5,0.0,5.0
0.0,0.1746722,5.0
53.0,0.0,5.0
0.0,0.0,5.0
