Path length vs. Time spent from (560, 302) to (790, 323)
Time spent (sec)
Path length (points/sec)
0.121211655,2.6666565,1.0
0.36363375,9.799437,1.0
0.30302894,14.781396,1.0
1.2199763,10.5662985,1.0
11.098764,54.878975,1.0
28.068304,51.170425,1.0
10.908241,186.49963,1.0
2.9999986,109.91838,1.0
14.060606,154.5235,1.0
1.6981136,49.491783,1.0
5.9483094,43.590996,1.0
2.6036034,80.17419,1.0
0.20568344,10.03755,1.0
2.602562,426.1556,1.0
1.2518507,111.6798,1.0
2.2962935,54.195442,1.0
2.1018045,202.2227,1.0
0.7499997,100.083435,1.0
4.2962933,151.96768,1.0
9.152024,627.9985,1.0
0.38410595,116.205864,1.0
5.999998,71.12031,1.0
3.0,0.0,1.0
0.0,0.0,1.0
12.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
15.0,0.0,1.0
12.503755,439.1326,1.0
2.7861576,232.44896,1.0
27.49905,771.87164,1.0
5.0,0.0,1.0
3.6666613,80.69134,1.0
9.435482,323.55374,1.0
5.275414,89.00585,1.0
3.333332,247.56482,1.0
3.3583155,232.10103,1.0
1.9907746,232.71385,1.0
0.69166666,166.23311,1.0
5.399835,329.93594,1.0
0.0,0.0,1.0
1.4529222,382.79016,1.0
13.362776,484.77298,1.0
10.022196,1134.4705,1.0
5.821782,169.30782,1.0
0.0,0.0,1.0
2.044443,79.29075,1.0
5.760012,524.54663,1.0
1.7027067,101.04128,1.0
1.1560893,87.75484,1.0
2.3302429,432.0,1.0
5.4910936,323.74524,1.0
2.108604,168.11192,1.0
3.648855,433.0183,1.0
1.982188,306.2544,1.0
3.9999988,251.62209,1.0
0.41750458,7.4488215,1.0
0.46055436,216.15903,1.0
15.631012,2061.704,1.0
5.692968,1596.7589,1.0
5.098764,149.02567,1.0
1.0193135,86.77124,1.0
49.82178,101.0,1.0
5.1259246,60.45493,1.0
0.2962946,7.2684503,1.0
0.6612521,35.273666,1.0
5.333333,72.733475,1.0
6.0125775,72.0305,1.0
3.2252402,23.648306,1.0
0.121212065,7.046999,1.0
0.66666585,31.420055,1.0
0.0,0.0,1.0
7.0,30.805843,1.0
0.0,0.0,1.0
11.0,371.74722,1.0
18.535345,670.2698,1.0
4.134534,78.29953,1.0
4.125925,118.825165,1.0
7.6833553,174.65149,1.0
6.1691775,628.1418,1.0
9.821782,169.44997,1.0
2.0646763,174.86147,1.0
3.0442889,238.1616,1.0
5.333332,38.666656,1.0
2.181816,11.389019,1.0
10.629627,151.96768,1.0
1.8189524,348.45834,1.0
4.2697225,611.19257,5.0
9.72399,131.25226,5.0
0.83726,126.17375,5.0
3.4014714,167.34782,5.0
9.999997,95.41709,5.0
1.7239907,131.25226,5.0
2.7520149,168.11192,5.0
2.5306122,66.05092,5.0
22.513514,88.43872,5.0
3.287129,168.61562,5.0
5.643564,235.21252,5.0
0.121212065,3.5234995,5.0
8.238717,2101.151,5.0
3.0231295,415.3027,5.0
0.91851807,41.333313,5.0
3.486286,78.29953,5.0
2.7878773,123.84626,5.0
4.63355,1099.3446,5.0
3.765304,106.30616,5.0
1.5089935,55.093994,5.0
5.313139,434.05173,5.0
4.61859,432.64343,5.0
2.1490026,432.43536,5.0
0.31874058,10.5662985,5.0
4.524802,163.51492,5.0
2.666666,70.813835,5.0
5.365974,249.3725,5.0
2.3030288,33.87288,5.0
2.1975312,138.42369,5.0
2.3102303,132.01636,5.0
2.0,0.0,5.0
0.2952381,31.0,5.0
9.633513,223.84178,5.0
10.19753,65.24591,5.0
8.065868,223.0428,5.0
11.999999,69.796486,5.0
14.049335,903.30054,5.0
0.0,0.0,5.0
14.809809,177.71706,5.0
0.68924105,34.634224,5.0
0.12121121,5.3747983,5.0
1.0980393,56.0,5.0
0.2962946,3.6342251,5.0
4.0954895,66.49796,5.0
7.513512,97.42115,5.0
3.9928248,909.82654,5.0
2.2424228,33.877853,5.0
6.5925865,55.111034,5.0
2.2962947,3.6342251,5.0
2.172227,167.85153,5.0
21.327595,229.78828,5.0
4.6488547,216.0,5.0
8.199373,471.70673,5.0
7.9801617,374.75095,5.0
1.4628341,46.33225,5.0
5.1801796,79.91638,5.0
8.787876,62.9938,5.0
4.007767,651.6371,5.0
0.19752973,3.6342251,5.0
3.2653062,51.02546,5.0
1.6470588,56.0,5.0
21.513514,279.27835,5.0
5.332278,233.63873,5.0
7.1801796,79.91638,5.0
1.0027245,34.634224,5.0
4.098039,56.0,5.0
6.2192507,126.33778,5.0
2.0444434,42.950165,5.0
0.09876562,3.7712433,5.0
1.709461,219.5235,5.0
33.421978,413.1879,5.0
5.487976,118.86914,5.0
10.535576,115.65833,5.0
0.0,0.0,5.0
1.9673645,220.80734,5.0
7.6666665,48.18461,5.0
3.758996,846.41565,5.0
9.560306,671.84674,5.0
2.4320316,78.29953,5.0
0.31874138,6.3008814,5.0
0.9999992,44.56702,5.0
1.333332,74.68176,5.0
1.7239907,131.25226,5.0
2.156321,240.6552,5.0
3.9402742,591.1885,5.0
5.7372656,216.25136,5.0
1.7313433,117.04188,5.0
0.827091,25.97721,5.0
6.19753,65.24591,5.0
0.92640644,33.666656,5.0
2.4320316,78.29953,5.0
2.062533,114.49816,5.0
1.2868217,83.80411,5.0
2.121212,3.5234995,5.0
194.07692,116.82162,5.0
3.1311047,689.0,5.0
3.9954975,358.40488,5.0
2.666666,258.73886,5.0
0.965986,65.97825,5.0
0.09876487,3.6342251,5.0
0.19752993,6.3008814,5.0
5.558024,67.30088,5.0
5.8555217,116.10538,5.0
1.5135134,115.26575,5.0
2.172227,167.85153,5.0
6.432031,163.4762,5.0
2.2962952,41.333313,5.0
7.586559,238.83131,5.0
4.9975915,409.00555,5.0
14.575307,116.718414,5.0
1.8361703,150.22142,5.0
2.0987644,15.928359,5.0
2.7133758,89.060745,5.0
9.722169,637.86316,5.0
27.830448,935.7877,5.0
2.3441465,167.34782,5.0
0.121211484,3.0670338,5.0
1.8370361,41.333313,5.0
3.8461537,216.0,5.0
2.7250464,373.31802,5.0
10.296294,148.45474,5.0
1.9763234,114.59282,5.0
26.175844,91.3439,5.0
0.71898067,37.551327,5.0
5.9282784,837.70135,5.0
2.0,78.29953,5.0
2.7008893,167.85153,5.0
2.2160158,78.29953,5.0
8.755553,55.106724,5.0
1.6435645,108.40908,5.0
4.350445,167.30782,5.0
0.0,16.101025,5.0
2.5790884,216.25136,5.0
21.936537,462.77594,5.0
10.7783785,216.0,5.0
15.723713,139.11409,5.0
5.9534874,241.04362,5.0
4.8795805,215.84192,5.0
12.573644,203.22163,5.0
9.159849,432.21643,5.0
29.761614,1005.3059,5.0
14.76543,237.8921,5.0
1.7800565,77.20091,5.0
1.8370361,41.333313,5.0
6.116048,91.10673,5.0
1.7800565,76.66666,5.0
3.8877184,240.23952,5.0
18.432243,413.59238,5.0
1.9595776,113.399536,5.0
2.8615384,87.3401,5.0
1.892856,219.38255,5.0
0.24242303,14.781396,5.0
0.121212065,3.5234995,5.0
2.4320316,78.29953,5.0
5.098765,47.666656,5.0
5.1442523,412.47083,5.0
7.104899,138.14748,5.0
0.82178223,84.30781,5.0
2.520953,432.5993,5.0
0.80139774,143.87984,5.0
3.9548721,814.8582,5.0
8.918517,77.64179,5.0
7.77654,434.41052,5.0
430.21033,552.07806,5.0
8.918518,51.4725,5.0
3.982364,659.0118,5.0
2.335231,167.30782,5.0
7.4320316,78.29953,5.0
2.3187404,37.926987,5.0
0.39505947,7.2684503,5.0
9.918517,240.90617,5.0
1.5468446,219.70749,5.0
1.4545441,230.7993,5.0
0.060605828,2.6666565,5.0
11.643564,241.50479,5.0
4.9185176,75.64179,5.0
3.7110431,92.072945,5.0
4.1990047,146.26892,5.0
50.313183,576.29767,5.0
2.7986796,132.01636,5.0
0.0,0.0,5.0
2.3163538,216.0,5.0
4.25977,459.65927,5.0
3.7567568,156.40411,5.0
2.7567568,75.63287,5.0
1.6752748,78.29953,5.0
0.19752973,3.6342251,5.0
2.3980093,174.86147,5.0
8.585184,148.5261,5.0
6.918518,51.4725,5.0
3.8693378,199.6237,5.0
1.377026,219.819,5.0
6.092545,935.88855,5.0
15.846846,242.89151,5.0
5.0052147,1768.972,5.0
1.5925893,7.2684503,5.0
1.9758435,107.64499,5.0
3.5226715,167.85153,5.0
4.1838236,56.66725,5.0
3.1160479,55.106724,5.0
4.03973,119.79622,5.0
8.364112,512.78253,5.0
7.281041,193.58615,5.0
1.1577604,240.74867,5.0
4.467532,171.8749,5.0
3.486286,78.29953,5.0
3.9185178,69.30845,5.0
1.465193,168.11192,5.0
3.2962947,65.24591,5.0
1.9727725,78.29953,5.0
0.836474,160.65541,5.0
14.538672,1436.397,5.0
2.0129867,63.671505,5.0
10.098038,170.4594,5.0
5.400467,687.0727,5.0
2.2962952,41.333313,5.0
0.19752973,3.6342251,5.0
3.2962947,3.6342251,5.0
1.333332,115.63917,5.0
4.8004556,108.186005,5.0
0.800457,36.968987,5.0
10.117323,916.60706,5.0
2.3333313,54.424126,5.0
0.88051873,60.181126,5.0
5.1801767,103.249596,5.0
2.3102303,132.01636,5.0
6.693693,115.06128,5.0
4.562083,131.97447,5.0
1.585184,116.38624,5.0
1.6435645,84.30781,5.0
28.810219,944.2832,5.0
2.0705009,64.86121,5.0
3.6435645,84.30781,5.0
0.0,0.0,5.0
13.999998,264.0418,5.0
15.849931,653.47314,5.0
3.4950087,432.63812,5.0
10.61039,676.5484,5.0
2.864196,42.30088,5.0
1.9185174,42.950165,5.0
6.1975284,126.10529,5.0
12.255113,1065.4738,5.0
1.8370361,41.333313,5.0
1.3777763,47.28358,5.0
1.6435645,84.30781,5.0
4.3459115,72.112144,5.0
1.1212106,255.70471,5.0
2.1818154,141.26033,5.0
3.918518,51.4725,5.0
2.27027,115.26575,5.0
0.19752973,3.6342251,5.0
2.4653468,84.30781,5.0
2.0049329,219.819,5.0
0.121212065,3.5234995,5.0
17.197529,608.67053,5.0
2.788006,64.924706,5.0
6.19753,78.33138,5.0
10.770067,219.5235,5.0
0.1818172,19.624523,5.0
0.39505947,7.2684503,5.0
12.462836,54.659683,5.0
2.9185169,134.44438,5.0
1.400601,219.77486,5.0
3.8933954,700.6392,2.0
3.608512,166.30147,2.0
9.953486,131.51265,2.0
7.108911,168.61562,2.0
4.180179,132.34142,2.0
11.333332,95.41709,2.0
2.930386,168.11192,2.0
5.287129,168.61562,2.0
8.27027,115.26575,2.0
3.5904763,31.0,2.0
3.378482,34.634224,2.0
