PhoneID,Track,Total path length,Total time stopped,Total number of stops,Total time spent,Total inactive time,Total change in speed theta,Total time spent per stop,Total average speed,Total times appeared in this area
1,1,41.9899999,0,0,0,0,1.801462799,0,0,1
1,2,166.2974883,0,0,34.37238104,94,0.29192842,0,4.83811372,2
1,3,85.36773907,0,0,9,0,0.168681143,0,9.485304341,1
1,4,274.4978073,0,1,94.77529349,58,12.44334877,0,2.896301317,2
1,5,126.3584149,0,0,0,0,0.269475358,0,0,1
1,6,122.4154202,4,1,4,0,5.754926266,4,30.60385504,3
1,7,30.95011905,0,0,0,0,0.347860476,0,0,1
1,8,377.1795051,44,5,45.21857504,0,12.34656998,8.8,8.34125146,5
1,9,122.6930858,0,0,6,0,0.220842101,0,20.44884763,1
1,10,403.0045191,3,2,251.7381922,239,18.85597605,1.5,1.600887476,8
1,11,0,0,0,0,0,0,0,0,0
1,12,272.4677145,34,5,31.02232757,0,14.91406158,6.8,8.78295524,4
1,13,79.47704375,0,1,0,0,0.517307088,0,0,2
1,14,418.2968034,45,4,59.18450949,94,22.49537865,11.25,7.067673738,5
1,15,82.21488792,0,0,0,0,0.029944488,0,0,1
1,16,340.0345411,0,0,165.572426,143,1.569058679,0,2.053690637,2
1,17,32.84891839,0,0,0,0,0.15957741,0,0,1
1,18,44.127158,0,0,3.613839541,0,0.001007286,0,12.21060246,1
1,19,14.98146808,0,0,0,0,0,0,0,1
1,20,0,0,0,0,0,0,0,0,0
1,21,151.1542054,0,0,2.682247457,0,1.447417147,0,56.3535646,2
1,22,30.51774069,0,0,9,0,0.247344825,0,3.390860077,1
1,23,40.73181698,0,0,53.87624488,0,0,0,0.756025537,1
1,24,0,0,0,0,0,0,0,0,0
1,25,0,0,0,0,0,0,0,0,0
1,26,0,0,0,0,0,0,0,0,0
1,27,0,0,0,0,0,0,0,0,0
1,28,82.79623711,0,2,0,0,5.323443682,0,0,1
1,29,0,0,0,0,0,0,0,0,0
1,30,0,0,0,0,0,0,0,0,0
1,31,98.88919056,0,0,6.793456419,0,2.79E-04,0,14.55653565,1
1,32,76.27586459,0,1,2.782462551,0,2.172389188,0,27.41307859,1
1,33,45.69679008,0,2,1.911686975,0,2.983612787,0,23.90390826,2
1,34,0,0,0,0,0,0,0,0,0
1,35,0,0,0,0,0,0,0,0,0
1,36,595.8325128,377,6,276.4859245,361,35.4126418,62.83333333,2.155019333,10
1,37,0,0,0,0,0,0,0,0,0
1,38,441.4235875,91,3,253.0187078,37,18.27666568,30.33333333,1.744628258,9
1,39,48.83529142,0,1,2,0,0.884398674,0,24.41764571,2
2,1,208.3222902,2,1,6.791497103,0,4.076127113,2,30.67398646,4
2,2,0,0,0,0,0,0,0,0,0
2,3,110.25246,0,0,4,0,1.618038905,0,27.56311499,1
2,4,0,0,0,0,0,0,0,0,0
2,5,87.49051548,0,0,0,0,3.020756473,0,0,1
2,6,0,0,0,0,0,0,0,0,0
2,7,30.52592863,0,1,72.83826978,0,1.45484177,0,0.419091897,2
2,8,39.09334372,0,0,0.327976018,0,1.119677552,0,119.1957388,1
2,9,50.59101197,0,0,3.777845936,0,0,0,13.39149686,1
2,10,0,0,0,0,0,0,0,0,0
2,11,347.3902481,0,2,3.889717545,0,13.6834041,0,89.30989053,7
2,12,22.02056484,0,0,0.737674672,0,0.062387261,0,29.8513229,1
2,13,276.6846262,0,1,27.25432232,100,8.298887958,0,10.15195399,8
2,14,79.79508639,0,0,1,0,0.067651982,0,79.79508639,1
2,15,0,0,0,0,0,0,0,0,0
2,16,0,0,0,0,0,0,0,0,0
2,17,0,0,0,0,0,0,0,0,0
2,18,205.5184828,2,3,2.664597518,0,3.990341181,0.666666667,77.12927804,3
2,19,261.2843616,0,0,5.697733506,0,1.033744596,0,45.85759607,1
2,20,0,0,0,0,0,5.38E-04,0,0,1
2,21,91.54233702,0,0,0,0,2.116866213,0,0,1
2,22,150.1674661,0,2,0,0,5.062349531,0,0,2
2,23,105.7685765,0,0,4,0,0.460683365,0,26.44214412,1
2,24,0,0,0,0,0,0,0,0,0
3,1,115.4695483,0,0,2,0,0.320721222,0,57.73477417,1
3,2,568.387222,0,0,23.27281742,15,6.439207709,0,24.42279384,9
3,3,211.7724109,0,1,0,0,7.712349023,0,0,3
3,4,0,0,0,0,0,0,0,0,0
3,5,45.01667386,0,0,0,0,0.09775777,0,0,1
3,6,87.21454161,0,0,2.687152201,0,3.089612471,0,32.45612272,1
3,7,135.8842261,0,0,0,0,4.492018955,0,0,1
3,8,0,0,0,0,0,0,0,0,0
3,9,8.451490317,0,0,0.657477467,0,0.001237385,0,12.8544182,1
3,10,98.65880961,0,0,3.33422017,0,0.060501357,0,29.5897705,1
3,11,0,0,0,0,0,0,0,0,0
3,12,0,0,0,0,0,0,0,0,0
3,13,130.9036223,0,0,0,0,0.606424784,0,0,1
3,14,573.0246414,0,2,42.49466157,0,17.25052645,0,13.48462655,9
3,15,0,0,0,0,0,0,0,0,0
3,16,746.0807045,10,5,102.5751147,883,14.0392865,2,7.273505922,12
3,17,113.6026757,0,0,0,0,1.128496604,0,0,2
3,18,9.074717045,0,0,0,0,0.036246041,0,0,1
3,19,152.6060609,0,1,3.141145446,0,0.787980499,0,48.58293368,2
3,20,26.57863382,0,0,0,0,0.196813606,0,0,1
3,21,0,0,0,0,0,0,0,0,0
3,22,1028.674263,0,2,42.14628599,0,14.56009509,0,24.40723398,8
3,23,0,0,0,0,0,0,0,0,0
3,24,312.9937632,39,1,42.41796011,65,3.300053273,39,7.378802809,6
3,25,26.6154547,0,0,0,0,0.276985397,0,0,1
3,26,565.6437132,1,1,77.02439708,27,4.170481194,1,7.343695434,8
3,27,0,0,0,0,0,0,0,0,0
3,28,147.7202503,0,0,9.789661612,0,2.067634079,0,15.08941332,2
3,29,127.6010242,0,0,4,0,0.213584692,0,31.90025604,1
3,30,380.7036871,4,1,16.1258989,0,2.374264491,4,23.60821493,4
3,31,147.198626,0,0,0,0,1.661107143,0,0,2
3,32,0,0,0,0,0,0,0,0,0
3,33,0,0,0,0,0,0,0,0,0
3,34,345.6951049,7,2,11.33619649,0,9.376436313,3.5,30.49480531,4
3,35,0,0,0,0,0,0,0,0,0
3,36,416.5483645,7,3,99.04816421,153,9.546625247,2.333333333,4.205513224,4
4,1,126.7237383,0,0,12.88915868,0,0.023688299,0,9.831808372,1
4,2,260.5387876,0,0,299.4552599,513,0.365989824,0,0.870042449,2
4,3,339.4869802,0,0,406.8756512,684,0.697378422,0,0.834375267,4
4,4,85.33295214,0,0,3.864970156,0,1.796372713,0,22.07855396,3
4,5,109.1454991,0,0,14.39539649,0,0.159317967,0,7.581972417,1
4,6,0,0,0,0,0,0,0,0,0
4,7,286.1167055,0,0,34.55770729,23,0.093076863,0,8.279389112,2
4,8,0,0,0,0,0,0,0,0,0
4,9,2.022928066,0,0,0.072925437,0,0.004789954,0,27.73967709,1
4,10,364.3896551,0,0,119.5439362,0,1.868061054,0,3.048165108,5
4,11,42.73901024,0,0,3.320605895,0,0.203923168,0,12.87084695,1
5,1,229.2434124,0,1,10,0,13.90226673,0,22.92434124,3
5,2,0,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0,0
5,4,78.73055263,0,0,0,0,0.345724318,0,0,1
5,5,183.6890331,0,0,3,0,0.061815716,0,61.22967769,1
5,6,0,0,0,0,0,0,0,0,0
5,7,41.39832992,0,0,0,0,2.093099717,0,0,1
5,8,0,0,0,0,0,0,0,0,0
5,9,73.07921435,0,1,0,0,0.357529976,0,0,1
5,10,107.9114967,0,0,5.850566502,0,0.244933147,0,18.44462355,1
5,11,0,0,0,0,0,0,0,0,0
5,12,57.00549628,0,0,0,0,0.148923265,0,0,1
5,13,135.8748723,0,0,2.147255069,0,0.421098118,0,63.27840333,1
