Speed angle changed vs. Modulus speed from (660, 2) to (693, 302)
Modulus speed (points/sec)
Speed angle changed (radians)
0.0,0.0,1.0
0.0,0.0,1.0
2.4970572,2.4498801,1.0
0.0,0.0,1.0
99.5,0.77447814,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
178.08424,-2.5170345,1.0
0.0,0.0,1.0
62.0,2.95521,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
12.601984,0.91887534,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.032689434,-2.4861774,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
7.66123,-0.5990192,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.0,0.9339953,5.0
33.522797,-0.3343285,5.0
31.216982,-2.2503626,5.0
0.0,0.0,5.0
0.0,0.0,5.0
46.778736,-2.3124673,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
16.0,2.6530392,5.0
33.0,-0.82429564,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
22.98369,-0.62407273,5.0
32.0,0.80078155,5.0
0.0,0.0,5.0
0.0,0.0,5.0
16.0,2.0132685,5.0
32.0,-3.1415927,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
16.5,-0.851093,5.0
0.0,0.0,5.0
0.0,0.0,5.0
38.910152,-1.4192481,5.0
41.400482,0.47031048,5.0
0.0,0.0,5.0
26.400757,-0.67738646,5.0
0.0,0.0,5.0
65.0,-2.2367656,5.0
0.0,0.0,5.0
0.0,0.0,5.0
14.115594,-2.0123723,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
42.346783,-1.7358046,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
52.0,-2.036727,5.0
0.0,0.0,5.0
52.0,3.1415927,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
72.892044,-1.8627223,5.0
57.421684,0.06311553,5.0
32.0,2.8501358,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.0,-2.0910635,5.0
0.0,0.0,5.0
72.892044,-1.8627223,5.0
72.892044,0.0,5.0
0.0,0.0,5.0
145.78409,-2.049672,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
41.0,-1.7425877,5.0
33.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.0,1.034589,5.0
47.5,0.0,5.0
79.5,-3.1415927,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.0,3.1415927,5.0
0.0,0.0,5.0
72.892044,-2.9132514,5.0
72.892044,0.0,5.0
0.0,0.0,5.0
16.0,0.9339953,5.0
0.0,0.0,5.0
16.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.0,-2.0910635,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.0,3.1415927,5.0
0.0,0.0,5.0
8.0,-3.1415927,5.0
22.98369,2.340811,5.0
0.0,0.0,5.0
0.0,0.0,5.0
22.98369,0.0,5.0
0.0,0.0,5.0
22.98369,0.0,5.0
45.96738,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
22.98369,-1.2768453,5.0
9.193476,-1.110223E-16,5.0
22.98369,1.110223E-16,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
22.98369,0.0,5.0
114.69307,1.2765682,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
16.0,2.825133,2.0
33.0,-1.255895,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
22.98369,1.3114865,2.0
32.0,0.88912547,2.0
15.32246,-0.034147955,2.0
16.0,0.80078155,2.0
11.491845,-0.80078155,2.0
32.5,0.9901089,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
16.0,0.6488131,2.0
0.0,0.0,2.0
0.0,0.0,2.0
39.601135,-0.67738646,2.0
16.5,-0.8399579,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
25.16446,-1.6975212,2.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
20.8,-2.20234,3.0
0.0,0.0,3.0
9.133333,-2.2130163,3.0
0.0,0.0,3.0
0.0,0.0,3.0
16.0,-2.208722,3.0
9.133333,0.761965,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
21.666666,-0.93010813,3.0
32.5,3.1415927,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
70.459206,-0.591835,3.0
0.0,0.0,3.0
2.4035087,2.1983593,3.0
4.642857,-3.1415927,3.0
0.0,0.0,3.0
0.0,0.0,3.0
104.0,-1.9838336,3.0
36.448593,-1.8145756,3.0
21.751118,-0.62150294,3.0
0.0,0.0,3.0
0.0,0.0,3.0
19.455076,-0.95037144,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
33.0,-0.8088314,3.0
36.37001,-0.85196006,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
36.37001,0.0,3.0
2.0555556,2.834334,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
32.5,-2.1144416,3.0
0.0,0.0,3.0
0.0,0.0,3.0
36.448593,-1.766983,3.0
21.666666,0.8450289,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
9.193476,0.13321371,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
27.5,-2.374959,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
1.4347826,-0.9116791,3.0
0.0,0.0,3.0
70.459206,-1.722297,3.0
0.0,0.0,3.0
16.5,1.3344233,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
75.817215,0.83114487,3.0
0.0,0.0,3.0
0.0,0.0,3.0
38.910152,-0.9378788,3.0
57.0,0.64640385,3.0
0.0,0.0,3.0
31.0,1.8856977,3.0
201.71762,-2.977259,3.0
3.3,1.0461831,4.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
36.448593,-0.07005323,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
89.04212,-2.3564007,1.0
0.0,0.0,1.0
33.0,1.0251412,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
