Speed angle changed vs. Modulus speed from (330, 302) to (560, 323)
Modulus speed (points/sec)
Speed angle changed (radians)
17.0,-0.67114383,1.0
19.235384,0.17933212,1.0
120.353645,-0.33677673,1.0
0.0,0.0,1.0
0.0,0.0,1.0
112.44999,-0.61002284,1.0
70.0,0.16076274,1.0
18.0,1.5707964,1.0
141.1524,-1.6986662,1.0
0.0,0.0,1.0
70.0,0.12786992,1.0
86.88498,0.20868176,1.0
43.44249,0.0,1.0
34.132095,0.34681198,1.0
0.0,0.0,1.0
0.0,0.0,1.0
63.0,-0.5554937,1.0
63.0,-0.44926012,1.0
6.0,0.43750978,1.0
0.0,0.0,1.0
0.0,0.0,1.0
9.0,-2.0200565,1.0
11.377365,1.0153025,1.0
9.666667,0.5554937,1.0
18.0,-2.0200565,1.0
0.0,0.0,1.0
46.0,1.5707964,1.0
3.6,0.8938815,1.0
18.0,-3.1415927,1.0
93.74433,1.7640078,1.0
9.0,-1.7339667,1.0
27.666666,1.5707964,1.0
28.0,-1.0040671,1.0
16.643316,0.57133746,1.0
0.0,0.0,1.0
28.0,1.5707964,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
57.870544,0.3694434,1.0
29.410883,-0.83560365,1.0
28.0,-0.33725318,1.0
55.5,-0.52888155,1.0
111.0,0.0,1.0
0.0,0.0,1.0
83.95237,-0.21608497,1.0
83.95237,0.0,1.0
41.976185,0.0,1.0
7.25,0.21608497,1.0
7.0,0.49934673,1.0
28.0,1.0040671,1.0
14.0,-0.25877088,1.0
58.821766,-0.54090273,1.0
32.449963,-0.27700433,1.0
14.5,0.5880026,1.0
0.0,0.0,1.0
0.0,0.0,1.0
112.44999,1.4100336,1.0
29.410883,-0.19839205,1.0
110.0,-0.052277904,1.0
0.0,0.0,1.0
0.0,0.0,1.0
56.0,-0.16317044,1.0
0.0,0.0,1.0
56.0,-0.24497867,1.0
112.44999,-0.16076274,1.0
56.224995,0.0,1.0
29.0,0.16076274,1.0
0.0,0.0,1.0
17.066048,0.5554937,1.0
0.0,0.0,1.0
65.52099,0.35315952,1.0
32.760494,0.0,1.0
65.52099,0.0,1.0
65.52099,0.0,1.0
0.0,0.0,1.0
14.5,0.40442207,1.0
28.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
9.0,2.5849934,1.0
0.0,0.0,1.0
0.0,0.0,1.0
9.666667,-0.74969906,1.0
46.872166,-0.27043614,1.0
0.0,0.0,1.0
31.5,-0.19321148,1.0
0.0,0.0,1.0
21.0,0.0,1.0
83.95237,-0.43130717,1.0
14.0,-0.3239877,1.0
33.286633,-0.57133746,1.0
28.0,0.57133746,1.0
28.0,-0.0,1.0
0.0,0.0,1.0
9.0,-1.5707964,1.0
33.286633,0.99945885,1.0
0.0,0.0,1.0
20.75,0.57133746,1.0
29.0,0.0,1.0
29.0,-0.0,1.0
65.52099,-0.17096046,1.0
29.0,0.0,1.0
32.449963,-1.0516502,1.0
32.449963,0.0,1.0
0.0,0.0,1.0
29.410883,1.259798,1.0
16.643316,-0.10768987,1.0
112.44999,0.41057473,1.0
9.0,1.3177207,1.0
0.0,0.0,1.0
14.0,-1.1466019,1.0
112.44999,-0.16076274,1.0
0.0,0.0,1.0
27.984123,-0.41348052,1.0
112.44999,0.05532223,1.0
0.0,0.0,1.0
0.0,0.0,1.0
9.666667,0.16076274,1.0
0.0,0.0,1.0
55.5,-0.26779923,1.0
0.0,0.0,1.0
0.0,0.0,1.0
29.0,-1.0204104,1.0
0.0,0.0,1.0
63.0,0.0,1.0
174.92856,-0.10308161,1.0
112.44999,-0.32393318,1.0
18.0,0.92922574,1.0
112.44999,-1.731559,1.0
56.224995,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
32.449963,-0.70215386,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
27.0,-0.19739556,1.0
27.0,-0.0,1.0
34.132095,0.5554937,1.0
18.0,0.92922574,1.0
9.0,-3.1415927,1.0
10.920165,-0.08323089,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
112.44999,0.5249668,1.0
112.44999,0.0,1.0
37.48333,0.0,1.0
0.0,0.0,1.0
57.870544,1.8870825,1.0
13.5,-0.31628612,1.0
83.95237,0.21608497,1.0
0.0,0.0,1.0
28.0,1.5707964,1.0
14.0,-0.0,1.0
33.286633,0.22148187,1.0
41.5,1.5707964,1.0
6.0,-1.5707964,1.0
0.0,0.0,1.0
0.0,0.0,1.0
4.266512,2.12629,1.0
141.1524,-0.4323808,1.0
37.48333,-0.032892823,1.0
0.0,0.0,1.0
0.0,0.0,1.0
18.0,-1.4100336,1.0
9.0,3.1415927,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
65.52099,-1.2924967,1.0
0.0,0.0,1.0
0.0,0.0,1.0
28.0,-0.16317044,1.0
119.0,-0.0,1.0
92.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
29.0,-0.23655781,1.0
9.0,3.1415927,1.0
112.44999,0.16076274,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
9.0,1.5707964,5.0
9.0,-3.1415927,5.0
18.0,3.1415927,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.760494,0.54455173,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.760494,0.27829966,5.0
32.760494,0.0,5.0
34.0,-0.27829966,5.0
42.5,0.0,5.0
0.0,0.0,5.0
29.410883,-0.3109983,5.0
0.0,0.0,5.0
0.0,0.0,5.0
29.0,0.3109983,5.0
14.5,-0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
34.132095,-0.5554937,5.0
30.364452,0.2545735,5.0
14.5,0.30092025,5.0
32.760494,0.27829966,5.0
17.0,-0.27829966,5.0
17.066048,0.5554937,5.0
0.0,0.0,5.0
0.0,0.0,5.0
17.066048,-1.1109874,5.0
84.92938,-0.2958299,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
14.0,0.0,5.0
0.0,0.0,5.0
14.0,-0.0,5.0
0.0,0.0,5.0
27.86575,-0.4851933,5.0
0.0,0.0,5.0
14.0,-0.16219883,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
17.066048,-1.0648841,5.0
17.066048,0.0,5.0
14.5,0.5554937,5.0
17.0,0.0,5.0
0.0,0.0,5.0
14.0,0.23860933,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
21.84033,0.082599014,5.0
27.75,-0.13059573,5.0
14.0,-0.0,5.0
14.0,0.0,5.0
0.0,0.0,5.0
19.235384,-0.7531513,5.0
17.066048,1.042393,5.0
9.0,-2.12629,5.0
6.0,3.1415927,5.0
41.5,-1.5707964,5.0
28.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
21.84033,0.27829966,5.0
34.132095,0.27719408,5.0
14.5,-0.5554937,5.0
31.5,-0.34229562,5.0
0.0,0.0,5.0
14.5,0.0,5.0
0.0,0.0,5.0
14.0,1.5707964,5.0
0.0,0.0,5.0
0.0,0.0,5.0
14.0,-0.3498556,5.0
0.0,0.0,5.0
0.0,0.0,5.0
83.95237,0.18495317,5.0
14.0,-0.21608497,5.0
28.0,-0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
14.0,0.0,5.0
33.286633,-0.57133746,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
58.0,0.0,5.0
0.0,0.0,5.0
14.5,-0.0,5.0
14.5,0.0,5.0
28.460499,0.32175055,5.0
0.0,0.0,5.0
17.066048,-0.67429507,5.0
9.0,1.218752,5.0
0.0,0.0,5.0
56.0,-1.5707964,5.0
0.0,0.0,5.0
21.232346,0.21356043,5.0
0.0,0.0,5.0
9.0,1.3572359,5.0
31.5,-1.5707964,5.0
17.066048,-0.8179531,5.0
0.0,0.0,5.0
14.5,0.5554937,5.0
20.988092,0.21608497,5.0
0.0,0.0,5.0
11.377365,-1.2028859,5.0
32.760494,0.8337934,5.0
14.0,0.3520443,5.0
14.0,0.0,5.0
28.460499,0.32175055,5.0
18.973665,0.0,5.0
27.666666,-0.32175055,5.0
32.760494,0.27829966,5.0
