Total angle changed vs. Path length from (790, 302) to (1020, 323)
Path length (points/sec)
Total angle changed (radians)
76.941536,0.6805457,5.0
331.42188,0.53037417,5.0
0.0,0.6319333,5.0
0.0,0.0837588,5.0
0.0,0.47510824,5.0
74.1935,0.2340898,5.0
0.0,0.00506678,5.0
233.8007,0.661309,5.0
131.00333,2.6546934,5.0
0.0,0.56524885,5.0
97.19981,1.3077474,5.0
516.7205,0.0,5.0
482.6226,0.44697702,5.0
357.9022,0.44697702,5.0
1390.66,0.0,5.0
75.17979,1.3620888,5.0
40.06639,0.44697702,5.0
478.51694,0.25076574,5.0
1509.1157,2.068139,5.0
113.00333,0.9481889,5.0
0.0,0.10464721,5.0
437.3457,0.31183398,5.0
66.90249,0.14119762,5.0
0.0,0.08067178,5.0
0.0,0.0316239,2.0
87.12498,0.26888108,2.0
234.42004,0.014778693,2.0
78.42809,0.3059232,2.0
0.0,2.483704,2.0
373.3436,0.4098869,2.0
0.0,0.41339016,2.0
0.0,0.5059071,2.0
0.0,1.6212208,2.0
0.0,0.090731084,2.0
0.0,0.07731039,2.0
0.0,0.0,2.0
0.0,0.2668904,2.0
0.0,0.029991005,2.0
0.0,0.010610698,2.0
0.0,1.5707964,2.0
0.0,0.26625204,2.0
0.0,0.35146168,2.0
1045.0482,1.3448118,2.0
132.41174,1.0994587,2.0
66.98159,0.025895217,2.0
558.0906,0.008001417,2.0
34.17074,0.61057186,2.0
153.94603,0.014392267,2.0
22.590334,0.89575016,2.0
22.590334,0.9877419,2.0
0.0,0.05042451,2.0
25.893394,1.1688806,2.0
909.73755,0.67499083,2.0
64.684364,0.0,2.0
0.0,0.2713346,2.0
29.134647,1.0662099,2.0
70.34202,0.3981422,2.0
0.0,0.74150914,2.0
24.173584,0.8912547,2.0
82.446686,0.0,2.0
0.0,0.102290735,2.0
0.0,0.70070964,2.0
0.0,0.07943189,2.0
0.0,1.3380969,2.0
0.0,0.56524885,2.0
301.0322,0.7571542,2.0
24.133415,0.96310204,2.0
0.0,0.0,2.0
38.470768,1.5203718,3.0
348.40363,0.29135337,3.0
130.06575,1.1775383,3.0
0.0,1.1775383,3.0
0.0,1.1775383,3.0
0.0,0.53119993,3.0
135.20355,1.737092,3.0
0.0,0.6578886,3.0
0.0,0.0,3.0
0.0,0.51137936,3.0
0.0,0.6663579,3.0
318.69443,0.22499466,3.0
34.798786,0.12749854,3.0
38.470768,2.276486,3.0
64.68441,0.47775325,3.0
0.0,0.28762993,3.0
283.31107,0.0888671,3.0
437.73926,0.4507758,3.0
38.470768,0.5815383,3.0
22.590334,0.9724077,3.0
0.0,1.6212208,3.0
238.09656,0.81906444,3.0
29.134647,0.72359765,3.0
414.25974,0.082685806,3.0
144.94154,1.4374461,3.0
141.0622,1.7826298,3.0
21.468355,1.9217163,3.0
0.0,0.53119993,3.0
0.0,0.8829167,3.0
0.0,0.3817328,3.0
0.0,0.40725586,3.0
0.0,0.50557506,3.0
450.0107,0.8894943,3.0
0.0,0.0,3.0
51.0,4.2427683,3.0
0.0,0.0,3.0
38.470768,0.15130666,3.0
0.0,0.97433376,3.0
0.0,1.2410575,3.0
0.0,0.023924824,3.0
101.161476,0.73172796,3.0
0.0,0.83340687,3.0
97.55658,0.917725,3.0
402.7274,0.36926243,3.0
56.940628,0.40553853,3.0
53.28293,1.3131484,3.0
0.0,0.0,3.0
115.41231,1.464455,3.0
308.31152,1.0691923,3.0
429.34158,0.91694707,3.0
66.0,1.3128482,3.0
68.41052,1.593288,3.0
0.0,0.2774955,3.0
34.798786,0.5436453,3.0
0.0,0.43849587,3.0
0.0,0.0316239,3.0
252.27864,0.9051692,3.0
139.53853,0.11467417,3.0
0.0,0.0,3.0
0.0,0.11880131,3.0
0.0,0.73927706,3.0
0.0,1.7488892,3.0
234.42004,0.21407403,3.0
165.0,0.06706346,3.0
0.0,0.0,3.0
99.0,0.74665785,3.0
0.0,0.043423165,3.0
1289.5593,0.93539935,3.0
66.0,1.624188,3.0
0.0,0.043423165,3.0
0.0,0.5549957,3.0
0.0,1.0691923,3.0
0.0,0.5549957,3.0
0.0,1.399807,3.0
0.0,0.043423165,3.0
0.0,0.043423165,3.0
0.0,0.0,3.0
66.0,1.2472852,3.0
0.0,0.0,3.0
132.0,1.2472852,3.0
0.0,0.0,3.0
955.22144,1.0691923,3.0
136.82104,1.2933114,3.0
0.0,0.0,3.0
18.0,4.0545006,3.0
0.0,1.0691923,3.0
68.41052,0.93539935,3.0
84.0,4.0545006,3.0
38.470768,1.2625829,3.0
37.589893,1.3889759,3.0
38.470768,1.2051014,3.0
25.893394,1.027742,3.0
0.0,0.83340687,3.0
0.0,0.48456624,3.0
139.47076,0.6149794,3.0
236.59142,1.8787824,3.0
0.0,0.024587175,3.0
0.0,0.89259017,3.0
440.42834,1.0691923,3.0
0.0,0.24176389,3.0
38.470768,0.87332463,3.0
0.0,0.0411492,3.0
0.0,0.42225116,3.0
0.0,0.28548884,3.0
