Speed Angle vs Modulus Speed from (87, 364) to (326, 385)
Modulus Speed (points/sec)
Speed Angle (radians)
20.666666,1.5707964,1.0
1.1440347,-1.1071488,1.0
9.838699,-1.1071488,1.0
25.358677,-0.16839015,1.0
2.5238094,-0.0,1.0
12.078447,-0.48833394,1.0
1.6186441,-0.07084896,1.0
15.090394,-0.96441346,1.0
10.359929,-0.845156,1.0
11.333333,0.0,1.0
17.0,-0.0,1.0
34.0,0.0,1.0
10.75,0.0,1.0
75.45197,-0.96441346,1.0
59.609142,-0.14308329,1.0
35.35534,1.0691923,1.0
2.2631578,0.0,1.0
14.333333,-0.0,1.0
34.0,-0.0,1.0
25.666666,0.0,1.0
25.666666,-0.0,1.0
218.66183,-0.07782415,1.0
135.07405,-0.12619154,1.0
67.18631,-0.25580856,1.0
46.38157,-0.7320138,1.0
69.0,0.0,1.0
62.0,1.5707964,1.0
17.0,-0.0,1.0
113.32255,-0.27708754,1.0
50.224495,-0.17005862,1.0
12.833333,0.0,1.0
12.833333,-0.0,1.0
17.5,-0.0,1.0
26.164013,-0.59506965,1.0
37.725986,0.96441346,1.0
12.4,1.5707964,1.0
65.459915,-1.2442149,1.0
32.729958,-1.2442149,1.0
18.740923,0.89883316,1.0
135.07405,-0.12619154,1.0
31.0,1.5707964,1.0
12.817089,-0.22290023,1.0
54.66546,-0.07782415,1.0
87.91189,-0.096839,1.0
75.45197,-0.96441346,1.0
75.45197,0.96441346,1.0
11.0,1.5707964,1.0
71.19691,1.0568767,1.0
31.0,1.5707964,1.0
47.68975,-0.089236066,1.0
43.0,-0.0,1.0
8.5192795,-0.25209597,1.0
59.464275,0.8329813,1.0
233.61935,-0.072832316,1.0
11.0,0.0,1.0
35.164757,-0.096839,1.0
43.477005,-0.5305579,1.0
77.873116,-0.072832316,1.0
78.492035,-0.59506965,1.0
14.333333,0.0,1.0
159.20113,-0.28002527,1.0
74.09078,-0.04950906,1.0
233.61935,-0.072832316,1.0
13.992944,-0.35691193,1.0
32.952827,-0.6779005,1.0
6.1,-0.0,1.0
10.909986,-1.2442149,1.0
4.438351,0.96441346,1.0
7.0278463,0.89883316,1.0
16.575886,-0.845156,1.0
20.719858,-0.845156,1.0
17.67767,1.0691923,1.0
4.769231,1.5707964,1.0
8.5,0.0,1.0
34.0,-0.0,1.0
44.0,1.5707964,1.0
34.5,0.0,1.0
16.796577,-0.25580856,1.0
16.905785,-0.16839015,1.0
72.88728,-0.07782415,1.0
43.0,0.0,1.0
22.0,1.5707964,1.0
44.0,1.5707964,1.0
157.28,-0.28353977,1.0
9.351416,-1.2442149,1.0
21.819971,-1.2442149,1.0
32.436264,0.69079095,1.0
52.920933,-0.080395065,1.0
9.280355,-0.47569522,5.0
10.2294,0.5676664,5.0
127.27922,-0.14189705,5.0
33.593155,-0.25580856,5.0
44.666668,-0.0,5.0
78.492035,-0.59506965,5.0
64.00781,0.5055811,5.0
22.96132,0.69287956,5.0
82.07923,0.3872936,5.0
25.358677,-0.16839015,5.0
20.286942,-0.16839015,5.0
27.802877,0.9129077,5.0
22.17121,-0.5191461,5.0
43.955944,-0.096839,5.0
27.5,-0.9272952,5.0
39.246017,-0.59506965,5.0
17.442764,1.0943289,5.0
50.717354,-0.16839015,5.0
26.44071,-0.5880026,5.0
22.0,1.5707964,5.0
26.266666,-0.0,5.0
11.48066,0.69287956,5.0
