Speed Angle vs Modulus Speed from (326, 343) to (566, 364)
Modulus Speed (points/sec)
Speed Angle (radians)
6.551336,0.5456551,1.0
112.0,-0.0,1.0
18.553226,-0.3103874,1.0
11.131936,-0.3103874,1.0
8.804296,0.67474097,1.0
136.29747,-0.328711,1.0
19.517653,-0.33563855,1.0
4.6383066,-0.3103874,1.0
20.935915,0.2044212,1.0
58.607925,-0.096839,1.0
58.10129,0.15552814,1.0
36.117863,0.38307706,1.0
19.333334,0.0,1.0
82.0,0.0,1.0
27.333334,-0.0,1.0
133.18596,0.101536416,1.0
56.61272,-0.30499235,1.0
179.7248,0.25307566,1.0
14.666667,1.5707964,1.0
83.74366,-0.2044212,1.0
87.414246,-0.097392045,1.0
126.269554,-0.51325226,1.0
51.62364,-1.0204104,1.0
136.06616,-0.12526657,1.0
53.0,-0.0,1.0
10.430724,-1.0040671,1.0
86.72946,-0.3655182,1.0
10.345591,-0.20687395,1.0
81.0,-0.0,1.0
82.764725,-0.20687395,1.0
15.542281,0.44926012,1.0
9.0,-0.0,1.0
19.091883,0.7853982,1.0
27.0,0.0,1.0
53.535034,-0.9983365,1.0
58.0,0.0,1.0
29.0,-0.0,1.0
34.526962,0.26371184,1.0
160.29036,0.16925122,1.0
63.570827,0.50939035,1.0
154.37941,0.17579791,1.0
57.567352,0.29977608,1.0
44.0,1.5707964,1.0
71.56291,-0.4480239,1.0
81.394104,-0.45815316,1.0
27.0,-0.0,1.0
9.905807,0.74969906,1.0
72.235725,0.38307706,1.0
53.430122,0.16925122,1.0
1.8663522,0.10268209,1.0
51.4598,0.17579791,1.0
34.526962,0.26371184,1.0
15.985345,0.21273178,1.0
13.5,0.0,1.0
186.95988,0.14492276,1.0
51.20791,0.4549142,1.0
30.186918,0.4636476,1.0
30.186918,0.4636476,1.0
9.0,1.5707964,1.0
15.953056,0.56192154,1.0
39.623226,0.74969906,1.0
57.118298,0.23860933,1.0
27.5,-0.0,1.0
63.94138,0.21273178,1.0
27.0,1.5707964,1.0
41.0,0.0,1.0
18.333334,-0.0,1.0
27.5,0.0,1.0
105.81233,0.20944317,1.0
29.85067,0.37739596,1.0
3.9285715,-0.0,1.0
108.0,-0.0,1.0
13.5,0.0,1.0
82.87943,-0.845156,1.0
34.0147,-1.1466019,1.0
34.0147,-1.1466019,1.0
119.40268,0.37739596,1.0
29.85067,0.37739596,1.0
17.38454,-1.0040671,1.0
134.61798,-0.23236673,1.0
269.23596,-0.23236673,1.0
71.56291,-0.4480239,1.0
262.0,-0.0,1.0
27.82984,-0.3103874,1.0
51.8001,0.6415706,1.0
29.26175,-0.2947301,1.0
44.0,1.5707964,1.0
71.8401,0.6769149,1.0
89.1852,0.30756712,1.0
19.811613,0.74969906,1.0
27.0,0.0,1.0
31.906113,0.56192154,1.0
164.2833,0.27746353,1.0
33.0,0.0,1.0
160.29036,0.16925122,1.0
29.0,-0.0,1.0
25.895222,0.26371184,1.0
31.072817,0.1746722,1.0
222.59605,0.20356289,1.0
45.0,1.5707964,1.0
87.91189,-0.096839,1.0
17.809368,0.12667653,1.0
27.0,-0.0,1.0
208.75345,0.12970254,1.0
27.5,-0.0,1.0
19.091883,0.7853982,1.0
38.183765,0.7853982,1.0
15.542281,0.44926012,1.0
57.118298,0.23860933,1.0
62.0,1.5707964,1.0
9.333333,-0.0,1.0
52.153618,-1.0040671,1.0
22.0,1.5707964,1.0
78.854294,-0.21729343,1.0
44.0,1.5707964,1.0
71.56291,-0.4480239,1.0
23.485369,0.48745263,1.0
14.0,0.0,1.0
28.0,-0.0,1.0
18.611824,0.49248576,1.0
14.100089,0.92374915,1.0
94.7114,0.23985706,1.0
20.716177,0.26371184,1.0
63.97656,0.43568286,1.0
51.20791,0.4549142,1.0
153.94154,-0.11065722,1.0
13.207742,0.74969906,1.0
16.807735,0.5302158,1.0
14.5,-0.0,1.0
67.5,-0.0,1.0
27.0,0.0,1.0
31.084562,0.44926012,1.0
19.900446,0.37739596,1.0
173.45892,-0.3655182,1.0
102.80078,0.64739215,1.0
34.074368,-0.328711,1.0
27.89375,0.23255694,5.0
34.266926,0.64739215,5.0
14.312582,-0.4480239,5.0
10.430724,1.0040671,5.0
17.133463,0.64739215,5.0
26.076809,1.0040671,5.0
11.009679,-0.4480239,5.0
26.076809,1.0040671,5.0
51.40039,0.64739215,5.0
335.10782,-0.025367692,5.0
