Total angle changed vs. Average speed from (100, 302) to (330, 323)
Average speed (points/sec)
Total angle changed (radians)
0.0,1.4978364,5.0
0.0,0.29101354,5.0
80.700066,0.28255495,5.0
0.0,0.17809294,5.0
0.0,0.0,5.0
333.77988,0.24342592,5.0
0.0,0.0,5.0
29.162437,1.2116889,5.0
0.0,0.0,5.0
0.0,5.551115E-17,5.0
0.0,0.47501075,5.0
0.0,0.11561118,5.0
0.0,0.39479113,5.0
485.78287,0.41635326,5.0
485.78287,1.1353517,5.0
0.0,0.3774792,5.0
97.62812,0.0,5.0
3.642857,3.3726833,5.0
21.230808,4.4900684,5.0
31.821438,0.42018676,5.0
0.0,0.05042451,5.0
0.0,0.085102014,5.0
16.25,0.5442044,5.0
242.89143,0.61714435,5.0
40.225693,1.1353517,5.0
485.78287,0.50954694,5.0
39.36164,1.1135275,5.0
66.63085,1.1649418,5.0
38.04265,2.2407076,5.0
128.87416,1.5629767,5.0
29.1614,0.19078408,5.0
0.0,0.0,5.0
19.768978,0.7873529,5.0
27.816101,1.512983,5.0
0.0,0.0,5.0
0.33544305,0.09596104,5.0
19.117908,0.56896085,5.0
0.0,1.0939916,5.0
1.5642418,0.40674183,5.0
74.42328,0.14310114,5.0
13.602443,0.2769915,5.0
9.610453,0.95868516,5.0
0.0,0.043450896,5.0
250.16045,0.09476581,5.0
260.3464,0.7424325,5.0
167.98544,0.0,5.0
0.0,0.05042451,5.0
6.928571,0.0,5.0
0.0,5.551115E-17,5.0
0.0,0.0,5.0
8.430784,1.0396531,5.0
0.0,0.31399876,5.0
78.78134,0.20373388,5.0
0.0,0.11388963,5.0
0.0,1.1679313,5.0
35.06533,0.71009177,5.0
19.573027,0.28255495,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
6.337738,1.5241257,5.0
31.319616,0.56721026,5.0
0.0,0.88242376,5.0
32.8833,0.6055447,5.0
79.05694,0.47001696,5.0
3.0595932,0.8431301,5.0
0.0,0.0,5.0
0.0,0.0,5.0
