phone_id,track_no,DistToCluster1,DistToCluster2,DistToCluster3,X1,Y1,X2,Y2
ZX1B23QFSP48abead89f52e3bb,100,0.011300795,0.010049591,0.043132834,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.163172519,0.202773143,0.211416481,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.006035163,0.026480384,0.028501432,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.061229216,0.085361891,0.081863763,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.003473519,0.025714389,0.04520636,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.045568307,0.036681099,0.049721374,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.043192808,0.022429474,0.071377424,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.037105771,0.044763451,0.019195114,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.08431233,0.049862801,0.081071673,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.019106919,0.016968231,0.048489666,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.940634436,0.899046827,0.963936263,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.371118076,0.38088203,0.343781936,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.015831774,0.040487154,0.050472659,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.01579487,0.029448488,0.044512829,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.002822487,0.024448587,0.031649189,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.010749818,0.025442549,0.02023128,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.026566274,0.024578681,0.042020173,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.015575112,0.044445318,0.063337283,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.018429714,0.011331979,0.03951202,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.019790994,0.012396999,0.03702478,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.007090427,0.035317575,0.034085127,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.066201296,0.041417458,0.070125924,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.028092771,0.046041877,0.038450779,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.212301542,0.172079668,0.214856965,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.157413433,0.099378429,0.200043341,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.176735454,0.132337344,0.197957477,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.012326003,0.039955405,0.055067277,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.050074088,0.06189769,0.031143898,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.027574096,0.026381906,0.061402566,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.017289499,0.057061448,0.064576277,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.032170218,0.027947319,0.068983691,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.023814601,0.064784134,0.067613089,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.183929363,0.125554228,0.186188292,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.006247657,0.035904787,0.046746524,200.0,302.0,850.0,364.0
ZX1B23QBS53771758c578bbd85,200,0.004751243,0.033184394,0.041184977,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.031365011,0.024988493,0.038319864,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.060560268,0.069295828,0.039808398,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.089060656,0.095153015,0.120867716,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.007388935,0.029830771,0.04391378,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.129410966,0.126478213,0.068623398,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.010747126,0.026036658,0.043681872,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.042690397,0.032034128,0.043685238,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.014293753,0.038807097,0.02523788,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.041028968,0.062587907,0.039125814,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.001317805,0.032985074,0.033049663,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.006175834,0.027659297,0.030137986,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.002155314,0.023021943,0.035046109,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.047027781,0.045357074,0.035050781,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.012136803,0.027320492,0.054165185,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.08109039,0.111430712,0.06063124,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.040330037,0.055429653,0.072010865,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.026883106,0.05006606,0.030787673,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.016258289,0.021401258,0.040488948,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.121613352,0.135064094,0.108553588,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.02178644,0.042235267,0.056213088,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,1.002691125,0.957900652,1.026869645,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.02408002,0.011135187,0.051518524,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.060539282,0.083652409,0.071013401,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.027730152,0.027242163,0.022533433,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.014353313,0.03904014,0.026956706,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.005890567,0.027762157,0.037394891,200.0,302.0,850.0,364.0
TA92903URNf067ff16fcf8e045,300,0.1172192,0.141091051,0.087395982,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.057923834,0.041760715,0.085810144,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.005660226,0.033472673,0.033502626,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.123355048,0.151918574,0.178506536,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.003562221,0.028781666,0.031583371,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.012123811,0.038270732,0.026039298,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.005302345,0.024686994,0.040557556,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.065790954,0.098267649,0.105395448,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.009796044,0.04123113,0.038723661,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.013905717,0.046709774,0.03587336,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.001599912,0.034277095,0.038847502,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.020242712,0.062122889,0.030481297,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.002014542,0.029596254,0.03634238,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.005412248,0.029608665,0.030982922,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.00593948,0.037568123,0.043059873,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.003575394,0.035321706,0.034949163,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.004518473,0.033444745,0.041563623,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.002217316,0.037039903,0.041698393,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.010912178,0.044487226,0.03952233,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.01838065,0.050063211,0.023503777,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.006553797,0.042826237,0.044617342,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.168490589,0.224422367,0.178555729,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.089860994,0.120788892,0.131009317,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.093391649,0.14327289,0.079743243,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.009339229,0.042622185,0.033108278,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.090540734,0.091874363,0.059120535,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.00886214,0.033495001,0.04662888,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.681825164,0.716195121,0.716045625,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.00486436,0.027952075,0.036867881,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.003070383,0.037910079,0.040247531,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.004429906,0.033537704,0.035227528,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.019416677,0.061433786,0.04036981,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.009921913,0.037166284,0.040243609,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.010821496,0.040418033,0.037629486,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.070557428,0.099403232,0.116381779,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.007307733,0.043102953,0.048270255,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.004508787,0.028682392,0.034859008,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.00474901,0.035912209,0.033654278,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.070264774,0.101103895,0.113321565,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.005986831,0.038494068,0.040440349,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.004961752,0.033823781,0.035046192,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.003243426,0.027300162,0.03374529,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.003388058,0.027037459,0.034021528,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.072859193,0.114416168,0.045139159,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.005417145,0.031995289,0.035850377,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.006042841,0.031350511,0.031880409,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.00306828,0.038687954,0.035919356,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.102876077,0.156140976,0.157299782,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.004524875,0.025321627,0.026691703,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.005046406,0.035502074,0.039052916,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.006140399,0.03241864,0.028461262,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.074945993,0.108615357,0.123801594,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.011710869,0.034416023,0.04205847,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.003379877,0.030445115,0.035189739,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.018641173,0.039589237,0.02291382,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.010677356,0.043069899,0.051228186,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.006656333,0.032991103,0.036430172,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.012542695,0.046484904,0.045031278,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,1.003666834,0.956240993,1.025432669,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.013285814,0.029378377,0.048213265,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.007142361,0.041874886,0.049654087,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.008104278,0.038194593,0.040281668,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.002406114,0.024141876,0.033485792,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.002732891,0.028484904,0.030223846,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.10268808,0.153397596,0.163626211,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.02501243,0.068038055,0.068882549,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.039350759,0.05967842,0.063768862,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.006322383,0.033370381,0.032042389,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.016260661,0.031134107,0.053843864,200.0,302.0,850.0,364.0
ZX1B23QFSP48abead89f52e3bb,100,0.065550518,0.084355609,0.081916552,200.0,302.0,850.0,364.0
