Speed angle vs. Modulus speed from (100, 343) to (330, 364)
Modulus speed (points/sec)
Speed angle (radians)
21.5,0.0,3.0
0.0,-1.2442149,3.0
0.0,-1.2442149,3.0
18.56071,-0.47569522,3.0
16.0,0.0,3.0
0.0,-0.96441346,3.0
0.0,-0.96441346,3.0
0.0,-0.96441346,3.0
0.0,-1.2442149,3.0
0.0,-1.2442149,3.0
28.666666,-0.0,3.0
0.0,-0.0,3.0
59.0,0.0,3.0
26.5,-0.0,3.0
33.593155,-0.25580856,3.0
0.0,-0.25580856,3.0
0.0,-0.57837594,3.0
38.451267,-0.22290023,3.0
43.0,-0.0,3.0
21.5,0.0,3.0
0.0,0.0,3.0
0.0,-0.5305579,3.0
0.0,-0.5305579,3.0
0.0,-0.5305579,3.0
0.0,0.69287956,3.0
8.5,1.5707964,3.0
55.65968,0.3103874,3.0
27.82984,0.3103874,3.0
18.553226,0.3103874,3.0
86.0,0.0,3.0
0.0,-1.0691923,3.0
0.0,-1.0691923,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,-0.1184449,3.0
17.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,-0.08846662,3.0
0.0,-0.0,3.0
0.0,1.0568767,3.0
39.427147,-0.21729343,3.0
39.427147,-0.21729343,3.0
17.0,0.0,3.0
0.0,0.0,3.0
37.12142,-0.47569522,3.0
16.0,-0.0,3.0
0.0,-0.0,3.0
0.0,-1.0816765,3.0
0.0,-1.0816765,3.0
0.0,-0.1071826,3.0
12.373808,-0.47569522,3.0
33.0,-0.0,3.0
16.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,-0.59314173,3.0
0.0,-0.45113522,3.0
92.88972,-0.09163455,3.0
0.0,-0.12808284,3.0
0.0,0.47116625,3.0
39.73943,-0.14308329,3.0
59.609142,-0.14308329,3.0
59.609142,-0.14308329,3.0
0.0,-0.14308329,3.0
0.0,1.5707964,3.0
0.0,-0.51314276,3.0
0.0,-0.54288054,3.0
16.5,0.0,3.0
0.0,1.0568767,3.0
0.0,1.5707964,3.0
0.0,1.2298174,4.0
0.0,1.2298174,4.0
0.0,-0.16839015,4.0
0.0,-0.16839015,4.0
14.75,-0.0,4.0
0.0,-0.0,4.0
0.0,-0.0,4.0
5.375,0.0,4.0
0.0,0.0,4.0
2.8666666,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
6.625,0.0,4.0
2.125,1.5707964,4.0
10.986076,-0.22290023,4.0
0.0,-0.22290023,4.0
2.4285715,1.5707964,4.0
0.0,1.5707964,4.0
0.0,-0.96441346,1.0
0.0,0.96441346,1.0
0.0,0.96441346,1.0
0.0,-0.09212975,1.0
0.0,-0.09212975,1.0
0.0,-0.09212975,1.0
43.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,-0.06735826,1.0
0.0,-0.06735826,1.0
0.0,-0.06735826,1.0
26.5,0.0,1.0
53.0,-0.0,1.0
22.0,-0.0,1.0
23.119257,-0.37649032,1.0
33.593155,-0.25580856,1.0
67.18631,-0.25580856,1.0
21.5,0.0,1.0
75.5,0.0,1.0
0.0,0.47116625,1.0
0.0,0.47116625,1.0
0.0,0.47116625,1.0
0.0,0.47116625,1.0
0.0,-0.3250079,1.0
0.0,-0.054783836,1.0
