Speed Angle vs Modulus Speed from (566, 343) to (805, 364)
Modulus Speed (points/sec)
Speed Angle (radians)
71.151245,0.32175055,1.0
38.5,0.0,1.0
22.0,1.5707964,1.0
0.0,1.5707964,1.0
19.006578,0.6171914,1.0
105.380264,-0.16202857,1.0
0.0,-0.16202857,1.0
115.70869,0.19570065,1.0
87.681244,0.7853982,1.0
151.28781,-0.42225116,1.0
75.643906,-0.42225116,1.0
151.28781,-0.42225116,1.0
0.0,-0.42225116,1.0
0.0,-0.42225116,1.0
121.07848,-0.5375866,1.0
26.5,0.0,1.0
67.62396,1.1600794,1.0
31.906113,0.56192154,1.0
6.0464864,-0.5971767,1.0
57.244118,-0.25910202,1.0
150.73984,-0.056418467,1.0
62.0,0.0,1.0
73.00685,-0.23501222,1.0
95.19717,-0.23860933,1.0
32.92795,0.7316864,1.0
39.38591,0.3498556,1.0
10.077477,-0.5971767,1.0
55.946404,0.5036263,1.0
170.06175,0.26779923,1.0
0.0,0.26779923,1.0
52.756516,0.25877088,1.0
55.946404,0.5036263,1.0
22.176064,-0.7428706,1.0
3.7175682,0.47116625,1.0
312.21786,0.19990812,1.0
0.17501003,-0.19990812,1.0
34.142857,-0.0,1.0
10.125,0.0,1.0
13.25,0.0,1.0
0.0,0.0,1.0
13.606616,-0.12526657,1.0
0.0,-0.12526657,1.0
32.519382,-0.074750334,1.0
117.0,0.39479113,1.0
0.0,0.39479113,1.0
2.1007774,0.61629695,1.0
171.73235,-0.25910202,1.0
62.0,0.0,1.0
127.4137,-0.17353557,1.0
166.2077,0.16317044,1.0
121.0,-0.0,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
171.0,0.0,1.0
13.4527025,-0.115134805,1.0
73.5,0.0,1.0
0.0,0.0,1.0
151.28781,-0.42225116,1.0
171.84296,0.099089615,1.0
137.76248,0.061739616,1.0
132.0,0.0,1.0
14.705441,0.61629695,1.0
16.714285,0.39479113,1.0
0.0,0.39479113,1.0
0.0,0.39479113,1.0
138.16113,-0.09786815,1.0
171.84296,0.099089615,1.0
6.385029,1.0816765,1.0
81.44476,0.1045556,1.0
0.0,0.1045556,1.0
112.92475,-0.40024066,1.0
75.643906,-0.42225116,1.0
39.93397,-0.07101011,1.0
282.60574,0.15991312,1.0
27.82984,-0.3103874,1.0
0.0,-0.3103874,1.0
0.0,-0.3103874,1.0
0.0,-0.3103874,1.0
0.0,-0.3103874,1.0
224.0,0.0,1.0
242.0,-0.0,1.0
171.84296,0.099089615,1.0
85.92148,0.099089615,1.0
0.0,0.099089615,1.0
0.0,0.099089615,1.0
85.92148,0.099089615,1.0
171.84296,0.099089615,1.0
0.0,0.099089615,1.0
0.0,0.099089615,1.0
0.0,0.099089615,1.0
171.84296,0.099089615,1.0
0.0,0.099089615,1.0
34.763485,0.7039461,1.0
0.0,0.7039461,1.0
0.0,0.7039461,1.0
0.0,0.7039461,1.0
0.0,0.7039461,1.0
82.764725,-0.20687395,1.0
337.8772,0.13059573,1.0
55.65968,-0.3103874,1.0
0.0,-0.3103874,1.0
55.65968,-0.3103874,1.0
0.0,-0.3103874,1.0
0.0,-0.3103874,1.0
3.4318767,1.0636978,1.0
53.0,0.0,1.0
130.0,0.0,1.0
136.06616,-0.12526657,1.0
154.57361,0.14281197,1.0
170.06175,0.26779923,1.0
0.0,0.26779923,1.0
27.830963,0.24497867,1.0
