Speed Angle vs Modulus Speed from (326, 343) to (566, 364)
Modulus Speed (points/sec)
Speed Angle (radians)
1.9078267,0.10268209,1.0
154.37941,0.17579791,1.0
103.58089,0.26371184,1.0
31.97069,0.21273178,1.0
13.5,0.0,1.0
186.95988,0.14492276,1.0
51.20791,0.4549142,1.0
30.186918,0.4636476,1.0
0.0,0.4636476,1.0
0.0,0.4636476,1.0
0.0,0.4636476,1.0
30.186918,0.4636476,1.0
27.0,1.5707964,1.0
15.953056,0.56192154,1.0
39.623226,0.74969906,1.0
57.118298,0.23860933,1.0
27.5,-0.0,1.0
63.94138,0.21273178,1.0
27.0,1.5707964,1.0
0.0,1.5707964,1.0
82.0,0.0,1.0
18.333334,-0.0,1.0
27.5,0.0,1.0
105.81233,0.20944317,1.0
29.85067,0.37739596,1.0
0.0,0.37739596,1.0
4.230769,-0.0,1.0
108.0,-0.0,1.0
13.5,0.0,1.0
82.87943,-0.845156,1.0
34.0147,-1.1466019,1.0
34.0147,-1.1466019,1.0
0.0,-1.1466019,1.0
0.0,-1.1466019,1.0
119.40268,0.37739596,1.0
0.0,0.37739596,1.0
119.40268,0.37739596,1.0
17.38454,-1.0040671,1.0
134.61798,-0.23236673,1.0
269.23596,-0.23236673,1.0
71.56291,-0.4480239,1.0
262.0,-0.0,1.0
27.82984,-0.3103874,1.0
51.8001,0.6415706,1.0
29.26175,-0.2947301,1.0
44.0,1.5707964,1.0
71.8401,0.6769149,1.0
0.0,0.6769149,1.0
0.0,0.6769149,1.0
89.1852,0.30756712,1.0
0.0,0.30756712,1.0
0.0,0.30756712,1.0
19.811613,0.74969906,1.0
27.0,0.0,1.0
31.906113,0.56192154,1.0
164.2833,0.27746353,1.0
33.0,0.0,1.0
160.29036,0.16925122,1.0
29.0,-0.0,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
25.895222,0.26371184,1.0
77.682045,0.1746722,1.0
222.59605,0.20356289,1.0
0.0,0.20356289,1.0
0.0,0.20356289,1.0
0.0,0.20356289,1.0
45.0,1.5707964,1.0
0.0,1.5707964,1.0
87.91189,-0.096839,1.0
213.71242,0.12667653,1.0
27.0,-0.0,1.0
208.75345,0.12970254,1.0
27.5,-0.0,1.0
19.091883,0.7853982,1.0
38.183765,0.7853982,1.0
31.084562,0.44926012,1.0
0.0,0.44926012,1.0
57.118298,0.23860933,1.0
62.0,1.5707964,1.0
9.333333,-0.0,1.0
52.153618,-1.0040671,1.0
0.0,-1.0040671,1.0
22.0,1.5707964,1.0
78.854294,-0.21729343,1.0
44.0,1.5707964,1.0
71.56291,-0.4480239,1.0
23.485369,0.48745263,1.0
14.0,0.0,1.0
28.0,-0.0,1.0
18.611824,0.49248576,1.0
0.0,0.49248576,1.0
56.400356,0.92374915,1.0
189.4228,0.23985706,1.0
103.58089,0.26371184,1.0
63.97656,0.43568286,1.0
