Speed Angle vs Modulus Speed from (326, 302) to (566, 323)
Modulus Speed (points/sec)
Speed Angle (radians)
43.416588,0.67114383,1.0
17.0,0.0,1.0
44.5926,0.30756712,1.0
13.5,-1.5707964,1.0
96.0,0.0,1.0
89.1852,0.30756712,1.0
19.235384,0.48689923,1.0
120.353645,0.15012248,1.0
31.084562,0.44926012,1.0
0.0,0.44926012,1.0
0.0,0.44926012,1.0
112.44999,-0.16076274,1.0
70.0,-0.0,1.0
18.0,1.5707964,1.0
141.1524,-0.12786992,1.0
0.0,-0.12786992,1.0
70.0,-0.0,1.0
86.88498,0.20868176,1.0
43.44249,0.20868176,1.0
34.132095,0.5554937,1.0
0.0,0.5554937,1.0
0.0,0.5554937,1.0
63.0,-0.0,1.0
62.169125,0.44926012,1.0
63.0,-0.0,1.0
34.22353,1.1332866,1.0
6.0,1.5707964,1.0
31.084562,0.44926012,1.0
0.0,0.44926012,1.0
0.0,0.44926012,1.0
9.0,-1.5707964,1.0
11.377365,-0.5554937,1.0
9.666667,0.0,1.0
31.084562,0.44926012,1.0
18.0,-1.5707964,1.0
13.207742,0.74969906,1.0
0.0,0.74969906,1.0
7.3333335,-1.5707964,1.0
46.0,-0.0,1.0
35.92005,0.6769149,1.0
3.6,1.5707964,1.0
18.0,-1.5707964,1.0
25.700195,0.64739215,1.0
65.8559,0.7316864,1.0
337.8772,0.13059573,1.0
226.6451,-0.27708754,1.0
13.5,-1.5707964,1.0
93.74433,0.19321148,1.0
41.551926,0.16317044,1.0
9.0,-1.5707964,1.0
27.666666,0.0,1.0
52.153618,1.0040671,1.0
28.0,0.0,1.0
16.643316,0.57133746,1.0
31.0,-1.5707964,1.0
0.0,-1.5707964,1.0
28.0,-0.0,1.0
35.608986,0.66596925,1.0
0.0,0.66596925,1.0
0.0,0.66596925,1.0
0.0,0.66596925,1.0
0.0,0.66596925,1.0
180.44667,-0.24632275,1.0
0.0,-0.24632275,1.0
71.063354,-0.6857295,1.0
57.870544,-0.31628612,1.0
68.0294,1.1466019,1.0
29.410883,0.3109983,1.0
48.25,-0.0,1.0
81.596565,0.33725318,1.0
28.0,0.0,1.0
65.8559,0.7316864,1.0
32.92795,0.7316864,1.0
89.1852,0.52888155,1.0
55.5,-0.0,1.0
111.0,0.0,1.0
0.0,0.0,1.0
83.95237,-0.21608497,1.0
83.95237,-0.21608497,1.0
41.976185,-0.21608497,1.0
7.25,-0.0,1.0
12.529964,-0.49934673,1.0
7.0,0.0,1.0
26.076809,-1.0040671,1.0
28.0,-0.0,1.0
105.51303,0.25877088,1.0
14.0,0.0,1.0
44.0,-1.5707964,1.0
263.33627,-0.13330436,1.0
100.43903,0.22082877,1.0
20.391481,0.8634998,1.0
25.603954,0.4549142,1.0
33.81198,-1.1600794,1.0
112.62573,0.13059573,1.0
193.08029,0.22990443,1.0
58.821766,-0.3109983,1.0
32.449963,-0.5880026,1.0
14.5,-0.0,1.0
36.166668,-0.0,1.0
97.43973,0.1389943,1.0
337.8772,0.13059573,1.0
0.0,0.13059573,1.0
109.75,-0.0,1.0
102.80078,0.64739215,1.0
79.377655,0.056721427,1.0
30.186918,0.4636476,1.0
232.42203,0.2700256,1.0
68.0294,-1.1466019,1.0
51.20791,0.4549142,1.0
34.20526,-0.26625204,1.0
0.0,-0.26625204,1.0
127.22421,-0.36153054,1.0
