 PhoneID;DistToCluster1; DistToCluster2; DistToCluster3; Characteristics
ZX1B23QBS53771758c578bbd85;0.727017557;0.730465749;0.730729214;1
ZX1B23QBS53771758c578bbd85;0.107767218;0.111894604;0.111938759;1
ZX1B23QBS53771758c578bbd85;0.026127324;0.030265284;0.030809111;1
ZX1B23QBS53771758c578bbd85;0.004945088;0.008685717;0.008984652;1
ZX1B23QBS53771758c578bbd85;0.009800359;0.012229248;0.012516429;1
ZX1B23QBS53771758c578bbd85;0.001866007;0.006048956;0.006658942;1
ZX1B23QBS53771758c578bbd85;0.008623105;0.012432756;0.013123988;1
ZX1B23QBS53771758c578bbd85;0.005876287;0.01091454;0.010901887;1
ZX1B23QBS53771758c578bbd85;0.005096092;0.009972835;0.008712371;1
ZX1B23QBS53771758c578bbd85;0.003831006;0.008022733;0.008512788;1
ZX1B23QBS53771758c578bbd85;0.006966751;0.009512963;0.011148553;1
ZX1B23QBS53771758c578bbd85;0.011787881;0.016248106;0.016308686;1
ZX1B23QBS53771758c578bbd85;0.007629048;0.012371553;0.012650545;1
ZX1B23QBS53771758c578bbd85;0.025281312;0.028013343;0.029962195;1
ZX1B23QBS53771758c578bbd85;0.009243549;0.012867519;0.013711181;1
ZX1B23QBS53771758c578bbd85;0.006477781;0.010653171;0.010139131;1
ZX1B23QBS53771758c578bbd85;0.007494536;0.011072145;0.011275674;1
ZX1B23QBS53771758c578bbd85;0.011306407;0.013535236;0.014609415;1
ZX1B23QBS53771758c578bbd85;0.004896167;0.008063755;0.00789783;1
ZX1B23QBS53771758c578bbd85;0.005722194;0.009591372;0.010333464;1
ZX1B23QBS53771758c578bbd85;0.002218869;0.005939459;0.005932821;1
ZX1B23QBS53771758c578bbd85;0.002910266;0.004488318;0.006282361;1
ZX1B23QBS53771758c578bbd85;0.005087384;0.008543117;0.008839635;1
ZX1B23QBS53771758c578bbd85;0.007417502;0.012397406;0.012166112;1
ZX1B23QBS53771758c578bbd85;0.00430723;0.00680322;0.007512284;1
ZX1B23QBS53771758c578bbd85;0.008518844;0.011998791;0.011765455;1
ZX1B23QBS53771758c578bbd85;0.004569224;0.007255233;0.00716614;1
ZX1B23QBS53771758c578bbd85;0.007579285;0.010989545;0.010842394;1
ZX1B23QBS53771758c578bbd85;0.00784621;0.0093485;0.010711343;1
ZX1B23QBS53771758c578bbd85;0.009879665;0.014259473;0.015181704;1
ZX1B23QBS53771758c578bbd85;0.004355908;0.00945738;0.010057128;1
ZX1B23QBS53771758c578bbd85;0.005340054;0.008665185;0.008014498;1
ZX1B23QBS53771758c578bbd85;0.003957985;0.007559556;0.008003409;1
ZX1B23QBS53771758c578bbd85;0.010214063;0.0136236;0.013487174;1
ZX1B23QBS53771758c578bbd85;0.006034441;0.008258851;0.009257608;1
ZX1B23QBS53771758c578bbd85;0.003747773;0.005806514;0.008089299;1
ZX1B23QBS53771758c578bbd85;0.007289904;0.011034504;0.011164511;1
ZX1B23QBS53771758c578bbd85;0.003919872;0.008145982;0.007754744;1
ZX1B23QBS53771758c578bbd85;0.00463653;0.007016855;0.008511711;1
ZX1B23QBS53771758c578bbd85;0.007674895;0.008415492;0.008984282;1
ZX1B23QBS53771758c578bbd85;0.003306688;0.005694772;0.006220073;1
ZX1B23QBS53771758c578bbd85;0.010378766;0.016571623;0.01643364;1
ZX1B23QBS53771758c578bbd85;0.007660102;0.011391283;0.012191757;1
ZX1B23QBS53771758c578bbd85;0.010621652;0.015002231;0.014123223;1
ZX1B23QBS53771758c578bbd85;0.009768593;0.013282775;0.013309107;1
ZX1B23QBS53771758c578bbd85;0.005576047;0.008458698;0.009812827;1
ZX1B23QBS53771758c578bbd85;0.010921026;0.014664699;0.014739124;1
ZX1B23QBS53771758c578bbd85;0.017496599;0.021993369;0.022461885;1
ZX1B23QBS53771758c578bbd85;0.006880346;0.012279429;0.011378629;1
ZX1B23QBS53771758c578bbd85;0.010830034;0.013671679;0.015561136;1
ZX1B23QBS53771758c578bbd85;0.006928606;0.010629118;0.010515484;1
ZX1B23QBS53771758c578bbd85;0.006625665;0.011680148;0.010550823;1
ZX1B23QBS53771758c578bbd85;0.006367735;0.011199829;0.011302718;1
ZX1B23QBS53771758c578bbd85;0.009528042;0.01288956;0.011130026;1
ZX1B23QBS53771758c578bbd85;0.003024835;0.008081783;0.007597762;1
ZX1B23QBS53771758c578bbd85;0.005702687;0.008993515;0.009480228;1
ZX1B23QBS53771758c578bbd85;0.008412211;0.012148477;0.012965103;1
ZX1B23QBS53771758c578bbd85;0.005401702;0.007352005;0.007774548;1
ZX1B23QBS53771758c578bbd85;0.004936426;0.007782389;0.00797846;1
ZX1B23QBS53771758c578bbd85;0.006077591;0.011618442;0.010699285;1
ZX1B23QBS53771758c578bbd85;0.010947014;0.013349313;0.015223538;1
ZX1B23QBS53771758c578bbd85;0.005531903;0.009499097;0.010416205;1
ZX1B23QBS53771758c578bbd85;0.00336869;0.004905803;0.005632244;1
ZX1B23QBS53771758c578bbd85;0.006539268;0.014057213;0.012474562;1
ZX1B23QBS53771758c578bbd85;0.005549332;0.008572507;0.008218578;1
ZX1B23QBS53771758c578bbd85;0.005881307;0.008933218;0.010201673;1
ZX1B23QBS53771758c578bbd85;0.003976385;0.00731341;0.00809747;1
ZX1B23QBS53771758c578bbd85;0.005663438;0.010105077;0.00889127;1
ZX1B23QBS53771758c578bbd85;0.003433411;0.008401893;0.007829475;1
ZX1B23QBS53771758c578bbd85;0.00486876;0.008828748;0.008643964;1
ZX1B23QBS53771758c578bbd85;0.004101552;0.006887222;0.00719167;1
ZX1B23QBS53771758c578bbd85;0.007019674;0.011165943;0.010298605;1
ZX1B23QBS53771758c578bbd85;0.008102492;0.015456783;0.014849966;1
ZX1B23QBS53771758c578bbd85;0.003277433;0.006057981;0.00663442;1
ZX1B23QBS53771758c578bbd85;0.011849151;0.016048635;0.015972976;1
ZX1B23QBS53771758c578bbd85;0.006549082;0.007882943;0.00979007;1
ZX1B23QBS53771758c578bbd85;0.007490674;0.008757784;0.009933309;1
ZX1B23QBS53771758c578bbd85;0.012804689;0.017109045;0.0166013;1
ZX1B23QBS53771758c578bbd85;0.008336722;0.010836116;0.011269651;1
ZX1B23QBS53771758c578bbd85;0.002766588;0.006105033;0.007654184;1
ZX1B23QBS53771758c578bbd85;0.004478402;0.006234397;0.007714265;1
ZX1B23QBS53771758c578bbd85;0.008988537;0.009725205;0.010832497;1
ZX1B23QBS53771758c578bbd85;0.006409503;0.011384768;0.010876902;1
ZX1B23QBS53771758c578bbd85;0.008706596;0.01104629;0.012836183;1
ZX1B23QBS53771758c578bbd85;0.006192035;0.008718157;0.008922026;1
ZX1B23QBS53771758c578bbd85;0.012799234;0.016018629;0.016621577;1
ZX1B23QBS53771758c578bbd85;0.007822894;0.010740205;0.01100815;1
ZX1B23QBS53771758c578bbd85;0.011720927;0.015718886;0.015639662;1
ZX1B23QBS53771758c578bbd85;0.005616937;0.00959262;0.010416408;1
