X,Y,Z,time,Id
1422,418,0,09:43:16.677,ZX1B23QBS53771758c578bbd85
1422,418,0,09:43:19.667,ZX1B23QBS53771758c578bbd85
2168,442,0,09:43:21.490,ZX1B23QBS53771758c578bbd85
1422,418,0,09:43:23.250,ZX1B23QBS53771758c578bbd85
1422,418,0,09:43:25.063,ZX1B23QBS53771758c578bbd85
1422,418,0,09:43:26.937,ZX1B23QBS53771758c578bbd85
1422,418,0,09:43:28.767,ZX1B23QBS53771758c578bbd85
1422,418,0,09:43:30.493,ZX1B23QBS53771758c578bbd85
1422,418,0,09:43:32.323,ZX1B23QBS53771758c578bbd85
1422,418,0,09:43:34.330,ZX1B23QBS53771758c578bbd85
1422,418,0,09:43:36.277,ZX1B23QBS53771758c578bbd85
1422,418,0,09:43:38.123,ZX1B23QBS53771758c578bbd85
2034,418,0,09:43:39.893,ZX1B23QBS53771758c578bbd85
2168,418,0,09:43:42.260,ZX1B23QBS53771758c578bbd85
2168,418,0,09:43:44.423,ZX1B23QBS53771758c578bbd85
2220,418,0,09:43:46.533,ZX1B23QBS53771758c578bbd85
2220,442,0,09:43:48.583,ZX1B23QBS53771758c578bbd85
2220,418,0,09:43:50.617,ZX1B23QBS53771758c578bbd85
2220,442,0,09:43:52.717,ZX1B23QBS53771758c578bbd85
2168,418,0,09:43:54.800,ZX1B23QBS53771758c578bbd85
2168,418,0,09:43:56.877,ZX1B23QBS53771758c578bbd85
2168,442,0,09:43:58.997,ZX1B23QBS53771758c578bbd85
2220,418,0,09:44:01.160,ZX1B23QBS53771758c578bbd85
2220,418,0,09:44:03.293,ZX1B23QBS53771758c578bbd85
2220,418,0,09:44:05.390,ZX1B23QBS53771758c578bbd85
2220,418,0,09:44:07.423,ZX1B23QBS53771758c578bbd85
2220,418,0,09:44:09.403,ZX1B23QBS53771758c578bbd85
2127,418,0,09:44:11.437,ZX1B23QBS53771758c578bbd85
2220,442,0,09:44:13.707,ZX1B23QBS53771758c578bbd85
2220,442,0,09:44:15.780,ZX1B23QBS53771758c578bbd85
2168,442,0,09:44:18.117,ZX1B23QBS53771758c578bbd85
2168,442,0,09:44:20.500,ZX1B23QBS53771758c578bbd85
2168,442,0,09:44:22.647,ZX1B23QBS53771758c578bbd85
2168,442,0,09:44:24.733,ZX1B23QBS53771758c578bbd85
1422,418,0,09:44:26.770,ZX1B23QBS53771758c578bbd85
2168,442,0,09:44:28.890,ZX1B23QBS53771758c578bbd85
2220,442,0,09:44:30.847,ZX1B23QBS53771758c578bbd85
2220,442,0,09:44:32.927,ZX1B23QBS53771758c578bbd85
2220,418,0,09:44:35.127,ZX1B23QBS53771758c578bbd85
2168,418,0,09:44:37.167,ZX1B23QBS53771758c578bbd85
2127,418,0,09:44:39.313,ZX1B23QBS53771758c578bbd85
2127,418,0,09:44:41.533,ZX1B23QBS53771758c578bbd85
2168,442,0,09:44:43.617,ZX1B23QBS53771758c578bbd85
2127,418,0,09:44:45.820,ZX1B23QBS53771758c578bbd85
2127,418,0,09:44:47.560,ZX1B23QBS53771758c578bbd85
2127,418,0,09:44:49.590,ZX1B23QBS53771758c578bbd85
2220,418,0,09:44:51.417,ZX1B23QBS53771758c578bbd85
2220,442,0,09:44:53.257,ZX1B23QBS53771758c578bbd85
2220,442,0,09:44:55.103,ZX1B23QBS53771758c578bbd85
2127,418,0,09:44:56.947,ZX1B23QBS53771758c578bbd85
2168,442,0,09:44:58.863,ZX1B23QBS53771758c578bbd85
2168,442,0,09:45:00.677,ZX1B23QBS53771758c578bbd85
2220,418,0,09:45:02.447,ZX1B23QBS53771758c578bbd85
2127,418,0,09:45:04.280,ZX1B23QBS53771758c578bbd85
2168,418,0,09:45:06.090,ZX1B23QBS53771758c578bbd85
2168,418,0,09:45:07.867,ZX1B23QBS53771758c578bbd85
2168,418,0,09:45:09.963,ZX1B23QBS53771758c578bbd85
2127,418,0,09:45:11.707,ZX1B23QBS53771758c578bbd85
2220,442,0,09:45:13.500,ZX1B23QBS53771758c578bbd85
2220,442,0,09:45:15.360,ZX1B23QBS53771758c578bbd85
2220,442,0,09:45:17.090,ZX1B23QBS53771758c578bbd85
2168,442,0,09:45:19.163,ZX1B23QBS53771758c578bbd85
2220,442,0,09:45:20.990,ZX1B23QBS53771758c578bbd85
2220,442,0,09:45:22.693,ZX1B23QBS53771758c578bbd85
2168,442,0,09:45:24.787,ZX1B23QBS53771758c578bbd85
2168,442,0,09:45:26.503,ZX1B23QBS53771758c578bbd85
2168,418,0,09:45:28.600,ZX1B23QBS53771758c578bbd85
2168,418,0,09:45:30.430,ZX1B23QBS53771758c578bbd85
2168,418,0,09:45:32.117,ZX1B23QBS53771758c578bbd85
2168,418,0,09:45:33.887,ZX1B23QBS53771758c578bbd85
2220,418,0,09:45:35.820,ZX1B23QBS53771758c578bbd85
2127,418,0,09:45:37.600,ZX1B23QBS53771758c578bbd85
2168,418,0,09:45:39.393,ZX1B23QBS53771758c578bbd85
2220,442,0,09:45:41.267,ZX1B23QBS53771758c578bbd85
2168,418,0,09:45:43.077,ZX1B23QBS53771758c578bbd85
2168,418,0,09:45:44.787,ZX1B23QBS53771758c578bbd85
2168,442,0,09:45:46.567,ZX1B23QBS53771758c578bbd85
2168,442,0,09:45:48.313,ZX1B23QBS53771758c578bbd85
2168,442,0,09:45:50.100,ZX1B23QBS53771758c578bbd85
2168,442,0,09:45:51.933,ZX1B23QBS53771758c578bbd85
2168,442,0,09:45:53.737,ZX1B23QBS53771758c578bbd85
1422,418,0,09:45:55.583,ZX1B23QBS53771758c578bbd85
1422,418,0,09:45:57.373,ZX1B23QBS53771758c578bbd85
