X,Y,Z,WholeDate,Phone id,Xspeed,YSpeed,ZSpeed,ModSpd,STheta,Xacc,Yacc,Zacc,ModAcc,ATheta
199,302,0,24/09/2014 10:59:43,HT25TW5055273593c875a9898b00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,302,0,24/09/2014 10:59:45,HT25TW5055273593c875a9898b00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,302,0,24/09/2014 10:59:47,HT25TW5055273593c875a9898b00,-21.5,0.0,0.0,21.5,-0.0,-10.75,0.0,0.0,10.75,-0.0
374,347,0,24/09/2014 10:59:48,HT25TW5055273593c875a9898b00,218.0,45.0,0.0,222.59604668547013,0.20356288253658886,239.5,45.0,0.0,201.09604668547013,0.18572606946343181
374,347,0,24/09/2014 10:59:50,HT25TW5055273593c875a9898b00,0.0,0.0,0.0,0.0,0.20356288253658886,-109.0,-22.5,0.0,-111.29802334273506,0.20356288253658886
156,302,0,24/09/2014 10:59:52,HT25TW5055273593c875a9898b00,-109.0,-22.5,0.0,111.29802334273506,0.20356288253658886,-54.5,-11.25,0.0,55.64901167136753,0.20356288253658886
274,347,0,24/09/2014 10:59:53,HT25TW5055273593c875a9898b00,118.0,45.0,0.0,126.28935030318273,0.36433131731253837,227.0,67.5,0.0,14.991326960447665,0.2890301056113928
274,347,0,24/09/2014 10:59:54,HT25TW5055273593c875a9898b00,0.0,0.0,0.0,0.0,0.36433131731253837,-118.0,-45.0,0.0,-126.28935030318273,0.36433131731253837
274,347,0,24/09/2014 10:59:57,HT25TW5055273593c875a9898b00,0.0,0.0,0.0,0.0,0.36433131731253837,0.0,0.0,0.0,0.0,0.36433131731253837
156,302,0,24/09/2014 10:59:58,HT25TW5055273593c875a9898b00,-118.0,-45.0,0.0,126.28935030318273,0.36433131731253837,-118.0,-45.0,0.0,126.28935030318273,0.36433131731253837
274,347,0,24/09/2014 10:59:59,HT25TW5055273593c875a9898b00,118.0,45.0,0.0,126.28935030318273,0.36433131731253837,236.0,90.0,0.0,0.0,0.36433131731253837
