Time disappeared vs. Time spent from (100, 302) to (330, 323)
Time spent (sec)
Time disappeared (sec)
1.4592597,0.0,5.0
6.3777795,0.0,5.0
2.0,0.0,5.0
4.0,0.0,5.0
2.9185183,0.0,5.0
1.0,0.0,5.0
158.0,156.0,5.0
12.039743,0.0,5.0
2.0,0.0,5.0
89.37778,73.0,5.0
1.8370383,0.0,5.0
7.3777785,0.0,5.0
13.918518,0.0,5.0
4.0,0.0,5.0
0.15,0.0,5.0
0.12857145,0.0,5.0
0.38271594,0.0,5.0
0.0,0.0,5.0
14.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
8.0,0.0,5.0
0.0,0.0,5.0
0.9185192,0.0,5.0
0.0,0.0,5.0
2.0,0.0,5.0
2.2561433,0.0,5.0
10.377778,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
2.0,0.0,5.0
11.0,0.0,5.0
1.2115383,0.0,5.0
0.0,0.0,5.0
11.837039,0.0,5.0
0.45925966,0.0,5.0
12.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
4.0,0.0,5.0
8.0,0.0,5.0
2.0,0.0,5.0
7.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
2.3777788,0.0,5.0
3.0,0.0,5.0
3.0,0.0,5.0
44.659275,0.0,5.0
4.5925922,0.0,5.0
3.0,0.0,5.0
4.0,0.0,5.0
4.0,0.0,5.0
0.0,0.0,5.0
2.9185174,0.0,5.0
7.0,0.0,5.0
14.0,0.0,5.0
2.9185195,0.0,5.0
0.9185187,0.0,5.0
0.0,0.0,5.0
0.9185184,0.0,5.0
3.8370368,0.0,5.0
0.0,0.0,5.0
17.0,0.0,5.0
0.15,0.0,5.0
3.0,0.0,5.0
0.0,0.0,5.0
2.0,0.0,5.0
7.0,0.0,5.0
13.0,0.0,5.0
0.9185184,0.0,5.0
13.0,0.0,5.0
0.0,0.0,5.0
11.0,0.0,5.0
2.0,0.0,5.0
5.0,0.0,5.0
2.0,0.0,5.0
1.0,0.0,5.0
2.0,0.0,5.0
2.0,0.0,5.0
1.0,0.0,5.0
0.0,0.0,5.0
2.0,0.0,5.0
3.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
2.918518,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.9185184,0.0,5.0
8.459259,0.0,5.0
0.0,0.0,5.0
1.377779,0.0,5.0
0.39182824,0.0,5.0
3.8370383,0.0,5.0
4.9185185,0.0,5.0
1.8370368,0.0,5.0
0.0,0.0,5.0
4.377779,0.0,5.0
0.0,0.0,5.0
0.16402113,0.0,5.0
2.9185193,0.0,5.0
0.9185187,0.0,5.0
0.0,0.0,5.0
5.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
2.0,0.0,5.0
1.8370368,0.0,5.0
3.9185188,0.0,5.0
23.296297,0.0,5.0
5.0,0.0,5.0
0.0,0.0,5.0
2.0,0.0,5.0
3.0,0.0,5.0
11.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
2.0,0.0,5.0
0.0,0.0,5.0
1.0,0.0,5.0
0.0,0.0,5.0
6.0000005,0.0,5.0
0.0,0.0,5.0
0.12857144,0.0,5.0
20.41853,0.0,5.0
1.0,0.0,5.0
0.0,0.0,5.0
2.9185193,0.0,5.0
0.0,0.0,5.0
2.0,0.0,5.0
3.0,0.0,5.0
2.0,0.0,5.0
7.4592595,0.0,5.0
0.16402115,0.0,5.0
0.0,0.0,5.0
5.0,0.0,5.0
0.0,0.0,5.0
2.0,0.0,5.0
15.0,0.0,5.0
4.0,0.0,5.0
0.0,0.0,5.0
0.91851926,0.0,5.0
18.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
4.377779,0.0,5.0
4.9185195,0.0,5.0
3.0,0.0,5.0
2.0,0.0,5.0
10.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
18.0,0.0,5.0
0.0,0.0,5.0
11.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
2.0,0.0,5.0
0.918519,0.0,5.0
2.0,0.0,5.0
0.0,0.0,5.0
6.0,0.0,5.0
6.0,0.0,5.0
0.0,0.0,5.0
4.0,0.0,5.0
4.0,0.0,5.0
11.0,0.0,5.0
3.0,0.0,5.0
2.1285715,0.0,5.0
3.9185193,0.0,5.0
0.9185193,0.0,5.0
2.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
9.91852,0.0,5.0
35.918518,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
6.5407395,0.0,5.0
20.377777,0.0,5.0
0.0,0.0,5.0
10.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
7.0814805,0.0,5.0
2.4421652E-7,0.0,5.0
11.918519,0.0,2.0
0.0,0.0,2.0
5.9185195,0.0,2.0
0.9185188,0.0,2.0
8.459259,0.0,2.0
0.0,0.0,2.0
1.0,0.0,2.0
3.0,0.0,2.0
2.0,0.0,2.0
2.5641918,0.0,2.0
0.12857142,0.0,2.0
0.27757204,0.0,2.0
2.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
2.0,0.0,2.0
0.0,0.0,2.0
1.0,0.0,2.0
0.0,0.0,2.0
2.0,0.0,2.0
0.0,0.0,2.0
2.0,0.0,2.0
0.0,0.0,2.0
10.0,0.0,2.0
0.0,0.0,2.0
2.0,0.0,2.0
2.127572,0.0,2.0
0.0,0.0,2.0
1.0,0.0,2.0
26.0,0.0,2.0
2.0,0.0,2.0
15.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
8.918519,0.0,2.0
0.0,0.0,2.0
16.459259,0.0,2.0
1.8370384,0.0,2.0
1.8370384,0.0,2.0
8.45926,0.0,2.0
0.0,0.0,2.0
0.9185185,0.0,2.0
12.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
1617.0,1614.0,2.0
0.0,0.0,2.0
2.0,0.0,2.0
0.0,0.0,2.0
0.9185193,0.0,2.0
13.0,0.0,2.0
6.0,0.0,2.0
0.0,0.0,2.0
26.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
5.0,0.0,2.0
0.25174794,0.0,2.0
0.4592596,0.0,2.0
10.0,0.0,2.0
12.0,0.0,2.0
3.0,0.0,2.0
4.9185185,0.0,2.0
3.9185188,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
2.0000002,0.0,2.0
9.0,0.0,2.0
0.15,0.0,2.0
2.15,0.0,2.0
0.15000005,0.0,2.0
7.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.15000005,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
19.0,0.0,2.0
3.0,0.0,2.0
3.0814805,0.0,2.0
5.0,0.0,2.0
4.0,0.0,2.0
8.0,0.0,2.0
14.0,0.0,2.0
8.0,0.0,2.0
2.0,0.0,2.0
2.0,0.0,2.0
2.314021,0.0,2.0
0.15000005,0.0,2.0
2.0,0.0,2.0
0.0,0.0,2.0
4.0,0.0,2.0
6.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
2.0,0.0,2.0
4.0,0.0,2.0
0.0,0.0,2.0
16.0,0.0,2.0
0.0,0.0,2.0
2.0,0.0,2.0
4.0,0.0,2.0
6.0,0.0,2.0
17.0,0.0,2.0
4.0,0.0,2.0
0.0,0.0,2.0
6.0,0.0,2.0
7.0,0.0,2.0
5.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
2.15,0.0,2.0
0.0,0.0,2.0
0.15,0.0,2.0
4.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
31.918518,0.0,2.0
2.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
5.0,0.0,2.0
0.0,0.0,2.0
3.0,0.0,2.0
0.0,0.0,2.0
0.25174853,0.0,2.0
0.0,0.0,2.0
5.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
2.291593,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
2.0,0.0,2.0
0.0,0.0,2.0
10.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
5.0,0.0,2.0
28.0,0.0,2.0
8.0,0.0,2.0
0.9185189,0.0,2.0
0.0,0.0,2.0
44.0,0.0,3.0
7.459259,0.0,3.0
8.837037,0.0,3.0
3.8370368,0.0,3.0
2.0,0.0,3.0
3.8370373,0.0,3.0
24.377777,0.0,3.0
4.9185195,0.0,3.0
7.0,0.0,3.0
0.38271588,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
2.0,0.0,3.0
1.0,0.0,3.0
10.0,0.0,3.0
19.0,11.0,3.0
5.9185185,0.0,3.0
21.918518,0.0,3.0
15.0,0.0,3.0
10.918519,0.0,3.0
2.459259,0.0,3.0
0.0,0.0,3.0
2.0642858,0.0,3.0
1.0814819,0.0,3.0
6.0,0.0,3.0
0.0,0.0,3.0
1.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
5.0,0.0,3.0
1.0,0.0,3.0
0.0,0.0,3.0
3.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
3.0,0.0,3.0
2.0,0.0,3.0
0.0,0.0,3.0
12.0,0.0,3.0
0.0,0.0,3.0
6.0,0.0,3.0
2.0,0.0,3.0
2.9185193,0.0,3.0
0.0,0.0,3.0
4.2596154,0.0,3.0
14.8,37.0,3.0
0.12857148,0.0,3.0
2.2962968,0.0,3.0
0.0,0.0,3.0
10.0,0.0,3.0
32.807407,39.0,3.0
2.0,0.0,3.0
0.0,0.0,3.0
6.0,0.0,3.0
4.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
1.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.91851807,0.0,3.0
4.9185195,0.0,3.0
19.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
2.0,0.0,3.0
2.0,0.0,3.0
0.0,0.0,3.0
3.0,0.0,3.0
0.9185188,0.0,3.0
10.918519,0.0,3.0
0.0,0.0,3.0
2.0,0.0,3.0
0.0,0.0,3.0
1.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
8.0,0.0,3.0
0.0,0.0,3.0
5.0,0.0,3.0
0.0,0.0,3.0
11.0,0.0,3.0
0.9185184,0.0,3.0
2.0,0.0,3.0
2.0,0.0,3.0
17.0,0.0,3.0
3.1812196,0.0,3.0
0.34254146,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.15,0.0,3.0
2.0,0.0,3.0
0.0,0.0,3.0
6.3368983,0.0,3.0
6.0,0.0,3.0
21.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
