Time still vs. Total angle changed from (660, 2) to (693, 302)
Total angle changed (radians)
Time still (sec)
0.9816879,0.0,1.0
0.0,0.0,1.0
0.11060326,0.0,1.0
0.52639234,2.0,1.0
0.20379019,0.0,1.0
1.0890914,0.0,1.0
3.891861,1.0,1.0
0.5856627,0.0,1.0
0.58683264,0.0,1.0
1.6330317,0.0,1.0
0.47630754,0.0,1.0
0.14173023,0.0,1.0
0.31542152,2.0,1.0
0.16754395,0.0,1.0
2.0169141,0.0,1.0
0.10311985,0.0,1.0
0.0,3.0,1.0
0.1669108,12.0,1.0
0.1669108,0.0,1.0
0.1669108,15.0,1.0
0.07320069,0.0,1.0
0.67738646,9.0,1.0
6.7592463,1.0,1.0
2.308524,21.0,1.0
0.25900578,0.0,1.0
0.0,0.0,1.0
0.3655182,0.0,1.0
0.11065722,0.0,1.0
0.11060326,2.0,1.0
0.1450228,3.0,1.0
4.1487703,1.0,1.0
0.0097586885,2.0,1.0
0.1534812,0.0,1.0
0.11520792,0.0,1.0
0.6991562,0.0,1.0
1.9015006,1.0,1.0
1.4434341,1.0,1.0
0.92362636,0.0,1.0
1.8716937,0.0,1.0
0.07591722,0.0,1.0
0.24260238,0.0,1.0
0.6314779,0.0,1.0
0.27316645,0.0,1.0
0.0,0.0,1.0
0.79446226,0.0,1.0
0.0,0.0,1.0
0.00835065,0.0,1.0
0.23198916,0.0,1.0
0.58683264,7.0,1.0
1.1758639,0.0,5.0
0.020900972,0.0,5.0
1.278168,0.0,5.0
1.3928398,0.0,5.0
1.3056244,7.0,5.0
1.5825462,6.0,5.0
0.395268,0.0,5.0
0.049416628,1.0,5.0
0.0548053,2.0,5.0
4.390684,0.0,5.0
1.1499438,0.0,5.0
0.30290863,32.0,5.0
3.700542,0.0,5.0
0.3585027,0.0,5.0
0.44490364,2.0,5.0
0.21404043,1.0,5.0
0.30060568,11.0,5.0
1.3445054,0.0,5.0
0.017821155,0.0,5.0
1.2944385,0.0,5.0
3.5998125,0.0,5.0
0.13680011,0.0,5.0
1.6026018,0.0,5.0
0.19468176,0.0,5.0
0.0,0.0,5.0
0.07572777,0.0,5.0
0.118670546,0.0,5.0
0.11696434,4.0,5.0
0.1075772,4.0,5.0
0.6199151,0.0,5.0
0.67119974,0.0,5.0
3.517538,2.0,5.0
0.0797238,0.0,5.0
1.393922,1.0,5.0
0.07058401,0.0,5.0
0.311622,0.0,5.0
0.0,0.0,5.0
1.4385452,0.0,5.0
1.2815886,0.0,5.0
6.2831855,0.0,5.0
0.112969995,4.0,5.0
0.12469301,0.0,5.0
1.6427022,4.0,5.0
1.7235473,0.0,5.0
0.6629759,5.0,5.0
0.07172122,1.0,5.0
0.02567094,1.0,5.0
0.0,2.0,5.0
1.3074435,0.0,5.0
0.6207061,0.0,5.0
2.316994,7.0,5.0
0.14487645,0.0,5.0
0.82173926,2.0,5.0
1.1013776,0.0,5.0
0.13053487,2.0,5.0
0.0,0.0,5.0
0.044434994,0.0,5.0
1.5499904,2.0,5.0
1.0124183,0.0,5.0
0.9223088,0.0,5.0
1.7627721,2.0,5.0
1.2200178,0.0,5.0
0.8257293,2.0,5.0
2.6106784,0.0,5.0
1.4208727,0.0,5.0
1.7488892,0.0,5.0
0.9189272,3.0,5.0
1.1810095,0.0,5.0
1.009787,0.0,5.0
0.23095502,0.0,5.0
0.23198916,0.0,5.0
0.13382852,0.0,5.0
2.5877943,0.0,5.0
0.17293319,0.0,5.0
1.3754662,25.0,5.0
4.6595283,0.0,5.0
0.55832213,0.0,5.0
0.08950835,0.0,5.0
0.3703856,0.0,5.0
0.3640209,0.0,5.0
0.10954991,0.0,5.0
1.4135878,0.0,5.0
1.6718895,0.0,5.0
0.013604226,1.0,5.0
3.968326,0.0,5.0
0.018870192,2.0,5.0
0.043124475,0.0,5.0
1.4782504,8.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
1.382803,0.0,5.0
0.28181934,0.0,5.0
0.1364829,0.0,5.0
0.26898843,5.0,5.0
1.0056235,0.0,5.0
0.2917085,0.0,5.0
0.36211112,0.0,5.0
0.20802484,1.0,5.0
0.07172122,0.0,5.0
0.061417896,0.0,5.0
1.4637954,0.0,5.0
0.789251,0.0,5.0
0.32449153,0.0,5.0
0.10954991,0.0,5.0
0.61771834,0.0,5.0
0.0043213675,0.0,5.0
1.3126017,0.0,5.0
0.7189244,0.0,5.0
1.1790128,0.0,5.0
1.6542674,0.0,5.0
0.20716876,0.0,5.0
0.6435011,0.0,5.0
0.1474169,0.0,5.0
2.0784132,0.0,5.0
0.1174251,2.0,5.0
6.890849E-5,5.0,5.0
3.7481768,5.0,5.0
6.228849,7.0,5.0
0.013436567,0.0,5.0
0.013436567,0.0,5.0
5.8808393,12.0,5.0
0.05433648,4.0,5.0
4.2986608,19.0,5.0
0.12992214,1.0,5.0
3.7254446,2.0,5.0
0.049314506,0.0,5.0
3.8161683,6.0,5.0
3.7793148,2.0,5.0
0.013851744,0.0,5.0
12.093748,10.0,5.0
1.9845244,6.0,5.0
0.0,0.0,5.0
0.010535711,2.0,5.0
0.08341364,0.0,5.0
10.730443,18.0,5.0
0.046954487,2.0,5.0
2.6784036,15.0,5.0
0.0,0.0,5.0
0.43586448,0.0,2.0
3.4012966,1.0,2.0
0.18367136,0.0,2.0
1.7255453,4.0,2.0
1.1499438,0.0,2.0
0.14257699,0.0,2.0
0.14726415,0.0,2.0
0.1819589,0.0,2.0
0.0,0.0,2.0
0.016595986,0.0,2.0
0.3061727,0.0,2.0
5.08375,0.0,2.0
2.3048038,0.0,2.0
0.14726415,0.0,2.0
0.05596342,0.0,2.0
0.49061722,0.0,2.0
0.13352905,0.0,2.0
0.07805217,0.0,2.0
0.26344904,0.0,2.0
0.78431034,0.0,2.0
1.4627126,5.0,2.0
0.022871828,0.0,2.0
0.17301717,0.0,2.0
0.0,0.0,2.0
1.110223E-16,6.0,2.0
1.3998305,4.0,2.0
1.9530911,0.0,2.0
0.18995298,0.0,2.0
1.8509337,0.0,2.0
2.0702066,0.0,2.0
0.029991811,0.0,2.0
0.33997682,2.0,2.0
0.1064541,6.0,2.0
0.0,0.0,2.0
1.7860068,0.0,2.0
2.90743,0.0,2.0
0.0,0.0,2.0
0.14136147,2.0,2.0
0.14726415,0.0,2.0
0.0089726355,0.0,2.0
0.046985105,0.0,2.0
0.1563644,0.0,2.0
0.039457478,0.0,2.0
0.07058401,0.0,2.0
0.966753,0.0,2.0
1.327436,5.0,2.0
