Time still vs. Total angle changed from (560, 343) to (790, 364)
Total angle changed (radians)
Time still (sec)
0.63213795,0.0,1.0
0.032530207,0.0,1.0
0.3103874,0.0,1.0
1.1590983,0.0,1.0
0.5758625,0.0,1.0
0.9470323,0.0,1.0
0.025255255,0.0,1.0
0.57818663,1.0,1.0
0.0,0.0,1.0
1.5673242,0.0,1.0
0.43248323,0.0,1.0
1.6123699,0.0,1.0
0.12526657,2.0,1.0
0.12526657,9.0,1.0
0.05051624,0.0,1.0
0.22150582,3.0,1.0
0.16317044,0.0,1.0
0.115134805,2.0,1.0
0.03735,0.0,1.0
0.21786599,0.0,1.0
1.1503673,0.0,1.0
0.25579682,2.0,1.0
0.19695777,0.0,1.0
0.23566078,0.0,1.0
0.0,13.0,1.0
0.099089615,0.0,1.0
0.0,2.0,1.0
0.0,4.0,1.0
0.91082007,4.0,1.0
0.10351346,0.0,1.0
0.0,1.0,1.0
0.0,3.0,1.0
1.161566,0.0,1.0
0.3103874,0.0,1.0
0.11111074,0.0,1.0
0.32266214,0.0,1.0
0.104628794,1.0,1.0
0.37024525,0.0,1.0
0.81871915,0.0,1.0
0.81871915,0.0,1.0
0.66067034,0.0,1.0
0.6780402,7.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,0.0,1.0
0.50655055,0.0,1.0
0.7039461,0.0,1.0
0.6780402,0.0,1.0
0.49606466,0.0,1.0
0.22368297,0.0,1.0
0.099089615,2.0,1.0
0.6140598,0.0,1.0
0.15612637,0.0,1.0
0.19739556,0.0,1.0
0.07040368,0.0,1.0
0.37004438,0.0,1.0
0.8231709,0.0,1.0
0.97361964,0.0,1.0
0.0422284,0.0,1.0
0.3721719,0.0,1.0
0.7286497,0.0,1.0
1.5707964,0.0,1.0
0.61822313,0.0,1.0
0.23162068,5.0,1.0
0.47355786,0.0,1.0
0.5553661,0.0,1.0
0.047583103,2.0,1.0
0.5545466,0.0,1.0
0.6884597,4.0,1.0
0.7469556,0.0,1.0
0.47398517,1.0,1.0
3.1415927,0.0,1.0
0.0,5.0,1.0
0.3862399,0.0,1.0
0.024176136,0.0,1.0
0.19739556,0.0,1.0
0.0,0.0,1.0
0.104628794,0.0,1.0
1.0224237,0.0,1.0
1.2209407,0.0,5.0
2.394637,0.0,5.0
3.1415927,1.0,5.0
0.5070985,2.0,5.0
0.19909048,0.0,5.0
0.09108471,0.0,5.0
1.1651967,0.0,5.0
0.47398517,2.0,5.0
0.9339738,0.0,5.0
0.18477839,6.0,5.0
0.7469556,2.0,5.0
2.394637,0.0,5.0
0.04091644,0.0,5.0
0.7480567,0.0,5.0
0.7469556,2.0,5.0
0.82384074,2.0,5.0
0.09108471,0.0,5.0
0.47398517,0.0,5.0
0.17951278,0.0,5.0
0.47398517,0.0,5.0
2.3561945,0.0,5.0
2.394637,3.0,5.0
0.56506985,2.0,5.0
0.27748072,0.0,5.0
0.0,0.0,5.0
0.97361964,0.0,5.0
0.38165018,0.0,5.0
2.394637,0.0,5.0
2.394637,2.0,5.0
2.394637,0.0,5.0
2.634494,2.0,5.0
1.2209407,0.0,5.0
1.9206519,2.0,5.0
0.27748072,0.0,5.0
1.7755773,6.0,5.0
1.4629363,0.0,5.0
1.2209407,2.0,5.0
0.47398517,0.0,5.0
0.23162068,0.0,5.0
0.0,0.0,5.0
0.7138422,0.0,5.0
1.9040406,0.0,5.0
0.0,0.0,5.0
0.7469556,0.0,5.0
2.6011732,4.0,5.0
0.0,0.0,5.0
2.394637,0.0,5.0
1.9206519,0.0,5.0
0.7469556,0.0,5.0
3.1415927,0.0,5.0
0.06408083,0.0,5.0
3.1415927,0.0,5.0
0.34157908,2.0,5.0
0.7138422,0.0,5.0
1.2209407,0.0,5.0
1.2209407,2.0,5.0
0.7469556,0.0,5.0
2.394637,2.0,5.0
0.85594755,0.0,5.0
0.0,0.0,5.0
0.8554919,0.0,5.0
0.58398366,0.0,5.0
0.50569403,0.0,5.0
1.2209407,0.0,5.0
0.47398517,0.0,5.0
1.2209407,0.0,5.0
3.1415927,0.0,5.0
0.9470323,2.0,5.0
0.47398517,0.0,5.0
1.8542175,0.0,5.0
0.23985706,0.0,5.0
2.0172782,0.0,5.0
0.14507465,0.0,5.0
1.9206519,0.0,5.0
0.5070985,0.0,5.0
1.2209407,0.0,5.0
2.394637,0.0,5.0
0.7853982,3.0,5.0
0.7469556,0.0,5.0
0.47398517,0.0,5.0
0.5060881,0.0,5.0
2.1164513,0.0,5.0
2.0172782,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.09108471,0.0,5.0
0.7138422,0.0,5.0
0.049378432,0.0,5.0
0.47398517,0.0,5.0
1.9936502,0.0,5.0
1.7755773,2.0,5.0
0.5070985,0.0,5.0
0.7138422,0.0,5.0
1.2209407,0.0,5.0
0.47398517,2.0,5.0
0.38880226,0.0,5.0
0.6190598,0.0,5.0
1.06717,2.0,5.0
0.64492357,5.0,5.0
0.47398517,0.0,5.0
1.4673419,4.0,5.0
0.0,0.0,2.0
1.9206519,3.0,2.0
0.47398517,2.0,2.0
1.3802325,0.0,2.0
1.2891477,0.0,2.0
0.2092767,0.0,2.0
0.6399902,4.0,2.0
1.2209407,0.0,2.0
1.2351577,2.0,2.0
1.3802325,2.0,2.0
0.53382397,0.0,2.0
0.014935195,0.0,2.0
0.09108471,0.0,2.0
0.0,0.0,2.0
1.9206519,0.0,2.0
0.0,0.0,2.0
1.8542175,2.0,2.0
0.47398517,2.0,2.0
3.1415927,0.0,2.0
1.9206519,0.0,2.0
0.82384074,0.0,2.0
1.2209407,0.0,2.0
0.7469556,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
1.9684243,3.0,2.0
0.0,5.0,2.0
0.0,0.0,2.0
0.47398517,0.0,2.0
0.0,0.0,2.0
0.7469556,2.0,2.0
0.47398517,0.0,2.0
0.0,2.0,2.0
0.10999853,0.0,2.0
0.0,0.0,2.0
2.394637,5.0,2.0
0.0,0.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
0.0,0.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,0.0,2.0
2.394637,0.0,2.0
1.3309393,2.0,2.0
0.23985706,0.0,2.0
0.53386205,0.0,2.0
0.6240231,0.0,2.0
0.7469556,1.0,2.0
0.7138422,0.0,2.0
2.7755576E-17,0.0,2.0
0.9470323,2.0,2.0
0.47398517,2.0,2.0
0.06408083,0.0,2.0
2.634494,0.0,2.0
