Speed in X direction vs. Modulus speed from (660, 2) to (693, 302)
Modulus speed (points/sec)
Speed in X direction (points/sec)
2.4035087,0.0,3.0
4.642857,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
104.0,0.0,3.0
36.448593,16.5,3.0
21.751118,5.6666665,3.0
0.0,0.0,3.0
0.0,0.0,3.0
19.455076,8.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
33.0,33.0,3.0
36.37001,11.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
36.37001,11.0,3.0
2.0555556,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
32.5,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
36.448593,16.5,3.0
21.666666,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
9.193476,6.6,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
27.5,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
1.4347826,1.4347826,3.0
0.0,0.0,3.0
70.459206,16.5,3.0
0.0,0.0,3.0
16.5,16.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
75.817215,16.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
38.910152,17.0,3.0
57.0,0.0,3.0
0.0,0.0,3.0
31.0,0.0,3.0
201.71762,33.0,3.0
3.3,0.0,4.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
36.448593,16.5,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
89.04212,16.5,1.0
0.0,0.0,1.0
33.0,33.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
88.391174,33.0,1.0
183.0,33.0,1.0
178.08424,33.0,1.0
239.28644,33.0,1.0
0.0,0.0,1.0
16.5,0.0,1.0
0.0,0.0,1.0
62.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
62.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
36.0,0.0,1.0
0.0,0.0,1.0
62.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
12.970051,5.6666665,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
59.361416,11.0,1.0
89.04212,16.5,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
49.0,0.0,5.0
79.20227,33.0,5.0
11.0,11.0,5.0
0.0,0.0,5.0
33.0,33.0,5.0
0.0,0.0,5.0
48.5,0.0,5.0
49.0,0.0,5.0
43.333332,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
6.6,0.0,5.0
0.0,0.0,5.0
70.459206,16.5,5.0
11.872283,2.2,5.0
0.0,0.0,5.0
0.0,0.0,5.0
54.55502,16.5,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
75.817215,16.5,2.0
10.666667,0.0,2.0
32.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
65.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
16.5,16.5,2.0
0.0,0.0,2.0
16.0,0.0,2.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
32.0,0.0,3.0
25.927784,16.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
16.5,16.5,3.0
13.333333,0.0,3.0
25.927784,16.5,3.0
17.285189,11.0,3.0
68.5,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
33.0,0.0,3.0
16.5,0.0,3.0
33.0,0.0,3.0
52.0,0.0,3.0
68.5,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
34.25,0.0,3.0
36.0,0.0,3.0
18.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
70.459206,16.5,3.0
19.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
20.131203,4.714286,3.0
0.0,0.0,3.0
45.666668,0.0,3.0
0.0,0.0,3.0
4.1940765,2.75,3.0
0.0,0.0,3.0
68.5,0.0,3.0
68.5,0.0,3.0
46.972805,11.0,3.0
39.601135,16.5,3.0
24.0,0.0,3.0
0.0,0.0,3.0
45.666668,0.0,3.0
68.5,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
2.6666667,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
3.6343725,0.67346936,3.0
25.16446,16.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
16.776306,11.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
5.592102,3.6666667,3.0
0.0,0.0,3.0
0.0,0.0,3.0
8.5625,0.0,3.0
8.5625,0.0,3.0
2.310138,0.5409836,3.0
0.0,0.0,3.0
0.0,0.0,3.0
16.776306,11.0,3.0
50.32892,33.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
3.6666667,3.6666667,3.0
3.6666667,3.6666667,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
97.0,0.0,3.0
2.1052632,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
11.0,11.0,3.0
25.927784,16.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
34.25,0.0,3.0
97.0,0.0,3.0
16.0,0.0,3.0
32.5,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
34.25,0.0,3.0
0.0,0.0,3.0
137.0,0.0,3.0
0.0,0.0,3.0
68.5,0.0,3.0
68.5,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
32.5,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
70.459206,16.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
5.9565215,0.0,3.0
0.0,0.0,3.0
32.5,0.0,3.0
21.666666,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
68.5,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
33.0,33.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
16.5,16.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
16.5,16.5,3.0
16.5,16.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
16.5,16.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
2.5384614,2.5384614,4.0
10.285714,0.0,4.0
19.571428,0.0,4.0
8.125,0.0,4.0
