PhoneID,Track,Total path length,Total time stopped,Total number of stops,Total time spent,Total inactive time,Total change in speed theta,Total time spent per stop,Total average speed,Total times appeared in this area,path length,time stopped,number of stops,time spent
HT25TW5055273593c875a9898b00,1,3768.98232202718,0.0,0.0,1006.0,586.0,94.81350469274828,0.0,3.7465033022138967,1.0,802.0,69.0,459.0,522.0
HT25TW5055273593c875a9898b00,2,969.1438221250289,0.0,0.0,194.42676595025108,98.0,13.687452186597394,0.0,4.984621419732962,1.0,101.0,13.0,82.0,92.0
HT25TW5055273593c875a9898b00,3,630.8984687324138,0.0,0.0,46.0,0.0,10.98547997257129,0.0,13.715184102878561,1.0,5.0,17.0,48.0,56.0
HT25TW5055273593c875a9898b00,4,645.5678287279337,0.0,0.0,56.0,0.0,8.466813019314523,0.0,11.527996941570246,1.0,5.0,18.0,70.0,75.0
HT25TW5055273593c875a9898b00,5,710.8416087332096,0.0,0.0,57.98898763045281,0.0,6.073724568978793,0.0,12.258217254338001,2.0,11.0,16.0,70.0,74.0
HT25TW5055273593c875a9898b00,6,6025.91086774474,0.0,0.0,1111.239816358778,386.0,105.08877477273388,0.0,5.422691644986196,3.0,695.0,85.0,684.0,756.0
HT25TW5055273593c875a9898b00,7,1952.7360291448017,0.0,0.0,202.38890382369172,41.0,28.301104824310258,0.0,9.648434238499066,2.0,83.0,44.0,181.0,204.0
HT25TW5055273593c875a9898b00,8,3307.02735348029,0.0,0.0,528.6916594766399,237.0,126.19227614818824,0.0,6.255115423522981,3.0,211.0,56.0,308.0,385.0
HT25TW5055273593c875a9898b00,9,1771.834402623857,0.0,0.0,459.0,225.0,34.77087733607872,0.0,3.8602056702044814,1.0,299.0,21.0,199.0,222.0
HT25TW5055273593c875a9898b00,10,3153.6373689412876,0.0,0.0,522.0,154.0,24.91519570579414,0.0,6.041450898354957,1.0,286.0,53.0,238.0,255.0
HT25TW5055273593c875a9898b00,11,941.6561410799548,0.0,0.0,172.0,0.0,80.02169964458977,0.0,5.474745006278806,2.0,102.0,8.0,181.0,232.0
HT25TW5055273593c875a9898b00,12,1048.666323504382,0.0,0.0,492.0,275.0,28.015990155245948,0.0,2.131435616878825,1.0,374.0,12.0,111.0,131.0
HT25TW5055273593c875a9898b00,13,1518.0060130540567,0.0,0.0,189.0,0.0,34.881226885900176,0.0,8.031777846846861,1.0,93.0,24.0,199.0,224.0
HT25TW5055273593c875a9898b00,14,1217.5358860781782,0.0,0.0,78590.76446025241,78502.0,6.254436966449071,0.0,0.015492098778272501,2.0,78531.0,18.0,109.0,115.0
HT25TW5055273593c875a9898b00,15,3014.853009294726,0.0,0.0,298.35995847963653,0.0,114.86049605516912,0.0,10.104750733501975,2.0,118.0,47.0,497.0,590.0
HT25TW5055273593c875a9898b00,16,3713.5007962443506,0.0,0.0,674.006092327852,351.0,34.44739653368538,0.0,5.509595296711382,3.0,414.0,64.0,328.0,356.0
HT25TW5055273593c875a9898b00,17,894.1697345247378,0.0,0.0,144.0,11.0,7.618569719617509,0.0,6.209512045310679,1.0,70.0,18.0,62.0,67.0
HT25TW5055273593c875a9898b00,18,733.720908005575,0.0,0.0,117.0,73.0,4.729649756942167,0.0,6.271118871842521,1.0,82.0,4.0,74.0,77.0
HT25TW5055273593c875a9898b00,19,654.5552589949604,0.0,0.0,47.0,0.0,17.65222552349842,0.0,13.926707638190646,1.0,8.0,11.0,78.0,89.0
HT25TW5055273593c875a9898b00,20,1485.523541884013,0.0,0.0,200.9781892568184,104.0,43.173698078774144,0.0,7.391466444081394,3.0,129.0,39.0,133.0,162.0
HT25TW5055273593c875a9898b00,21,1424.951091898617,0.0,0.0,132.0,0.0,41.409483864063226,0.0,10.795084029534978,1.0,52.0,27.0,215.0,243.0
HT25TW5055273593c875a9898b00,22,995.4835186057823,0.0,0.0,93.0,0.0,28.470218842698255,0.0,10.704123855976153,1.0,42.0,6.0,238.0,259.0
HT25TW5055273593c875a9898b00,23,1443.0939448145314,0.0,0.0,795.5047137503576,685.0,52.241918637563,0.0,1.8140608344244178,2.0,729.0,25.0,172.0,219.0
HT25TW5055273593c875a9898b00,24,1181.612391605594,0.0,0.0,185.0634716983929,72.0,65.99033422456154,0.0,6.384903410497595,3.0,145.0,12.0,218.0,265.0
HT25TW5055273593c875a9898b00,25,663.817925216856,0.0,0.0,48.0,0.0,17.82465700094941,0.0,13.8295401086845,1.0,9.0,7.0,112.0,121.0
HT25TW5055273593c875a9898b00,26,536.9649238814103,0.0,0.0,17.0,0.0,0.4647881298572666,0.0,31.586171993024134,1.0,0.0,6.0,31.0,31.0
HT25TW5055273593c875a9898b00,27,740.5724456466793,0.0,0.0,18.0,0.0,0.333331846069805,0.0,41.14291364703774,1.0,0.0,17.0,26.0,26.0
HT25TW5055273593c875a9898b00,28,1195.805214813087,0.0,0.0,120.68190156440622,0.0,53.95040240026566,0.0,9.908736929993623,3.0,80.0,8.0,258.0,294.0
HT25TW5055273593c875a9898b00,29,2247.3286955693125,0.0,0.0,202.00431367541972,20.0,60.53257816147961,0.0,11.125152006309714,3.0,79.0,39.0,324.0,363.0
HT25TW5055273593c875a9898b00,30,829.6718442539044,0.0,0.0,160.2417244586172,95.0,27.372695846199843,0.0,5.177626782643425,2.0,118.0,15.0,122.0,144.0
HT25TW5055273593c875a9898b00,31,698.4341553936163,0.0,0.0,81.0,0.0,24.286341965756456,0.0,8.622643893748348,1.0,29.0,18.0,107.0,123.0
HT25TW5055273593c875a9898b00,32,709.9721769097827,0.0,0.0,73.63114110011671,0.0,38.12129441203849,0.0,9.642281326924286,3.0,29.0,16.0,92.0,121.0
HT25TW5055273593c875a9898b00,33,2742.852869687246,0.0,0.0,452.78315408626895,208.0,113.58505620634794,0.0,6.057762628608415,3.0,275.0,64.0,371.0,452.0
HT25TW5055273593c875a9898b00,34,5396.1971352232285,0.0,0.0,4578.235122232182,2961.0,310.428640891017,0.0,1.1786631728499426,1.0,5539.0,33.0,975.0,1179.0
HT25TW5055273593c875a9898b00,35,2696.2918908364136,0.0,0.0,248.18444804644795,0.0,81.9065041516568,0.0,10.864064658603427,2.0,93.0,33.0,457.0,513.0
HT25TW5055273593c875a9898b00,36,6825.259680726599,0.0,0.0,1435.8334474864373,503.0,225.3078064116501,0.0,4.7535176817860485,4.0,934.0,102.0,1027.0,1201.0
HT25TW5055273593c875a9898b00,37,2610.0448388153836,0.0,0.0,531.6151265900434,0.0,120.76625140357528,0.0,4.90965118986941,2.0,356.0,29.0,585.0,676.0
ZX1B23QBS53771758c578bbd85,1,3223.3927927599707,0.0,0.0,379.6369122416188,0.0,104.40394974499804,0.0,8.490725450607531,6.0,176.0,81.0,412.0,486.0
ZX1B23QBS53771758c578bbd85,2,1975.2543446208738,0.0,0.0,294.95337424616,30.0,23.58522676303242,0.0,6.696835897094639,1.0,111.0,42.0,185.0,204.0
ZX1B23QBS53771758c578bbd85,3,17911.304371584265,0.0,0.0,12485.106039236523,10102.0,494.9588868531905,0.0,1.4346137161586783,10.0,11215.0,339.0,2258.0,2595.0
ZX1B23QBS53771758c578bbd85,4,898.8882853088452,0.0,0.0,699.8428725497391,424.0,33.43424246072565,0.0,1.2844144315336434,2.0,931.0,11.0,194.0,218.0
ZX1B23QBS53771758c578bbd85,5,4137.544114685212,0.0,0.0,542.4594113047615,0.0,98.83631778228091,0.0,7.627380092334097,1.0,196.0,91.0,483.0,558.0
ZX1B23QBS53771758c578bbd85,6,906.0166733707338,0.0,0.0,171.0,19.0,18.704225477590267,0.0,5.298343119127098,1.0,60.0,17.0,104.0,115.0
ZX1B23QBS53771758c578bbd85,7,4393.338840898865,0.0,0.0,670.9710500061478,169.0,132.4263733375327,0.0,6.547732336378165,5.0,347.0,86.0,484.0,581.0
ZX1B23QBS53771758c578bbd85,8,1063.1814075139189,0.0,0.0,556.146080905763,734.0,26.1293471946608,0.0,1.9116945062030766,3.0,757.0,9.0,78.0,99.0
ZX1B23QBS53771758c578bbd85,9,1178.1628557241945,0.0,0.0,309.9634256248126,24.0,98.40055518985042,0.0,3.8009737869856686,3.0,227.0,13.0,291.0,345.0
ZX1B23QBS53771758c578bbd85,10,939.7735112226268,0.0,0.0,116.74407545423782,0.0,20.447762474583886,0.0,8.04986041104078,2.0,40.0,20.0,109.0,126.0
ZX1B23QBS53771758c578bbd85,11,9824.932333042767,0.0,0.0,2389.4103925435484,1104.0,231.7360133678296,0.0,4.111864736046469,8.0,1616.0,161.0,1234.0,1416.0
ZX1B23QBS53771758c578bbd85,12,5831.533722736862,0.0,0.0,2538.6351060434868,1473.0,205.9684443571054,0.0,2.2971137950681784,2.0,2117.0,68.0,1112.0,1273.0
ZX1B23QBS53771758c578bbd85,13,14286.254069892266,0.0,0.0,2538.8043429004965,485.0,513.2811752402154,0.0,5.627158355011601,11.0,1544.0,237.0,2819.0,3198.0
ZX1B23QBS53771758c578bbd85,14,2774.5654671893735,0.0,0.0,194.0,0.0,52.35254555033947,0.0,14.301883851491617,1.0,73.0,62.0,303.0,330.0
ZX1B23QBS53771758c578bbd85,15,4503.91472568257,0.0,0.0,353.5254676554258,0.0,112.8733917341314,0.0,12.740000757378095,7.0,124.0,109.0,511.0,594.0
ZX1B23QBS53771758c578bbd85,16,2057.4005933871445,0.0,0.0,296.3009461454597,0.0,86.51347189118012,0.0,6.943618034810891,2.0,165.0,31.0,399.0,457.0
ZX1B23QBS53771758c578bbd85,17,1930.9637152191688,0.0,0.0,255.0,0.0,46.16218806753465,0.0,7.572406726349682,1.0,78.0,32.0,194.0,225.0
ZX1B23QBS53771758c578bbd85,18,4311.724860814211,0.0,0.0,671.5288251685491,152.0,109.71821763043577,0.0,6.420759168055068,3.0,390.0,73.0,565.0,637.0
ZX1B23QBS53771758c578bbd85,19,654.4779537620511,0.0,0.0,67.7852757426158,0.0,4.832221856709923,0.0,9.655163995306854,1.0,10.0,15.0,91.0,93.0
ZX1B23QBS53771758c578bbd85,20,3524.8427853495714,0.0,0.0,465.9873558287859,22.0,144.41801724379428,0.0,7.564245555719921,3.0,217.0,54.0,558.0,652.0
ZX1B23QBS53771758c578bbd85,21,1021.6016318871108,0.0,0.0,99.0,0.0,19.433942985815133,0.0,10.31920840290011,1.0,25.0,20.0,123.0,142.0
ZX1B23QBS53771758c578bbd85,22,838.2840653823774,0.0,0.0,86.0,0.0,21.15471988594934,0.0,9.747489132353225,1.0,29.0,22.0,84.0,98.0
TA92903URNf067ff16fcf8e045,1,1499.8973507019837,0.0,0.0,366.3564625773903,70.0,77.64805667720675,0.0,4.094092786435126,2.0,243.0,21.0,341.0,399.0
TA92903URNf067ff16fcf8e045,2,4590.617415320498,0.0,0.0,2528.046176432556,2049.0,74.25880811944198,0.0,1.8158756189329315,6.0,2214.0,112.0,367.0,415.0
TA92903URNf067ff16fcf8e045,3,2594.133324487671,0.0,0.0,713.9248743073312,459.0,85.68192266414118,0.0,3.6336222729381267,5.0,523.0,40.0,265.0,323.0
TA92903URNf067ff16fcf8e045,4,743.994587021644,0.0,0.0,90.0,0.0,6.361537190494211,0.0,8.26660652246271,1.0,21.0,18.0,102.0,104.0
TA92903URNf067ff16fcf8e045,5,1166.493627623698,0.0,0.0,255.0,73.0,62.22407825073438,0.0,4.574484814210581,2.0,151.0,14.0,177.0,213.0
TA92903URNf067ff16fcf8e045,6,841.51655914757,0.0,0.0,93.64477864199036,0.0,27.939186135298925,0.0,8.986262462798258,2.0,24.0,25.0,90.0,109.0
TA92903URNf067ff16fcf8e045,7,2750.96773793787,0.0,0.0,268.02345580627417,60.0,79.8944623225252,0.0,10.263906678101538,3.0,83.0,63.0,250.0,304.0
TA92903URNf067ff16fcf8e045,8,584.3029360476173,0.0,0.0,26.0,0.0,1.0782395777896265,0.0,22.47318984798528,1.0,2.0,8.0,27.0,27.0
TA92903URNf067ff16fcf8e045,9,518.3183396829808,0.0,0.0,36.0,0.0,6.130365790582324,0.0,14.397731657860577,1.0,4.0,15.0,57.0,62.0
TA92903URNf067ff16fcf8e045,10,279.6502004242184,0.0,0.0,1427.887875072417,1321.0,0.26793718667058203,0.0,0.1958488515143639,1.0,4228.0,0.0,1.0,2.0
TA92903URNf067ff16fcf8e045,11,774.1022022735536,0.0,0.0,167.0,69.0,11.577100933659887,0.0,4.635342528584154,1.0,85.0,22.0,74.0,81.0
TA92903URNf067ff16fcf8e045,12,3151.5743167030932,0.0,0.0,415.0,31.0,75.49266238808103,0.0,7.5941549800074535,2.0,192.0,79.0,365.0,414.0
TA92903URNf067ff16fcf8e045,13,969.2214291407506,0.0,0.0,112.59795020363207,0.0,22.895834824184952,0.0,8.607807046113408,2.0,23.0,25.0,119.0,137.0
TA92903URNf067ff16fcf8e045,14,4872.974468713473,0.0,0.0,1387.1220113834815,861.0,67.47902816456299,0.0,3.5130107003732767,9.0,1266.0,114.0,387.0,439.0
TA92903URNf067ff16fcf8e045,15,732.7161997427437,0.0,0.0,142.1127321386603,70.0,10.329384368332565,0.0,5.155880044779012,2.0,86.0,14.0,105.0,113.0
TA92903URNf067ff16fcf8e045,16,2133.7249952141574,0.0,0.0,472.27341666083623,105.0,58.464064063235995,0.0,4.517986657602824,3.0,290.0,40.0,288.0,325.0
TA92903URNf067ff16fcf8e045,17,741.269533421721,0.0,0.0,116.0,18.0,13.233226002340293,0.0,6.3902545984631125,1.0,57.0,21.0,82.0,94.0
TA92903URNf067ff16fcf8e045,18,1556.3162363226543,0.0,0.0,9375.154496136865,232.0,28.196162906196086,0.0,0.16600432952480423,2.0,38746.0,19.0,149.0,173.0
TA92903URNf067ff16fcf8e045,19,1194.1346062059213,0.0,0.0,379.9808267789001,229.0,38.43325469274616,0.0,3.142618053464981,2.0,290.0,15.0,147.0,171.0
TA92903URNf067ff16fcf8e045,20,2146.9605484087283,0.0,0.0,213.78121716799802,11.0,32.493174090255046,0.0,10.042793173553498,2.0,41.0,71.0,136.0,161.0
TA92903URNf067ff16fcf8e045,21,2061.642206116486,0.0,0.0,510.4194002583127,278.0,77.96770762184514,0.0,4.039114118846445,4.0,382.0,33.0,272.0,332.0
TA92903URNf067ff16fcf8e045,22,1108.8694473622115,0.0,0.0,314.15006769710277,224.0,13.615512909862773,0.0,3.529744416389435,2.0,242.0,26.0,109.0,117.0
TA92903URNf067ff16fcf8e045,23,1356.1776152895952,0.0,0.0,141.0,36.0,44.36303308430707,0.0,9.618280959500675,1.0,71.0,29.0,159.0,191.0
TA92903URNf067ff16fcf8e045,24,3366.671177198964,0.0,0.0,832.779712555227,707.0,47.188542528661245,0.0,4.042691154025559,6.0,746.0,61.0,220.0,260.0
TA92903URNf067ff16fcf8e045,25,1936.3720998121253,0.0,0.0,474.39299666285893,51.0,137.23092510562267,0.0,4.081788967024452,4.0,325.0,28.0,414.0,503.0
TA92903URNf067ff16fcf8e045,26,4544.7145003528985,0.0,0.0,1417.4500564005164,1075.0,62.89803837415553,0.0,3.2062607637081633,1.0,1134.0,86.0,327.0,371.0
TA92903URNf067ff16fcf8e045,27,2533.1904208390265,0.0,0.0,264.0,0.0,80.91722880591215,0.0,9.595418260753888,1.0,95.0,51.0,369.0,427.0
TA92903URNf067ff16fcf8e045,28,1020.3478410417963,0.0,0.0,115.89432624464254,0.0,39.99820116886264,0.0,8.804122463147449,2.0,45.0,23.0,110.0,142.0
TA92903URNf067ff16fcf8e045,29,217.88210937086797,0.0,0.0,21.483040108457732,0.0,0.9542072310025189,0.0,10.142051975459898,1.0,0.0,15.0,5.0,6.0
TA92903URNf067ff16fcf8e045,30,2477.372764459892,0.0,0.0,518.3286912501021,150.0,70.67502866650187,0.0,4.779540099323808,4.0,291.0,24.0,348.0,404.0
YT910K6675876ded0861342065,1,1033.029278041621,0.0,0.0,361.0,175.0,21.53060003631297,0.0,2.8615769474837145,1.0,253.0,10.0,69.0,82.0
