Amount of time disappeared from the tracking system vs. Modulus speed from (790, 302) to (1020, 323)
Modulus speed (points/sec)
Amount of time disappeared from the tracking system (sec)
1.6190476,21.0,5.0
0.0,4.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
18.794947,2.0,5.0
7.694154,5.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
19.235384,2.0,5.0
38.470768,1.0,5.0
0.0,2.0,5.0
19.235384,2.0,5.0
0.0,2.0,5.0
3.2492602,52.0,5.0
0.0,2.0,5.0
19.235384,2.0,5.0
12.823589,3.0,5.0
19.235384,2.0,5.0
12.823589,3.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
0.0,3.0,5.0
0.0,12.0,5.0
19.235384,2.0,5.0
19.235384,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
51.29571,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
9.0,2.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
16.5,2.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
12.529964,3.0,5.0
18.794947,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,4.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,2.0
0.0,4.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
16.5,2.0,2.0
67.0,2.0,2.0
25.647856,4.0,2.0
0.0,4.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,4.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
19.235384,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
35.17101,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
67.601776,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
67.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
135.20355,1.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,4.0,3.0
0.0,3.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
0.0,5.0,3.0
19.235384,2.0,3.0
0.0,5.0,3.0
19.235384,2.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
0.0,1.0,3.0
12.823589,3.0,3.0
0.0,2.0,3.0
34.0,1.0,3.0
17.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,3.0,3.0
0.0,2.0,3.0
51.29571,2.0,3.0
0.0,1.0,3.0
0.0,9.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
0.0,6.0,3.0
5.495824,7.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,3.0,3.0
0.0,2.0,3.0
0.0,5.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
25.401772,4.0,3.0
9.0,2.0,3.0
0.0,2.0,3.0
11.0,3.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,5.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
38.470768,1.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
101.607086,1.0,3.0
50.803543,2.0,3.0
17.0,2.0,3.0
35.17101,2.0,3.0
19.235384,2.0,3.0
38.470768,1.0,3.0
33.0,2.0,3.0
34.20526,2.0,3.0
0.0,2.0,3.0
0.0,6.0,3.0
0.0,44.0,3.0
16.5,2.0,3.0
33.0,2.0,3.0
0.0,2.0,3.0
16.5,4.0,3.0
33.0,1.0,3.0
0.0,3.0,3.0
11.0,3.0,3.0
2.5384614,13.0,3.0
0.0,2.0,3.0
0.0,4.0,3.0
0.0,5.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
34.20526,2.0,3.0
33.0,2.0,3.0
0.0,1.0,3.0
0.0,3.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
66.0,1.0,3.0
33.0,1.0,3.0
16.5,2.0,3.0
33.0,2.0,3.0
68.41052,1.0,3.0
34.20526,2.0,3.0
0.0,2.0,3.0
18.0,1.0,3.0
34.20526,2.0,3.0
18.0,1.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
33.0,2.0,3.0
0.0,1.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,3.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
0.0,3.0,3.0
18.794947,2.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,4.0,3.0
0.0,3.0,3.0
33.666668,3.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
0.0,4.0,3.0
38.470768,1.0,3.0
51.29571,2.0,3.0
67.0,2.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
17.0,2.0,3.0
0.0,1.0,3.0
50.803543,2.0,3.0
50.803543,2.0,3.0
50.803543,2.0,3.0
101.607086,1.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
22.666666,3.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,4.0,3.0
38.470768,1.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
9.617692,4.0,3.0
0.0,2.0,3.0
16.5,2.0,3.0
34.687893,2.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
25.401772,4.0,3.0
9.0,2.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
9.0,2.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
0.0,3.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
67.0,2.0,3.0
33.0,1.0,3.0
2.2,15.0,3.0
0.0,2.0,3.0
37.589893,1.0,3.0
18.794947,2.0,3.0
0.0,2.0,3.0
34.20526,2.0,3.0
0.0,1.0,3.0
0.0,3.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
28.160255,6.0,3.0
6.428571,21.0,3.0
18.794947,2.0,3.0
0.27297297,370.0,3.0
0.0,4.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
67.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,4.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
19.235384,2.0,3.0
19.235384,2.0,3.0
12.823589,3.0,3.0
0.0,1.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
0.0,3.0,3.0
0.0,3.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
17.0,2.0,3.0
0.0,3.0,3.0
8.375,16.0,3.0
11.72367,6.0,3.0
17.0,2.0,3.0
17.0,2.0,3.0
0.0,2.0,3.0
33.0,2.0,3.0
50.803543,2.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
50.803543,2.0,3.0
0.0,2.0,3.0
0.0,4.0,3.0
0.0,2.0,3.0
0.0,3.0,3.0
38.470768,1.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
0.0,3.0,3.0
0.0,2.0,3.0
0.0,4.0,3.0
0.0,1.0,3.0
33.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,3.0,3.0
0.0,1.0,3.0
0.0,64.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
0.0,1.0,3.0
38.470768,1.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
0.0,0.0,3.0
0.0,2.0,3.0
0.0,0.0,3.0
0.0,2.0,3.0
18.794947,2.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
34.0,1.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
0.0,0.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
38.470768,0.0,3.0
38.470768,1.0,3.0
38.470768,1.0,3.0
0.0,1.0,3.0
38.470768,1.0,3.0
0.0,1.0,3.0
0.0,3.0,3.0
0.0,3.0,4.0
0.0,7.0,4.0
0.0,8.0,4.0
0.0,6.0,4.0
5.495824,7.0,4.0
0.0,7.0,4.0
0.0,20.0,4.0
0.0,7.0,4.0
12.823589,3.0,4.0
0.0,7.0,4.0
4.808846,8.0,4.0
0.0,0.0,1.0
0.0,4.0,1.0
0.0,5.0,1.0
0.0,2.0,1.0
0.0,4.0,1.0
0.0,1.0,1.0
50.0,2.0,1.0
0.0,3.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
8.375,8.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,3.0,1.0
0.0,3.0,1.0
0.0,18.0,1.0
0.0,9.0,1.0
34.0,1.0,1.0
38.470768,1.0,1.0
0.0,0.0,1.0
0.0,2.0,1.0
0.0,3.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
33.0,2.0,1.0
0.0,1.0,1.0
6.6,5.0,1.0
33.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
168.0,1.0,1.0
19.235384,2.0,1.0
17.0,2.0,1.0
50.803543,2.0,1.0
50.803543,2.0,1.0
16.75,4.0,1.0
18.794947,2.0,1.0
42.0,4.0,1.0
34.0,3.0,1.0
0.0,5.0,1.0
0.0,7.0,1.0
11.562632,6.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
0.0,3.0,1.0
0.0,2.0,1.0
0.0,3.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,5.0,1.0
0.0,0.0,1.0
0.0,2.0,1.0
2.0404644,34.0,1.0
0.0,18.0,1.0
38.470768,1.0,1.0
0.0,3.0,1.0
0.0,4.0,1.0
0.0,1.0,1.0
34.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
2.6153846,13.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,6.0,1.0
0.0,3.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
0.0,35.0,1.0
0.0,1.0,1.0
0.0,4.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
3.7777777,9.0,1.0
0.0,0.0,1.0
17.0,2.0,1.0
0.0,1.0,1.0
38.470768,1.0,1.0
0.0,1.0,1.0
19.235384,2.0,1.0
