Time disappeared vs. Time spent from (660, 2) to (693, 302)
Time spent (sec)
Time disappeared (sec)
0.61111116,0.0,1.0
4.5257144,13.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
2.6400003,0.0,1.0
1.3200002,0.0,1.0
52.628975,51.0,1.0
2.5384617,0.0,1.0
0.0,0.0,1.0
0.7374303,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
2.4423964,0.0,1.0
0.0,0.0,1.0
2.7287066,0.0,1.0
0.3869581,0.0,1.0
3.3233695,0.0,1.0
12.145299,0.0,1.0
0.14529915,0.0,1.0
17.635,44.0,1.0
0.67745405,0.0,1.0
9.0,0.0,1.0
3.3055556,0.0,1.0
31.152779,0.0,1.0
0.14529915,0.0,1.0
0.0,0.0,1.0
0.34,0.0,1.0
0.17582418,0.0,1.0
2.0,0.0,1.0
4.244571,0.0,1.0
9193.0,9192.0,1.0
2.0,0.0,1.0
0.4209658,0.0,1.0
0.8403029,0.0,1.0
0.8003283,0.0,1.0
7.0,0.0,1.0
1.1709844,0.0,1.0
0.96004,0.0,1.0
1.7922078,0.0,1.0
0.0,0.0,1.0
1.7661783,0.0,1.0
15.34059,42.0,1.0
1.3156292,0.0,1.0
1.9800001,0.0,1.0
5.9086895,14.0,1.0
0.45833337,0.0,1.0
1.7914039,0.0,1.0
2.5253344,0.0,1.0
7.0,0.0,1.0
0.41519013,0.0,5.0
0.0,0.0,5.0
0.36263734,0.0,5.0
0.23239437,0.0,5.0
7.232394,0.0,5.0
6.186969,0.0,5.0
0.10410095,0.0,5.0
1.0,0.0,5.0
2.0,0.0,5.0
7.171875,0.0,5.0
0.171875,0.0,5.0
32.0,26.0,5.0
2.969697,0.0,5.0
1.5105833,0.0,5.0
2.0,0.0,5.0
11.980935,102.0,5.0
12.298173,11.0,5.0
0.29084325,0.0,5.0
0.23465808,0.0,5.0
0.18131867,0.0,5.0
2.4714286,0.0,5.0
0.0,0.0,5.0
1.2323943,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
1.8956616,0.0,5.0
0.14529915,0.0,5.0
4.0801945,0.0,5.0
4.242514,0.0,5.0
0.0,0.0,5.0
1.1100163,0.0,5.0
6.2481203,0.0,5.0
0.0,0.0,5.0
1.1089109,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.45833334,0.0,5.0
2.7499998,0.0,5.0
3.4483695,0.0,5.0
4.0,0.0,5.0
0.0,0.0,5.0
4.116197,0.0,5.0
0.3626374,0.0,5.0
5.0,0.0,5.0
1.0,0.0,5.0
1.0,0.0,5.0
2.0,0.0,5.0
0.18131867,0.0,5.0
0.18181802,0.0,5.0
9.807143,0.0,5.0
0.49624062,0.0,5.0
4.3571424,0.0,5.0
0.9364649,0.0,5.0
2.0,0.0,5.0
1.130405,0.0,5.0
0.2487414,0.0,5.0
2.3055556,0.0,5.0
0.18181802,0.0,5.0
0.39600003,0.0,5.0
4.232394,0.0,5.0
0.34859157,0.0,5.0
2.9217877,0.0,5.0
2.0859375,0.0,5.0
0.45693168,0.0,5.0
0.0,0.0,5.0
3.0,0.0,5.0
14.519999,0.0,5.0
1.9800001,0.0,5.0
3.30481,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
3.0,0.0,5.0
0.24842124,0.0,5.0
25.0,25.0,5.0
1.9065933,0.0,5.0
0.60439557,0.0,5.0
0.22029814,0.0,5.0
0.0,0.0,5.0
0.12643678,0.0,5.0
0.2975159,0.0,5.0
0.116197184,0.0,5.0
0.116197184,0.0,5.0
1.0,0.0,5.0
6.116197,0.0,5.0
2.0,0.0,5.0
0.0,0.0,5.0
8.3626375,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
1.3200002,0.0,5.0
0.0,0.0,5.0
0.0859375,0.0,5.0
5.2470636,0.0,5.0
0.28285718,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
1.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
1.9753522,0.0,5.0
0.2777775,0.0,5.0
1.0676304,0.0,5.0
0.4788346,0.0,5.0
0.5689655,0.0,5.0
0.6541471,0.0,5.0
0.30555558,0.0,5.0
0.20689654,0.0,5.0
1.3200002,0.0,5.0
0.28045323,0.0,5.0
1.168159,0.0,5.0
0.34,0.0,5.0
1.0089418,0.0,5.0
1.4420764,0.0,5.0
2.3413491,0.0,5.0
5.380077,0.0,5.0
7.1885715,0.0,5.0
11.266161,0.0,5.0
0.3800769,0.0,5.0
0.27597594,0.0,5.0
17.360447,0.0,5.0
4.3604465,0.0,5.0
21.34375,0.0,5.0
1.34375,0.0,5.0
6.34375,0.0,5.0
0.2941394,0.0,5.0
7.377143,0.0,5.0
6.3967733,0.0,5.0
0.0,0.0,5.0
21.360447,0.0,5.0
10.4296875,0.0,5.0
0.34375,0.0,5.0
2.3604465,0.0,5.0
0.36044645,0.0,5.0
32.318333,0.0,5.0
2.491059,0.0,5.0
26.513758,0.0,5.0
0.0,0.0,5.0
0.81178063,0.0,2.0
3.0,0.0,2.0
0.0,0.0,2.0
4.2275863,0.0,2.0
0.171875,0.0,2.0
0.21236219,0.0,2.0
0.0,0.0,2.0
0.97981495,0.0,2.0
0.45517242,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
2.0,0.0,2.0
1.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
1.5475863,0.0,2.0
0.969697,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.2777775,0.0,2.0
5.9400735,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
6.0,0.0,2.0
6.3460894,0.0,2.0
2.6796305,0.0,2.0
0.51375747,0.0,2.0
9.0,0.0,2.0
4.6046057,21.0,2.0
0.47142857,0.0,2.0
2.3776522,0.0,2.0
6.1885715,0.0,2.0
0.0,0.0,2.0
0.72527474,0.0,2.0
2.3626373,0.0,2.0
0.0,0.0,2.0
2.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.49463737,0.0,2.0
0.0,0.0,2.0
0.47220188,0.0,2.0
0.0,0.0,2.0
0.52519894,0.0,2.0
7.108911,0.0,2.0
2.2323945,0.0,2.0
2.3310344,0.0,2.0
0.36263737,0.0,2.0
0.9619839,0.0,2.0
0.5689655,0.0,2.0
3.2692308,0.0,2.0
6.0272417,0.0,2.0
4.116197,0.0,2.0
2.2323945,0.0,3.0
5.9077415,0.0,3.0
16.167786,73.0,3.0
0.41371307,0.0,3.0
0.9065934,0.0,3.0
5.6665354,0.0,3.0
0.0,0.0,3.0
25.396,15.0,3.0
7.498084,0.0,3.0
67.863556,349.0,3.0
0.54395604,0.0,3.0
1.6388407,0.0,3.0
0.0,0.0,3.0
0.41666624,0.0,3.0
0.18131869,0.0,3.0
0.72527474,0.0,3.0
0.85625887,0.0,3.0
2.4722018,0.0,3.0
15.528,15.0,3.0
16.626637,0.0,3.0
0.0,0.0,3.0
1.3200002,0.0,3.0
4.0,0.0,3.0
0.132,0.0,3.0
0.3801972,0.0,3.0
4.0,0.0,3.0
1.0,0.0,3.0
0.66,0.0,3.0
37.0,30.0,3.0
0.20689656,0.0,3.0
0.0,0.0,3.0
0.36726367,0.0,3.0
5.280531,0.0,3.0
0.13888891,0.0,3.0
2.543956,0.0,3.0
71.54395,71.0,3.0
0.969697,0.0,3.0
0.0,0.0,3.0
0.6907277,0.0,3.0
2.7197802,0.0,3.0
0.0,0.0,3.0
3.6407552,0.0,3.0
4.0694447,0.0,3.0
2.1202917,0.0,3.0
0.51541513,0.0,3.0
0.20930232,0.0,3.0
2.3055556,0.0,3.0
0.061452515,0.0,3.0
0.72462183,0.0,3.0
0.35675675,0.0,3.0
3.4285715,0.0,3.0
0.0,0.0,3.0
0.40568474,0.0,3.0
6.1212263,0.0,3.0
0.0,0.0,3.0
0.10891088,0.0,3.0
1.275,15.0,3.0
2.0,0.0,3.0
0.0,0.0,3.0
0.85492224,0.0,3.0
0.6839378,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
4.0,0.0,3.0
0.2578125,0.0,3.0
0.2578125,0.0,3.0
234.58754,0.0,3.0
0.264,0.0,3.0
1.2083505,0.0,3.0
2.0,0.0,3.0
0.31230286,0.0,3.0
1.2639999,0.0,3.0
91.08594,72.0,3.0
0.0,0.0,3.0
4.1229053,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
2.0000005,0.0,3.0
3.59264E-7,0.0,3.0
1.2136506,0.0,3.0
12.079212,0.0,3.0
13.458333,13.0,3.0
0.0,0.0,3.0
2.4413962,0.0,3.0
1.5042015,0.0,3.0
0.97058827,0.0,3.0
8.53795,0.0,3.0
0.0,0.0,3.0
0.27450892,0.0,3.0
6.2578125,0.0,3.0
0.0,0.0,3.0
0.846743,0.0,3.0
6.3604465,0.0,3.0
2.264,0.0,3.0
1.6644295,0.0,3.0
1.0,0.0,3.0
2.0,0.0,3.0
0.49025702,0.0,3.0
0.36263734,0.0,3.0
0.0,0.0,3.0
0.13360323,0.0,3.0
0.0,0.0,3.0
8.026738,22.0,3.0
0.555555,0.0,3.0
0.45833334,0.0,3.0
4.0,0.0,3.0
7.464789,0.0,3.0
2.1089108,0.0,3.0
39.0,36.0,3.0
0.0,0.0,3.0
13.494127,0.0,3.0
6.2578125,0.0,3.0
0.24581005,0.0,3.0
0.113793105,0.0,3.0
1.939394,0.0,3.0
0.68810105,0.0,3.0
0.26399997,0.0,3.0
0.4848485,0.0,3.0
1.7142856,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
1.2941177,0.0,3.0
1.2941177,0.0,3.0
3.2941177,0.0,3.0
1.6388407,0.0,3.0
4.98,0.0,3.0
12.11236,0.0,3.0
0.0,0.0,3.0
0.054455444,0.0,3.0
0.054455444,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.113793105,0.0,3.0
0.36363605,0.0,3.0
1.0,0.0,3.0
2.0,0.0,3.0
3.0,0.0,3.0
0.0,0.0,4.0
1.8146846,0.0,4.0
1.093904,0.0,4.0
10.87912,60.0,4.0
0.0,0.0,4.0
12.291667,0.0,4.0
0.0,0.0,4.0
0.15277779,0.0,1.0
0.0,0.0,1.0
