PhoneID,Track,Total path length,Total time stopped,Total number of stops,Total time spent,Total inactive time,Total change in speed theta,Total time spent per stop,Total average speed,Total times appeared in this area,Total null,Total null,path length,time stopped,number of stops,time spent,inactive time,change in speed theta,time spent per stop,average speed,times appeared in this area
TA92903URNf067ff16fcf8e045,22,5706.009476858137,6.0,22.0,328.72295832875636,176.0,151.48420389568102,0.2727272727272727,17.35811062868188,9.0,7.068010927194043,0.4071878027735997,163.0,83.0,30.0,57.0,145.0,145.0,145.0,145.0,234.0
TA92903URNf067ff16fcf8e045,23,855.6565483052319,32.0,2.0,63.0,16.0,13.922119977216308,16.0,13.581849973098919,1.0,0.0,0.0,48.0,48.0,48.0,2.0,20.0,20.0,20.0,20.0,48.0
TA92903URNf067ff16fcf8e045,24,813.2877222396874,39.0,3.0,158.36353913896454,181.0,17.769889437918884,13.0,5.135574303666102,3.0,3.5996175782980315,0.7009182158514178,38632.0,38632.0,38632.0,3.0,146.0,146.0,146.0,146.0,38534.0
TA92903URNf067ff16fcf8e045,25,1381.9483010881058,19.0,14.0,39.0,15.0,105.36583354699559,1.6428571428571428,35.43457182277194,1.0,0.0,0.0,31.0,23.0,21.0,2.0,15.0,15.0,15.0,15.0,11.0
TA92903URNf067ff16fcf8e045,26,2852.8673092583294,5.0,4.0,213.26270315444444,148.0,82.27855662754139,1.25,13.377244436371457,2.0,5.638925609663349,0.42153117829944453,162.0,67.0,54.0,31.0,112.0,112.0,112.0,112.0,203.0
TA92903URNf067ff16fcf8e045,27,987.2125566558143,14.0,7.0,366.0,360.0,43.799117431218214,2.0,2.6973020673656127,4.0,2.5796360367129525,0.9563763984478083,361.0,360.0,298.0,2.0,144.0,144.0,144.0,144.0,310.0
TA92903URNf067ff16fcf8e045,28,1636.8573557692926,1.0,4.0,79.39529268427799,54.0,23.988343224615427,0.25,20.616554211575142,4.0,4.920204187467561,0.23865308125569873,222.0,222.0,222.0,9.0,272.0,272.0,272.0,272.0,59.0
TA92903URNf067ff16fcf8e045,29,1468.9171089183594,4.0,5.0,42.0,34.0,43.56271500575979,0.8,34.97421687900856,1.0,0.0,0.0,34.0,34.0,34.0,4.0,4.0,4.0,4.0,4.0,7.0
TA92903URNf067ff16fcf8e045,30,3112.171794624087,4.0,1.0,828.9674516707286,832.0,20.555656517836255,4.0,3.7542750180983733,6.0,3.8632336522870023,1.029022549936637,789.0,658.0,551.0,27.0,458.0,458.0,458.0,458.0,738.0
TA92903URNf067ff16fcf8e045,31,2288.960311965457,66.0,26.0,111.0,66.0,207.5241121814508,2.5384615384615383,20.621264071760876,2.0,5.7813067977748815,0.28035656677768395,99.0,91.0,83.0,2.0,72.0,72.0,72.0,72.0,26.0
TA92903URNf067ff16fcf8e045,32,782.9894311653948,3.0,7.0,11.208008125896388,0.0,52.99529690339342,0.42857142857142855,69.85982008313125,1.0,0.0,0.0,2.0,2.0,0.0,2.0,7.0,7.0,7.0,7.0,9.0
TA92903URNf067ff16fcf8e045,33,892.292402170624,8.0,4.0,25.75127666599848,603.0,15.087664621864004,2.0,34.65041418116527,2.0,3.0007132305239383,0.08659963528386969,609.0,607.0,603.0,7.0,211.0,211.0,211.0,211.0,627.0
TA92903URNf067ff16fcf8e045,34,3109.5505833068933,13.0,8.0,170.93086497345513,76.0,57.82147309062702,1.625,18.19186127555017,5.0,4.488984429757637,0.24675784196919007,87.0,80.0,38.0,53.0,103.0,103.0,103.0,103.0,165.0
TA92903URNf067ff16fcf8e045,35,2685.2127405040737,1.0,15.0,99.2146135307102,94.0,76.7305434425565,0.06666666666666667,27.064689816817275,1.0,0.0,0.0,116.0,96.0,94.0,4.0,120.0,120.0,120.0,120.0,52.0
TA92903URNf067ff16fcf8e045,36,4550.167768046078,95.0,23.0,232.48984985997976,298.0,157.4062964228354,4.130434782608695,19.57146847824316,10.0,3.2481550151420735,0.16596378645541707,376.0,369.0,298.0,41.0,279.0,279.0,279.0,279.0,261.0
TA92903URNf067ff16fcf8e045,1,1566.5522171559517,83.0,2.0,266.3108779510036,105.0,5.565757236826495,41.5,5.882419183208014,2.0,36.11751413282149,6.139908260180224,138.0,123.0,71.0,38.0,93.0,93.0,93.0,93.0,208.0
TA92903URNf067ff16fcf8e045,2,798.9277772225647,0.0,0.0,390.0,1301.0,0.8053150027139893,0.0,2.0485327621091405,1.0,0.0,0.0,1305.0,1305.0,1073.0,20.0,424.0,424.0,424.0,424.0,1359.0
TA92903URNf067ff16fcf8e045,3,4793.925233078135,55.0,4.0,747.7188535931616,1620.0,31.34784288556819,13.0,6.411400769207484,4.0,6.052095007806685,0.943958305784523,1729.0,1613.0,1530.0,110.0,748.0,748.0,748.0,748.0,1701.0
TA92903URNf067ff16fcf8e045,4,2454.0453403094225,23.0,1.0,292.72493256339305,0.0,14.50109505284959,23.0,8.383451723156414,4.0,3.1151632295928393,0.3715847997297185,86.0,62.0,42.0,76.0,141.0,141.0,141.0,141.0,269.0
TA92903URNf067ff16fcf8e045,5,750.8505943123445,6.0,1.0,127.0,0.0,13.241329383755215,6.0,5.912209404034209,1.0,0.0,0.0,34.0,16.0,0.0,26.0,48.0,48.0,48.0,48.0,108.0
TA92903URNf067ff16fcf8e045,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TA92903URNf067ff16fcf8e045,7,2323.2354741626827,35.0,3.0,320.90811474973447,65.0,11.910004878273575,11.666666666666666,7.23956599219841,3.0,4.183220513848342,0.5778275270031815,150.0,85.0,12.0,67.0,161.0,161.0,161.0,161.0,318.0
TA92903URNf067ff16fcf8e045,8,472.7164729776446,0.0,0.0,18.0,0.0,0.07631821725857688,0.0,26.262026276535813,1.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,8.0,8.0,8.0,18.0
TA92903URNf067ff16fcf8e045,9,2408.2116596163246,75.0,5.0,458.9375508055256,451.0,36.541717487554365,15.0,5.247362425213278,4.0,2.8195283588706523,0.5373229692164923,651.0,552.0,357.0,61.0,267.0,267.0,267.0,267.0,835.0
