X,Y,Z,Date And Time,Phone Id's
274,347,0,24/09/2014 11:01:47,HT25TW5055273593c875a9898b00
242,302,0,24/09/2014 11:01:48,ZX1B23QBS53771758c578bbd85
221,302,0,24/09/2014 11:01:48,ZX1B23QFSP48abead89f52e3bb
177,302,0,24/09/2014 11:01:48,TA92903URNf067ff16fcf8e045
274,347,0,24/09/2014 11:01:48,HT25TW5055273593c875a9898b00
242,302,0,24/09/2014 11:01:49,ZX1B23QBS53771758c578bbd85
307,320,0,24/09/2014 11:01:50,ZX1B23QFSP48abead89f52e3bb
242,302,0,24/09/2014 11:01:50,TA92903URNf067ff16fcf8e045
242,364,0,24/09/2014 11:01:50,HT25TW5055273593c875a9898b00
156,302,0,24/09/2014 11:01:50,YT910K6675876ded0861342065
242,364,0,24/09/2014 11:01:51,HT25TW5055273593c875a9898b00
87,302,0,24/09/2014 11:01:51,ZX1B23QBS53771758c578bbd85
221,302,0,24/09/2014 11:01:52,ZX1B23QFSP48abead89f52e3bb
199,302,0,24/09/2014 11:01:52,TA92903URNf067ff16fcf8e045
374,347,0,24/09/2014 11:01:52,HT25TW5055273593c875a9898b00
199,302,0,24/09/2014 11:01:53,ZX1B23QFSP48abead89f52e3bb
199,302,0,24/09/2014 11:01:53,TA92903URNf067ff16fcf8e045
374,347,0,24/09/2014 11:01:54,HT25TW5055273593c875a9898b00
242,302,0,24/09/2014 11:01:55,ZX1B23QBS53771758c578bbd85
199,302,0,24/09/2014 11:01:55,ZX1B23QFSP48abead89f52e3bb
177,302,0,24/09/2014 11:01:55,TA92903URNf067ff16fcf8e045
374,347,0,24/09/2014 11:01:56,HT25TW5055273593c875a9898b00
87,347,0,24/09/2014 11:01:57,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:01:57,ZX1B23QFSP48abead89f52e3bb
374,347,0,24/09/2014 11:01:57,HT25TW5055273593c875a9898b00
177,302,0,24/09/2014 11:01:57,TA92903URNf067ff16fcf8e045
156,302,0,24/09/2014 11:01:58,YT910K6675876ded0861342065
274,347,0,24/09/2014 11:01:59,HT25TW5055273593c875a9898b00
87,347,0,24/09/2014 11:01:59,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:01:59,ZX1B23QFSP48abead89f52e3bb
156,302,0,24/09/2014 11:01:59,TA92903URNf067ff16fcf8e045
274,347,0,24/09/2014 11:02:00,HT25TW5055273593c875a9898b00
242,302,0,24/09/2014 11:02:00,ZX1B23QBS53771758c578bbd85
177,302,0,24/09/2014 11:02:01,TA92903URNf067ff16fcf8e045
156,302,0,24/09/2014 11:02:01,YT910K6675876ded0861342065
242,302,0,24/09/2014 11:02:02,ZX1B23QFSP48abead89f52e3bb
274,347,0,24/09/2014 11:02:02,HT25TW5055273593c875a9898b00
177,302,0,24/09/2014 11:02:03,TA92903URNf067ff16fcf8e045
374,347,0,24/09/2014 11:02:04,HT25TW5055273593c875a9898b00
307,320,0,24/09/2014 11:02:04,ZX1B23QFSP48abead89f52e3bb
156,364,0,24/09/2014 11:02:05,TA92903URNf067ff16fcf8e045
374,347,0,24/09/2014 11:02:05,HT25TW5055273593c875a9898b00
242,302,0,24/09/2014 11:02:06,ZX1B23QBS53771758c578bbd85
177,302,0,24/09/2014 11:02:06,TA92903URNf067ff16fcf8e045
374,347,0,24/09/2014 11:02:06,HT25TW5055273593c875a9898b00
403,347,0,24/09/2014 11:02:08,HT25TW5055273593c875a9898b00
