Modulus speed probabilities
Modulus speed (points/sec)
% difference of total time with respect to minimum value
<0.01,0.01-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,>100
Phone 1: Business,Phone 2: Security,Phone 3: Shopper,Phone 4: Shopper,Phone 5: Business
73.760445,9.440794,48.190617,183.67224,286.9305,158.38828,391.9647,99.20201,194.05545,652.19617,253.35468,7532.4775
30.543419,28.824862,87.21765,149.57928,351.2633,151.57753,308.8862,101.58245,87.43459,396.8821,107.67212,6561.3125
0.0,82.66383,0.0,69.13818,214.3631,41.42871,186.5375,17.858934,0.0,108.83914,0.0,4515.639
3.892511,98.03359,76.54033,0.0,0.0,0.0,0.0,0.0,49.313,0.0,62.83822,0.0
162.36996,0.0,44.999393,107.27655,232.62416,108.683495,195.14777,56.19812,65.325424,183.70447,78.870094,4831.2007
